who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Media Summaries, Sunday NYT Summary","The data breach recently disclosed by Equifax ( EFX) has endangered millions of consumers, exposing them to identity theft and financial losses. Equifax investors are also shouldering the burden, with the stock falling 35% since the disclosure. It remains unclear, however, whether the company's executives will pay financially for the company's failures. The performance measure Equifax has used to determine executive incentive compensation excludes the cost of legal settlements made by the company.",1,73,data breach,"005930, 7203, AAPL... - New York Times Sunday Edition Summary - 17-Sep-17 - SA.pdf"
Mobile Marketing Association,,"Curt Hecht is CEO of the Nerve Center, VivaKi's hub of new media companies and ad serving, analytics and performance media tool capabilities. He is focused on developing the next generation of technical platforms to allow Publicis Groupe and its clients to migrate from analog media processes, and scale their digital marketing efforts as both media channel and consumer become digital. Curt is also the Groupe's primary liaison to digital media companies such as Facebook, Google, Microsoft, Canoe (Cable MSOs) and telco companies, architecting open and scaleable platforms that can be activated by all of VivaKi's agency networks. Prior to leading VivaKi, Curt was Chief Digital Officer at Starcom MediaVest Group (SMG), a subsidiary of Publicis Groupe.",1,117,Chief digital officer,"05VJQW, 05VDTZ, P... - Curt Hecht, Tobin Ireland and Joe Kennedy Elected to the Mobile Marketing Association Global Board of Directors - 19-Dec-11 - PRN.pdf"
Panasonic Corporation of North America,,"""From entrepreneurs to engineering teams from the world's oldest manufacturing brands, Cloud9 is where our customers put our technology through its paces and pose their most challenging questions. The answers routinely turn into product offerings and solutions that address their business needs,"" explains Faisal Pandit, senior vice president and chief digital officer for Panasonic. ""For years we've been co-creating with our customers, and our hardware and software development cycles have been driven by their needs. That's why we say with confidence that we offer Smart Factory Solutions for any mix, any volume.""",1,92,Chief digital officer,"0650KM, 6752 - From Startups to the World's Largest Manufacturers, At APEX 2019 Panasonic Will Show Completely Customizable, Co-Created Smart Fac... - 28-Jan-19 - PRN.pdf"
Panasonic Corporation of North America,,"""The highly intuitive, digital user interface promotes customer engagement, increases restaurant sales and profits, and frees up staff to tend to other business needs,"" said M. Faisal Pandit, SVP and Chief Digital Officer, Panasonic System Solutions Company of North America . ""Customers interact with kiosks in myriad venues and have come to expect that same connectivity in restaurants too. And kiosks can have a significant impact on sales and profits with transaction uplifts of 20%-30% versus the traditional counter.""",1,79,Chief digital officer,"0650KM, 6752 - Panasonic Launches New Turnkey, Self-ordering Kiosk Solution for Enterprise - 01-Oct-18 - PRN.pdf"
Panasonic Corporation of North America,"New Products & Services, Public Safety","""UDE is a game changer,"" said M.  Faisal Pandit, SVP and Chief Digital Officer, Panasonic System Solutions Company of North America . ""It integrates all the components into a single solution, is easily customizable to suit local requirements, and empowers agencies to fully own and manage their data in their own unified ecosystem – a totally new, comprehensive solution that revolutionizes law enforcement and public safety data management in multi-faceted ways.""",1,71,Chief digital officer,"0650KM, 6752 - Panasonic Unveils New Software Unified Digital Evidence to Provide Seamless, Integrated Data Management Aligned with Body-Worn C... - 12-Jul-18 - PRN.pdf"
,Contracts,"""We have invested a great deal in our information protection technologies. We are proud and excited to see the Symantec technologies support the EY data protection solution. From helping businesses leverage our technologies to accelerate GDPR compliance, to the EY managed data loss prevention service that is continuously focused on risk reduction, I'm confident that this strategic alliance will drive tremendous customer success."" | The alliance addresses the constant challenges for companies to protect data across their ecosystem and address regulations in data privacy, such as the General Data Protection Regulation (GDPR) adopted by the European Union.",2,"63, 33","GDPR compliance, General data protection regulation","0GQ9Y2, NLOK - EY and Symantec alliance combines consulting and technology experience to help organizations effectively manage cyber risk - 19-Dec-18 - PRNE.pdf"
Panasonic,New Products & Services,"3.  What storage and data transfer policies does your agency follow?  Another key consideration is how video evidence files will be transferred each day. Offloading HD video data can be cumbersome for officers and IT managers. Poor design can also increase the risk of data loss. To ensure the chain of evidence is preserved, it is important to select a manageable video platform. This will depend on your choice of body-worn hardware. Some systems use docking stations and others may use built-in Wi-Fi. Data security should be a top consideration so video files can be encrypted and secured in transit to prevent data breaches.",1,104,data breach,"6752, PC, 0650KM - Panasonic Announces Availability of Next Generation Arbitrator Body-worn Camera and Enhanced Unified Evidence Management System - 19-Nov-15 - PRN.pdf"
,"Media Summaries, Economist Summary","Advertising technology, or ad tech, could well be the main loser of the EU's tough new privacy law, the General Data Protection Regulation (GDPR), which goes into effect on 25-May. This new industry emerged with the rise of targeted online ads and the need for",1,45,General data protection regulation,"700, 9984, AAPL... - StreetAccount Summary The Economist print edition - 24-May-18 - SA.pdf"
,Directors and Officers,,,,,"AEO, EXPE, JBLU... - RLHC Appoints Two New Independent Board Members - 22-Mar-17 - PMZ.pdf"
AuthenTec,Product/Service,"Enables Quick, Multi-factor Authentication for a Growing Number of Symantec VIP-approved Websites via AuthenTec’s Eikon USB Fingerprint Peripheral | The new Eikon-Symantec VIP solution is a powerful offering for consumer and enterprise PC users as well as IT administrators. Until now, users had to carry a physical authentication token or copy and paste the VIP code manually. Now with a convenient swipe of the finger, Eikon users are assured secure access to a multitude of Symantec VIP-approved sites. The solution also enables IT administrators to conveniently deploy multi-factor authentication while helping reduce the cost of managing physical tokens and effectively preventing network attacks from key loggers and other means.",2,"18, 90",Multi-factor authentication,"AUTH, NLOK, 003DZC... - AuthenTec Eikon™ Digital Privacy Manager Is First to Combine Fingerprint Security with Symantec™ VIP Authentication Servic... - 26-Mar-12 - BW.pdf"
NetworkNewsWire,Investment Opinions,"Regardless of the future of the regulatory landscape, adaptability will most likely be paramount for ATMs and exchanges when it comes to defining KYC (Know Your Customer- customer identification) rules as. This is where Virtual Crypto Technologies (OTCQB:VRCP) shines, having shrewdly anticipated how crucial adaptability is as the industry learns to embrace regulations such as Europe's sweeping new General Data Protection Regulation (GDPR), designed to protect consumer's privacy and prevent fraud. VRCP boasts such vital technologies as NetoBit, a cryptographically secure and proprietary transaction validation algorithm engineered to provide real-time values for any cryptocurrency at the time of purchase and sale. NetoBit can predict, with a high degree of accuracy, if a cryptocurrency transaction will be approved immediately by a blockchain at the moment of the transaction, before the block is digitally signed. This can slash the typical transaction time, which can take anywhere from 10 minutes up to 24 hours, down to mere seconds.",1,155,General data protection regulation,"BR, GDOT, PYPL... - Crypto Companies Prepare for Inevitable Regulation That Could be the Sector's Biggest Boon yet - 14-Jun-18 - PRN.pdf"
,Directors and Officers,"financial condition or results of operations may differ materially from those suggested by forward-looking statements as a result of risks and uncertainties which include, among others: risks related to the Company’s recent spin-off from La Quinta and the merger of La Quinta’s management and franchise business with Wyndham Worldwide Corporation; business and financial risks inherent to the lodging industry; macroeconomic and other factors beyond the Company’s control; the geographic concentration of the Company’s hotels; the Company’s inability to compete effectively; the Company’s concentration in the La Quinta brand; the Company’s dependence on the performance of La Quinta and other third-party hotel managers; covenants in the Company’s hotel franchise agreements that limit or restrict the sale of its hotels; risks posed by the Company’s acquisition, redevelopment, repositioning, renovation and re-branding activities, as well as its disposition activities; risks resulting from significant investments in real estate; cyber threats and the risk of data breaches or disruptions; the growth of internet reservation channels; and the Company’s substantial indebtedness. Additional risks and uncertainties include, among others, those risks and uncertainties described in the Company’s Information Statement included as Exhibit 99.1 to the Form 10 filed with the SEC on May 7, 2018, as such factors may be updated from time to time in the Company’s periodic filings with the SEC. You are urged to carefully consider all such factors. Although it is believed that the expectations reflected in such forward-looking statements are reasonable and are expressed in good faith, such expectations may not prove to be correct and persons reading this communication are therefore cautioned not to place undue reliance on these forward-looking statements which speak only to expectations as of the date of this communication. The Company does not undertake or plan to update or revise forward-looking statements to reflect actual results, changes in plans, assumptions, estimates or projections, or other circumstances occurring after the date of this communication, even if such results, changes or circumstances make it clear that any forward-looking information will not be realized. If the Company makes any future public statements or disclosures which modify or impact any of the forward-looking statements contained in or accompanying this press release, such statements or disclosures will be deemed to modify or supersede such statements in this press release.",1,377,data breach,"CPLG, FORR, FRSH... - CorePoint Lodging Inc. Announces Two New Board Members - 12-Sep-18 - PMZ.pdf"
"Nordstrom, Inc.",Corporate Development,"Nordstrom Locals are one piece of Nordstrom's overall local market strategy. ""Nordstrom is continuing to invest in its growth strategy with the goal of increasing market share by providing customers with better and more convenient services and access to more products,"" said Ken Worzel, president of Nordstrom.com and chief digital officer. ""Through our local market strategy, we're combining the scale of our national infrastructure with our local assets of people, product, and place to help reimagine the shopping experience for our customers.""",1,82,Chief digital officer,JWN - Nordstrom Deepens Growth Strategy Through Local Market Focus - 09-Jul-18 - PRN.pdf
"Nordstrom, Inc.","Advisory, Webcast","Today’s conference will begin at 8:30 a.m. PDT (11:30 a.m., EDT) and will be available in its entirety through a live webcast and replay at investor.nordstrom.com in the Webcasts and Presentations section. Presenters include Nordstrom Co-Presidents Blake, Pete and Erik Nordstrom; Chief Financial Officer Anne Bramman; and Chief Digital Officer and President of Nordstrom.com Ken Worzel.",1,56,Chief digital officer,JWN - Nordstrom Investor Day to Discuss Customer Strategy and Drivers of Value Creation - 10-Jul-18 - BW.pdf
"Nordstrom, Inc.","Conference, Webcast, Event","Nordstrom, Inc. (NYSE:JWN), a leading fashion retailer, announced that it will be hosting an Investor Day on Tuesday, July 10, in Los Angeles. Nordstrom Co-Presidents Blake, Pete and Erik Nordstrom; Chief Financial Officer Anne Bramman; and Chief Digital Officer and President of Nordstrom.com Ken Worzel will discuss Nordstrom’s customer strategy, strategic priorities and drivers of value creation. This event will also include an exclusive experience at Nordstrom Local, an innovative new retail concept located in West Hollywood.",1,77,Chief digital officer,JWN - Nordstrom to Host Investor Day on July 10 - 26-Jun-18 - BW.pdf
,,,,,,"JWN - Nordstrom, Inc.(JWN-US) Schedules Analyst Meeting - Telsey Advisory Group for 7-July-2020 100 PM ET - 26-Jun-20 - FCSTEV.pdf"
,,,,,,"JWN - Nordstrom, Inc.(JWN-US) Schedules Investor Day for 10-July-2018 1130 AM ET - 11-Jun-18 - FCSTEV.pdf"
,,,,,,"JWN - Nordstrom, Inc.(JWN-US) Schedules Q1 2018 Earnings Call for 17-May-2018 445 PM ET - 03-May-18 - FCSTEV.pdf"
LifeLock,Survey,"So what does a criminal need to file a fake tax return? Unbeknownst to many, all a thief needs is a person’s Social Security number, name, and date of birth to file a fake tax return. This information is often stolen from data breaches and email phishing scams.",1,48,data breach,"LOCK, TBP.E - Some Americans Confess They'd Rather Get a Root Canal Than Do Their Taxes - 05-Apr-17 - BW.pdf"
,,"Symantec Corp. (NASDAQ: SYMC) today announced the findings of its Internet Security Threat Report, Volume 17, which shows that while the number of vulnerabilities decreased by 20 percent, the number of malicious attacks continued to skyrocket by 81 percent. In addition, the report highlights that advanced targeted attacks are spreading to organizations of all sizes and variety of personnel, data breaches are increasing, and that attackers are focusing on mobile threats. | Rise of Data Breaches, Lost Devices Concern for the Future | Approximately 1.1 million identities were stolen per data breach on average in 2011, a dramatic increase over the amount seen in any other year. Hacking incidents posed the greatest threat, exposing 187 million identities in 2011 -- the greatest number for any type of breach last year. However, the most frequent cause of data breaches that could facilitate identity theft was theft or loss of a computer or other medium on which data is stored or transmitted, such as a smartphone, USB key or a backup device. These theft-or loss- related breaches exposed 18.5 million identities. | As tablets and smartphones continue to outsell PCs, more sensitive information will be available on mobile devices. Workers are bringing their smartphones and tablets into the corporate environment faster than many organizations are able to secure and manage them. This may lead to an increase in data breaches as lost mobile devices present risks to information if not properly protected. Recent research by Symantec | shows that 50 percent of lost phones will not be returned and 96 percent (including those returned) will experience a data breach.",5,"71, 10, 96, 64, 22",data breach,NLOK - Annual Symantec Internet Security Threat Report Reveals 81 Percent Increase in Malicious Attacks  - 30-Apr-12 - INW.pdf
