identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
"ARRS, BA, BATRA...",Barron's Summary,#NAME?,18,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Trader Extra:  Positive on Dollar Tree (DLTR), whose valuation is at a five-year low; The company looks likely to bounce back from its acquisition of Family Dollar, which has dragged on results; If not, an activist investor like Carl Ichan could get involved to force more drastic action. Trader Extra:  Former  Wynn Resorts (WYNN) CEO Steve Wynn, who resigned after sexual misconduct allegations, sold his entire $2.1B interest in the company in March; The well-timed sale saved him $900M.",1,79,sexual misconduct
"DFS, US254709108",Discover Adding over 160 Jobs in Its West Valley Call Center,8-May-19,BW,Discover Financial Services,Product/Service,"Discover Financial Services is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran status, among other things, or as a qualified individual with a disability. Equal Employment Opportunity is the law.",1,50,Equal Employment Opportunity
"DFS, US254709108",Discover Earns Top Marks for LGBT Equality for the Third Year in a Row,11-Dec-15,BW,Discover Financial Services,"Award, Survey","The Human Rights Campaign is America’s largest civil rights organization working to achieve lesbian, gay, bisexual and transgender equality. The organization works to end discrimination against LGBT and achieve fundamental fairness and equality for all. | The Human Rights Campaign Foundation is the educational arm of America’s largest civil rights organization working to achieve lesbian, gay, bisexual and transgender equality. By inspiring and engaging all Americans, HRC strives to end discrimination against LGBT citizens and realize a nation that achieves fundamental fairness and equality for all. | “Receiving another perfect score underscores our commitment to diversity and inclusion,” said David Nelms, chairman and chief executive officer of Discover. “We believe in fostering a culture that not only contributes to the company’s overall business priorities but embraces and celebrates employee differences.”",3,"35, 50, 43","gender equality, Diversity and Inclusion"
"DFS, US254709108",Discover Financial Services Reports First Quarter Net Income of $666 Million or $1.82 Per Diluted Share,26-Apr-18,BW,Discover Financial Services,"Earnings, Conference Call, Webcast","Expenses increased $83 million from the prior year as a result of higher employee compensation and marketing expenses. Additionally, we expanded investments to build financial literacy, support diversity and inclusion, and strengthen the communities in which we operate. Employee compensation increased as a result of higher staffing levels and higher average salaries. Marketing expenses increased as a result of higher account acquisition costs and brand advertising.",1,66,Diversity and Inclusion
"DFS, US254709108",Discover Named as a Top Company to Work for in Arizona,27-Jun-16,BW,Discover Financial Services,Award,"“Discover is committed to creating a company culture where our employees feel engaged while providing them the tools to succeed both professionally and personally,” said Jim Phelps, vice president of operations in Phoenix for Discover. “Whether it’s helping our employees achieve a successful work-life balance or developing programs that promote diversity and inclusion, employee satisfaction is paramount to our success.”",1,60,Diversity and Inclusion
"DFS, US254709108",Discover Named to IDG's Computerworld 2016 List of 100 Best Places to Work in IT,20-Jun-16,BW,Discover Financial Services,Award,"Discover offers employees benefits like 25 days of paid time-off, tuition reimbursement, performance-based incentive plans, options for financial learning, on-site gym facilities, healthy food options and the flexibility to work remotely. They also have nine internal Employee Resource Groups, which contribute to Discover’s priority to drive diversity and inclusion in the workplace. Offerings like these allow Discover employees to enjoy a healthy work-life balance.",1,64,Diversity and Inclusion
"DFS, US254709108",Discover Ready to Hire the Next Generation of Women Technology Leaders,19-Sep-19,BW,Discover Financial Services,"Personnel, Product/Service, Event","Discover experts presenting at the celebration include Kim Holmes, a Discover leader with more than 20 years of experience in technology and helping to lead Discover’s diversity and inclusion hiring. She will be on the panel titled Women, Technologists: Trajectory of Wealth, Oct. 2, from 12:30 to 1:30 p.m.",1,49,Diversity and Inclusion
"DFS, US254709108",Discover Recognized as a 2017 Best Place to Work in IT,18-Jul-17,BW,Discover Financial Services,Award,"Discover provides many benefits for employees which include tuition reimbursement, maternity and paternity leave, and various professional development opportunities. All Discover employees begin their career with 20 to 25 paid time off days that are prorated depending on start date. The company also has nine internal Employee Resource Groups, which contribute to Discover’s priority to drive diversity and inclusion in the workplace. Offerings like these allow Discover employees to enjoy a healthy work-life balance.",1,74,Diversity and Inclusion
"DFS, 095H8D",Discover Recognized as a Leader in Developing and Attracting Asian Pacific,American Employees - 23-Jul,15,Discover Financial Services,"Award, Survey","“Diversity and inclusion are essential to Discover, and we strive to create an environment that allows all of our employees to thrive,” said Jim Panzarino, President, Credit and Card Operations “We are proud to receive these awards from the Asia Society as they reflect our commitment to creating a productive and collaborative work environment.” | Discover received the following 2015 citations for Best Practices in Retention, Diversity, and Asian-Pacific American Employee Resource Group. Discover received Noteworthy Performance Recognition as Best Employer for Asian Pacific American Employee Resource Groups. | In its sixth year, the Asian Pacific Americans Corporate Survey is a national benchmarking study that analyses the growth, development and advancement of APA employees. The employee survey measures leadership and company image, professional growth and development, community involvement, diversity, work-life balance and overall satisfaction. | “Diversity is transformative, and companies that recognize this will be best positioned to compete in an increasingly dynamic economy,” said Josette Sheeran, president and CEO of Asia Society. “Asia Society commends all winners for their commitment to Asian and Asian-American employees, and urges other organizations to follow their lead.”",4,"54, 33, 45, 49","Diversity and Inclusion, diversity"
"DFS, US254709108",Discover Recognized as the Best Employer for Asian Pacific Americans,18-Apr-19,BW,Discover Financial Services,Award,"“At Discover, we are passionate about fostering a collaborative and high-performing work environment for all our employees and believe diversity and inclusion leads to stronger innovation, growth and success,” said Sara Breyfogle, executive sponsor of the Asian Professionals employee resource group at Discover. “This recognition from the Asia Society reflects our ongoing commitment to encourage diversity in the workplace.” | Discover will be formally honored at the 2019 Diversity & Marketing Leadership Summit on May 15 at the Asia Society in New York City. Asia Society is a leading educational organization dedicated to promoting mutual understanding and strengthening partnerships among people, leaders and institutions of Asia and the U.S. in a global context.",2,"59, 53","Diversity and Inclusion, diversity"
