who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  Positive on Hapag-Lloyd (HLAG.GR), as the container shipping industry appears to be enjoying its best conditions in nearly a decade. Global trade volume is up 4.3% this year, even as protectionism re-emerges as a threat. The 2016 bankruptcy filing of Hanjin Shipping took vessels off the market and sparked more consolidation and alliances. Hapag-Lloyd's relatively low valuation and strong fleet make it a promising way to play the revival. International Trader (Asia):  Positive on Tencent Holdings (700.HK), whose shares have climbed 125% this year to become the world's fifth-largest listed company. Shares could continue to surge as long as the company can continue to deliver on earnings and widen its moat, with its growing financial-technology business leading the way. Morningstar analyst Chelsey Tam has a current price target of $62.99, or 18% upside after Friday's comeback. Current Yield:  Emerging market bonds have had an impressive recovery after selling off after the U.S. presidential election. The selloff was driven by fears of inflation, rising rates, and a more isolationist trade policy. Markets have shrugged off these concerns, and the trend could continue into 2018, helped by improving global growth, benign inflation, and central banks that continue to suppress interest rates. The Striking Price:  Shares of Cboe Global Markets (CBOE) and CME Group (CME) set 52- week highs last week, likely reflecting expectations that the launch of Bitcoin futures will be lucrative for the exchanges. Barron's is concerned over the decision to pursure Bitcoin futures, as it may not be in the interest of the derivatives market. Until it is known if Bitcoin futures will be segregated at clearing firms to protect the stability of the markets, Barron's doesn't recommend Cboe or CME as anything but momentum trades. Commodities Corner: A cold spell in December could lift winter wheat prices higher than $5 a bushel, up more than a dollar from recent prices. A rally would aid the ailing farm economy, which has been hurt by steadily falling wheat prices since 2012. Fertilizer makers Mosaic (MOS) and Agrium (AGU) are two ways to wager such a move. Insider Transactions:  A list of recent purchases and sales of U.S. companies made by insiders. Up And Down Wall Street:  Janet Yellen last week expressed concern that inflation might continue to fall short of the Fed's 2% target. But a new leading indicator of inflation shows prices rising at nearly a 3% yearly pace, which raises the question: is Yellen concerned about prices that consumers pay, or does she fear a slide in inflated asset prices resulting from the Fed's tightening policy? The Fed faces a conundrum, as it must weigh rising inflation pressures against the risk posed by high -- and arguably inflated -- asset prices. Streetwise: Last week, +UBER said it had suffered a data breach resulting in the theft of information of about 57 million customers; worse yet, the company sat on the information for a year, and paid a $100k ransom for the hackers to hide the breach. Uber has a history of playing by its own set of private rules, free from the onus of public company disclosures. If a private company as large as Uber is serious about transparency and honesty, it should choose to report like a public company. Technology Trader:  Cloud technology is rapidly evolving in a way that could either cement or erode the oligarchy of Amazon (AMZN), Microsoft (MSFT),  and Alphabet (GOOGL). A new way of writing software called ""serverless software"" makes it easier for programmers to use cloud computing generally, which is good for these companies; but it can also weaken a programmer's loyalty to any one cloud, which could weaken the grip of the oligarchs. The three leaders are trailed by IBM (IBM) and Oracle (ORCL). Speaking of Dividends:  Tax inversions enable a U.S. corporation to acquire a foreign company and then reincorporate overseas. A recent bill that made it out of the Senate Finance Committee would tax the dividends of inverted companies at a much higher rate than currently. Among U.S. companies that have done inversions are Medtronic (MDT), Eaton (ETN), Allergan (AGN), Johnson Controls International (JCI), Mylan (MYL), and Endo International (ENDP).",1,694,data breach,"002508, 005930, 1088... - Barron's Summary - 25-Nov-17 - SA.pdf"
,,"""Having a virtual workspace available on smartphones using the VMware Horizon platform gives us an unobtrusive way to more securely offer applications to mobile care givers and maintain control of the data while minimizing worry about potential data breaches,"" said Edward Ricks, chief information officer, Beaufort Memorial Hospital. ""This dual persona approach gives us full control over our data on personally owned or corporate-owned mobile devices without requiring us to unnecessarily manage the entire device.""",1,75,data breach,"079332, VMW, VZ... - Verizon Rolls Out Dual Persona Solution With VMware(R) Horizon Mobile(TM) to Android-Based Smartphones - 15-May-13 - INW.pdf"
Verizon,"Human Interest Groups, Public Safety","Under the pilot, PRIVO will establish the Minors Trust Framework, a collection of policies and online tools that provides parents more control over the online activities of their children and helps businesses address the requirements of the Children's Online Privacy Protection Act of 1998, or COPPA. Verizon's cloud and identity management technologies will help enable the framework, which will support the use of privacy- enhancing login credentials by families, teachers and businesses.",1,72,Children's Online Privacy Protection Act,"079332, VZ - Verizon Teams With PRIVO to Enable Identity Pilot to Protect Online Activities of Millions of Children - 29-Jan-14 - PRN.pdf"
Verizon,Licensing & Marketing Agreements,Last fall Verizon was awarded the Frost & Sullivan 2015 Global Network Security New Product Innovation Award for The DBIR app for Splunk.  This free downloadable app helps take the guesswork out of cyberthreats by harnessing the rich historical breach intelligence gathered by Verizon's data breach investigations team over the past decade and making it actionable with Splunk security solutions.,1,60,data breach,"079332, VZ, SPLK - Verizon and Splunk Join Forces to Advance Threat Detection for Enterprises - 23-Feb-16 - PRN.pdf"
Ping Identity Corporation,Conference,"Identity Management and Mobility – The Challenges and The Opportunities  Guy Tallent, managing director of cloud identity and privacy solutions, Verizon  Threats to mobile devices are real, albeit relatively new, and are expected to increase and diversify as the uses of these devices proliferate in the workplace. The convenience and functionality of these devices is driving adoption; however, security is often an afterthought. Traditional static passwords are no longer sufficient, and true multi-factor authentication will be required to better protect personal information and sensitive corporate data. As organizations develop business models and processes that embrace cloud computing and mobility technologies, the need for strategies that incorporate stronger authentication, compliance, and security practices will become more prevalent.",1,116,Multi-factor authentication,"0BKFXM, VMW, 005QYY... - VMware, Enterproid and Verizon to Lead Identity in Secure Mobile Track at Cloud Identity Summit 2012 - 29-Jun-12 - BW.pdf"
Thinaire,,,,,,"0D1YJY, VZ - Thinaire Selects Verizon Terremark Cloud to Support Mobile Marketing Platform - 07-Aug-13 - PRN.pdf"
Verizon,"Acquisitions, Mergers & Takeovers","Sensity® Systems uses energy-efficient LED lighting as the foundation for its IoT platform for Smart Cities. The company enables light owners to capitalize on the LED conversion process by embedding networking technology within both retrofit and new LED luminaires. With the Sensity open, privacy-by-design, multiservice NetSense™ platform, lighting owners are able to reduce energy costs and implement a variety of Smart City applications and services, including public safety, environmental and weather monitoring, parking management and location analytics. For more information, please visit www.sensity.com.",1,83,privacy-by-design,"0DRTCD, VZ - Verizon accelerates smart communities with the acquisition of Sensity Systems - 12-Sep-16 - PRN.pdf"
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  The increasing frequency of data breaches, along with the EU’s soon-to-hit General Data Protection Regulation, should boost demand for Beazley (BEZ.LN), which insures companies in the event of cyberattacks; The company's valuation does not",1,37,data breach,"AAPL, ABBV, AMZN... - Barron's Summary - 03-Feb-18 - SA.pdf"
The Western Union Company,"Contract/Agreement, Sales","with respect to the General Data Protection Regulation (“GDPR”) approved by the European Union (“EU”); failure to comply with the Dodd-Frank Wall Street Reform and Consumer Protection Act (the “Dodd-Frank Act”), as well as regulations issued pursuant to it and the actions of the Consumer Financial Protection Bureau (“CFPB”) and similar legislation and regulations enacted by other governmental authorities in the United States and abroad related to consumer protection and derivative transactions; effects of unclaimed property laws or their interpretation or the enforcement thereof; failure to maintain sufficient amounts or types of regulatory capital or other restrictions on the use of our working capital to meet the changing requirements of our regulators worldwide; changes in accounting standards, rules and interpretations or industry standards affecting our business; (iii) events related to the Speedpay transaction, such as: the impact on the Company of the consummation of the sale of Speedpay; the timely receipt of regulatory approvals necessary to consummate the sale of Speedpay within the timeframe contemplated by the parties; the ability of the Company and ACI to consummate the sale of Speedpay on a timely and effective basis, including the ability to timely separate the Speedpay business from the Company and the ability to timely perform post-divestiture transition services and support (including the ability to timely receive third-party consents necessary in connection therewith); distraction of management in connection with efforts to consummate the sale of Speedpay and to implement post-divestiture transition services and support; and risk of unanticipated costs, liabilities and adverse impact on business operations arising from the Company’s provision of post-divestiture transition services and support in connection with the sale of Speedpay; and (iv) other events, such as: catastrophic events; and management's ability to identify and manage these and other risks.",1,292,General data protection regulation,"ACIW, WU, 0H2Q7B - Western Union Announces Sale of Speedpay U.S. Domestic Bill Pay Business and New $1 Billion Share Repurchase Program - 28-Feb-19 - BW.pdf"
The Western Union Company,"Merger/Acquisition, Photo/Multimedia","in our business, or in money transfer and payment service providers generally; our ability to adopt new technology and develop and gain market acceptance of new and enhanced services in response to changing industry and consumer needs or trends; changes in, and failure to manage effectively, exposure to foreign exchange rates, including the impact of the regulation of foreign exchange spreads on money transfers and payment transactions; any material breach of security, including cybersecurity, or safeguards of or interruptions in any of our systems or those of our vendors or other third parties; cessation of or defects in various services provided to us by third-party vendors; mergers, acquisitions, and the integration of acquired businesses and technologies into our Company, divestitures, and the failure to realize anticipated financial benefits from these transactions, and events requiring us to write down our goodwill; decisions to change our business mix; failure to manage credit and fraud risks presented by our agents, clients and consumers; failure to maintain our agent network and business relationships under terms consistent with or more advantageous to us than those currently in place, including due to increased costs or loss of business as a result of increased compliance requirements or difficulty for us, our agents or their subagents in establishing or maintaining relationships with banks needed to conduct our services; changes in tax laws, or their interpretation, including with respect to United States tax reform legislation enacted in December 2017 (the “Tax Act”), any subsequent regulation, and potential related state income tax impacts, and unfavorable resolution of tax contingencies; adverse rating actions by credit rating agencies; our ability to realize the anticipated benefits from business transformation, productivity and cost-savings, and other related initiatives, which may include decisions to downsize or to transition operating activities from one location to another, and to minimize any disruptions in our workforce that may result from those initiatives; our ability to protect our brands and our other intellectual property rights and to defend ourselves against potential intellectual property infringement claims; our ability to attract and retain qualified key employees and to manage our workforce successfully; material changes in the market value or liquidity of securities that we hold; restrictions imposed by our debt obligations; (ii) events related to our regulatory and litigation environment, such as: liabilities or loss of business resulting from a failure by us, our agents or their subagents to comply with laws and regulations and regulatory or judicial interpretations thereof, including laws and regulations designed to protect consumers, or detect and prevent money laundering, terrorist financing, fraud and other illicit activity; increased costs or loss of business due to regulatory initiatives and changes in laws, regulations and industry practices and standards, including changes in interpretations, in the United States and abroad, affecting us, our agents or their subagents, or the banks with which we or our agents maintain bank accounts needed to provide our services, including related to anti-money laundering regulations, anti-fraud measures, our licensing arrangements, customer due diligence, agent and subagent due diligence, registration and monitoring requirements, consumer protection requirements, remittances, and immigration; liabilities, increased costs or loss of business and unanticipated developments resulting from governmental investigations and consent agreements with or enforcement actions by regulators, including those associated with the settlement agreements with the United States Department of Justice, certain United States Attorney’s Offices, the United States Federal Trade Commission, the Financial Crimes Enforcement Network of the United States Department of Treasury, and various state attorneys general (the “Joint Settlement Agreements”), and those associated with the January 4, 2018 consent order which resolved a matter with the New York State Department of Financial Services (the “NYDFS Consent Order”); liabilities resulting from litigation, including class-action lawsuits and similar matters, and regulatory enforcement actions, including costs, expenses, settlements and judgments; failure to comply with regulations and evolving industry standards regarding consumer privacy and data use and security, including with respect to the General Data Protection Regulation (“GDPR”) approved by the European Union (“EU”); failure to comply with the Dodd-Frank Wall Street Reform and Consumer Protection Act (the “Dodd-Frank Act”), as well as regulations issued pursuant to it and the actions of the Consumer Financial Protection Bureau (“CFPB”) and similar legislation and regulations enacted by other governmental authorities in the United States and abroad related to consumer protection and derivative transactions; effects of unclaimed property laws or their interpretation or the enforcement thereof; failure to maintain sufficient amounts or types of regulatory capital or other restrictions on the use of our working capital to meet the changing requirements of our regulators worldwide; changes in accounting standards, rules and interpretations or industry standards affecting our business; and (iii) other events, such as: catastrophic events; and management's ability to identify and manage these and other risks.",1,791,General data protection regulation,"ACIW, WU, US959802109 - ACI Worldwide to Acquire Western Union's Speedpay U.S. Domestic Bill Pay Business - 28-Feb-19 - BW.pdf"
