who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
Tropicana,,,0,0,,"0023S8, PEP, 0077YX... - Nutrition Experts Call Families Back to the Breakfast Table This Back-to-School Season - 25-Aug-11 - PRN.pdf"
AMP Energy,New Products & Services,,0,0,,"05LT0P, PEP, KSWS - AMP Energy and K-SWISS Team Up to Give Fans the Opportunity to 'Walk in Urijah's Shoes' - 01-Sep-11 - PRN.pdf"
Frito-Lay North America,"Corporate Social Responsibility, Human Interest Groups","""The economic empowerment of women is the single most powerful contribution we can make to advancing gender equality. When women have economic independence, they invest back into their families and their communities, creating an undeniable upward cycle of prosperity,"" said Ciara Dilley, vice president of marketing, Stacy's Snacks. ""We are excited that the Stacy's Rise Project will now provide female founders of food and beverage businesses with the mentorship and financial support they need to achieve their dreams.""",1,78,gender equality,"063WDN, PEP - Stacy's Brand Extends Commitment To Helping Female Founders Rise - 09-May-19 - PRN.pdf"
Frito-Lay North America,"Corporate Social Responsibility, Human Interest Groups","""We were blown away by the 100+ submissions we received for our inaugural WomanMade challenge, and while it was difficult to narrow down the outstanding work being done by women in the food and beverage industry, the 10 women we've selected as finalists are so deserving of the recognition,"" said Ciara Dilley , vice president of transform brands & portfolio innovation at Frito-Lay. ""Dedicated to championing diversity and inclusion, our entire WomanMade team is proud to do our part in providing much-needed support to female founders as they scale their businesses. We're honored to highlight these women as they continue to be a driving force in our industry.""",1,108,Diversity and Inclusion,"063WDN, PEP - Ten Female Entrepreneurs Chosen to Participate in Inaugural WomanMade Expo West Challenge with $100,000 in Business Grants at Stake - 26-Feb-20 - PRN.pdf"
Panasonic Corporation of North America,,"""I want to congratulate Damien on this well-deserved honor,"" said Panasonic Corporation of North America Chairman and CEO Joseph M. Taylor. ""This designation is not only a testament to the contribution that Damien brings to Panasonic and our communities, it also highlights that diversity and inclusion are integral to Panasonic's vision of continuing to our communities and being the most valued partner to our clients and customers.""",1,67,Diversity and Inclusion,"0650KM, PC, 05YPK0 - Panasonic General Counsel Damien Atkins Named to Savoy Magazine's 2016 Top 100 Most Influential Blacks in Corporate America... - 01-Mar-16 - PRN.pdf"
,Calendar of Events,"“PepsiCo is a leader in diversity and inclusion for women in STEM and SWE is thrilled to continue our partnership in 2018,” said Karen Horting, Executive Director & CEO, SWE. “The PepsiCo / SWE Student Engineering Challenge represents an empowering opportunity for SWE’s collegiate engineering students and is the highlight of our conference every year.” | the driving force that establishes engineering as a highly desirable career aspiration for women. To ensure SWE members reach their full potential as engineers and leaders, the Society offers unique opportunities to network, provides professional development, shapes public policy and provides recognition for the life- changing contributions and achievements of women engineers. As a champion of diversity, SWE empowers women to succeed and advance in their personal and professional lives. For more information about the Society, please visit www.swe.org or call 312.596.5223.",2,"55, 82","diversity, Diversity and Inclusion","06R1VF, PEP - Encouraging Women in STEM PepsiCo and the Society of Women Engineers Kick-Off Annual Student Engineering Challenge - 20-Mar-18 - PMZ.pdf"
UCLA Anderson School of Management,"Award, Event",,0,0,,"0B0HJ0, PEP, 099PQY... - UCLA Anderson School of Management to Honor PepsiCo Chairman and CEO Indra Nooyi with John Wooden Global Leadership Award - 22-Oct-12 - BW.pdf"
,"Media Summaries, Economist Summary","Vice Media ( +VICE), along with other formerly popular digital media properties, is on a losing streak, as Google and Facebook crush all competitors in the digital advertising marketplace. Vice is losing money, and has been beset with allegations of sexual harassment and reports of a misogynistic culture. Yet the company believes it is diversified enough beyond digital advertising to avoid the fate of its peers. Vice needs to convert its brand into content and advertising for which customers will pay a premium.",1,83,sexual harassment,"6178, 7181, 7182... - StreetAccount Summary The Economist print edition - 13-Dec-18 - SA.pdf"
https://news.panasonic.com/global/press/data/2018/04/en180423-2/en180423-2.html,"Product/Service, Photo/Multimedia, Nonprofit",Sustainable Development Goals Addressed by the Off-grid Solutions Project - Affordable and clean energy - Partnerships for the goals - Good health and well-being - Quality education - Gender equality - No poverty,1,33,gender equality,"6752, JP386680000 - Panasonic Launches Off-grid Solutions Project to Mark Its Centenary - 23-Apr-18 - BW.pdf"
Panasonic Corporation,"Contest, Photo/Multimedia","The First Appearance of Light  A story about two close sisters, just one year apart. The younger one and their friends tell about the elder sister, who committed suicide after sexual abuse, emphasizing the importance of close communication between friends as well as family members. Fuhgeddaboudit! (Forget about it!)  An animated film tells the importance of sorting and recycling with a comical touch, featuring a trash can and trash, including a discarded can that fears its fate when it's not properly separated and mixed up with other types of trash. Balcony • Sunshine  A girl who is worried about stammering practices reading poems on a rooftop with help from a boy in her class. The story follows them helping each other, as the girl overcomes her anxieties about speaking. We Are From…  The Great Eastern Japan Earthquake in March 2011 forced students in a disaster-hit area to leave their hometown and live apart in various different places in Japan. When reunited, they frankly talk about their feelings then and how they are coping with their lives today. The Factory Chicken   This film takes a look at how raising chickens, which are indispensable and routinely put on the table in Malaysia, is threatening the environment of a beautiful village. The film suggests reviewing the benefits of free-range farming, compared to large-scale factory farming which can produce odors and other pollutions. Knife Crime: Think of Life Put Down the Knife  A knife that is carried for self-defense can sometimes get teenagers involved in knife crime. Presenting views of various people on this issue, this film calls on teenagers to ""put down the knife.""",1,271,sexual abuse,"6752, PCRFY, 69832A20... - Panasonic Announces the Grand Prix Winner of the Kid Witness News Global Contest 2012 - 10-Aug-12 - BW.pdf"
