identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
UBSG,1Q18 Net Profit up 19% YoY to CHF 1.5bn,23-Apr-18,BW,UBS,,"In the first quarter, UBS announced and started work on integrating environmental, social and governance (ESG) criteria into nearly all of Asset Management's actively managed equity and fixed income portfolios. The firm also announced the launch of the UBS Global Gender Equality ETF, a joint collaboration between Asset Management and Global Wealth Management as part of UBS's commitment to sustainable and impact investing. The ETF is the first of its kind combining gender equality and sustainability. It will dedicate 5% of its management fee to philanthropic projects via the UBS Optimus Foundation to support the empowerment of women and girls.",1,100,gender equality
TFCFA,21st Century Fox anticipating settlements with some accusers in Roger Ailes harassment probe,#NAME?,Aug,,"Articles, Reports, Conjecture, Media Summaries, Published Reports  Related Stories:","The WSJ, citing people familiar with the matter, reports that the number of women who have come forward in the ongoing investigation reaches into the double-digits. Victims of sexual harassment have three years from the time of the misconduct to sue in New York state and New York City, and settling within that three year window could forestall further litigation, the article notes.",1,63,sexual harassment
"TFCFA, 064H26",21st Century Fox Establishes the Fox News Workplace Professionalism and Inclusion Council,20-Nov-17,BW,21st Century Fox,Product/Service,"The Council was created through more than a year of engagement by 21CF with its shareholder, the City of Monroe Employees’ Retirement System, to address a complaint filed today by the shareholder in the State of Delaware. The matter has now been resolved by the parties, reflecting 21CF and Fox News’ affirmative commitment to a business practice and corporate value of zero tolerance for sexual harassment, race discrimination, and all other forms of discrimination prohibited by law, and a corporate policy that creates a safe, productive and welcoming workplace for all employees. The settlement also includes payment of $90 million, less any court awarded attorneys’ fees and expenses, from third party insurers to 21CF. | Honorable Barbara Jones, former judge in the U.S. District Court for the Southern District of New York, she runs a practice on corporate monitorships, compliance issues, internal investigations and arbitrations and mediations. Judge Jones chaired the Response Systems to Adult Sexual Assault Crimes Panel, created by Congress in the National Defense Authorization Act for 2013, aimed at assessing the investigation, prosecution, and adjudication of sexual assaults in the military. | Virgil Smith, who served as Vice President of Talent Acquisition and Diversity at the Gannett Company, is currently Principal Consultant of the Smith Edwards Group, LLC, and consultant for the Asian American Journalists Association.",3,"114, 69, 34","sexual assault, sexual harassment, diversity"
TFCFA,21st Century Fox issues statement regarding reports regarding Roger Ailes,#NAME?,Jul,,"Corporate Actions, Management Changes  Related Stories:","StreetAccount notes that NY Magazine reported earlier this afternoon that the Murdochs have decided to remove Ailes, citing two sources briefed on a sexual harassment investigation of Ailes.",1,28,sexual harassment
"7203, TM",Al Smith Named Toyota's New Social Innovation Group Vice President,10-Apr-17,PRN,Toyota Motor North America,,"""I'm thrilled Al has joined Toyota's Social Innovation team, bringing with him a deep understanding of the principles and behaviors that underlie the Toyota Way, including respect for people,"" said Chris Reynolds, executive vice president, corporate resources and chief diversity officer, TMNA. ""Al's experience in financial services, sales, operations, and customer service lay the foundation we need in Social Innovation to better serve our stakeholders – from team members, dealers, investors, local communities and customers."" | PLANO, Texas, April 10, 2017 /PRNewswire/ -- Albert (Al) Smith, Jr. has been named group vice president, Social Innovation for Toyota Motor North America (TMNA). He is responsible for Toyota's diversity and inclusion, shared impact, and environmental sustainability functions across North America . | ""Social innovation and diversity is a vital part of Toyota's promise to give back to the communities in which we operate and respect all people,"" said Smith. ""I am honored to take on this role, and look forward to leading key Social Innovation programs, such as in STEAM-focused education, Buckle up for Life, and TeenDrive365.""",3,"75, 43, 55","Chief Diversity Officer, diversity, Diversity and Inclusion"
TRU,Americans Support Law Enforcement's Use of Data Fusion Tools to Help Solve Crimes Faster,17-Oct-16,INW,,Law Enforcement,"Violent crimes (murder, battery, sexual assault) Finding missing and abducted children Vices (illegal gambling, prostitution, etc) Identity theft Insurance fraud",1,20,sexual assault
TFC,BB&T Corp.(BBT,US) Schedules BancAnalysts Association of Boston Conference for 7-November-2019 810 AM ET,25,,,,0,0,
TFC,BB&T Corp.(BBT,US) Schedules Q2 2019 Earnings Call for 18-July-2019 800 AM ET,10,,,,0,0,
UL,"Catalyst Award Honors Global Initiatives at Alcoa Inc., The Coca","Cola Company, and Unilever for Advancing Women and Business - 19-Mar",13,http://t.co/qZBA4vblNh,Company Announcements and Releases,"ABOUT THE CATALYST AWARD The Catalyst Award annually honors innovative organizational approaches with proven, measurable results that address the recruitment, development, and advancement of all women, including diverse women. Since 1987, Catalyst has recognized 82 initiatives at 76 organizations from around the world. These groundbreaking diversity and inclusion programs have changed workplaces, communities, and lives. | Alcoa Inc.’s initiative,  Building Opportunities for Women in a “Hard Hat” Company , breaks down barriers in a male-dominated industry and achieves greater gender representation through an aggressive diversity agenda that develops women supervisors and leaders in Alcoa’s refineries, smelters, and factories worldwide. “Talent is the only truly sustainable advantage,” said Alcoa Chairman and CEO Klaus Kleinfeld. “To get the best talent, you must have diversity of thought, experience, skills and background. We are extremely proud to be one of the first ‘hard hat’ companies to earn the prestigious Catalyst Award, and we plan to build on this achievement and extend diverse talent deeper into our organization in the future.” | The Coca-Cola Company’s  Global Women’s Initiative: Women as the Real Drivers of the 21 st  Century is a strategic, internal and external initiative focused on fueling the advancement of women as dynamic leaders and entrepreneurs across the organization and in communities throughout the globe. “We are truly honored to receive this prestigious award which validates that we are on the right track toward empowering women inside our company and across our value chain,” said Muhtar Kent , Chairman and CEO, The Coca- Cola Company. “We are proud to be recognized for our accomplishments, but we realize there is still a great deal of work to do to reach our goal of achieving true diversity.” | Unilever builds on its strong foundation of cultural diversity and multinational expertise with its  Global Reach With Local Roots: Creating a Gender-Balanced Workforce in Different Cultural Contexts initiative, which accelerates the advancement of high-potential women across different regions by promoting a culture of inclusion and creating flexible “anytime, anywhere” work-life programs. Unilever CEO Paul Polman said, “We are delighted to be recognized by Catalyst for our long-standing commitment to gender balance. From our successful mentoring program to our rollout of flexible working, I am very encouraged by the progress we are making to help both men and women at Unilever reach their full potential. To achieve our company’s ambition of doubling the size of our business while reducing our environmental impact and increasing our positive social impact, it is crucial that we build a diverse and engaged workforce where everybody can develop to his or her full potential. The benefits of having a gender-balanced organization are plain to see; it helps power creativity and innovation, deepens the talent pool and allows us to better serve our diverse consumer base.”",4,"55, 110, 114, 179","diversity, Diversity and Inclusion"
DIS,Disney Empowers Aspiring Young Filmmakers To Create Global #DreamBigPrincess Video Series Celebrating Female Trailblazers,9-Jul-18,PRN,"Disney Parks, Experiences and Consumer Products","Corporate Social Responsibility, Human Interest Groups","About Girl Up Girl Up is a global leadership development initiative, positioning girls to be leaders in the movement for gender equality. With resources in five languages and more than 2,200 Girl Up Clubs in over 100 countries, we've trained 40,000 girls of all backgrounds to create tangible change for girls everywhere. Girl Up provides leadership training and gives girls tools to become gender equality advocates and activists. Through our programs, girls broaden their social impact skill set, receive a platform to tell their stories, and apply STEM for social good. Our girl leaders create real policy change at local and national levels, raise millions of dollars to support United Nations programs that reach tens of thousands of girls around the world, and build community-based movements. Girl Up is an initiative of the UN Foundation, working across a global community of partners to achieve gender equality worldwide. Learn more at GirlUp.org.",1,151,gender equality
