who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Company Announcement, Partnerships, Press releases","""This expanded partnership with City Year demonstrates Comcast NBCUniversal's deep dedication to strengthening communities and cultivating the next generation of leaders ""ì both the AmeriCorps members that serve and the thousands of students they support each year,""ù said David L. Cohen, Senior Executive Vice President and Chief Diversity Officer of Comcast Corporation, and co-chair of City Year's national Board of Trustees. ""Our partnership represents transformational change across the country to help students succeed, but the real impact is on the ground, transforming lives person by person.""ù",1,86,Chief Diversity Officer,"05XDJJ, 06R3YM, CMCSA - Comcast NBCUniversal and City Year Announce Renewed Partnership Agreement - 14-Aug-18 - PMZ.pdf"
Comcast Corporation,"Award, Photo/Multimedia","""HRC's Corporate Equality Index has long stood as a leading indicator of the overall culture of a company,""ù said Craig Robinson, Executive Vice President and Chief Diversity Officer for NBCUniversal. ""While the HRC's work is focused on achieving equality for the lesbian, gay, bisexual and transgender community, our perfect score sends a strong message about our company's respect for all communities.""ù | ""This milestone mirrors our corporate values and practices in a very meaningful way,""ù said Maria G. Arias, Executive Director of Diversity and Inclusion, Comcast Corporation. ""Comcast and NBCUniversal are deeply proud of our dedication to creating a respectful, inclusive and equal workplace for all, and we are honored to receive this recognition for our commitment to the LGBT community.""ù | For more background on diversity and inclusion at Comcast and NBCUniversal, please visit www.comcast.com/diversity and http://diversity.nbcuni.com/. | Comcast has had a longstanding commitment to diversity since its founding nearly 50 years ago. Comcast and NBCUniversal support the LGBT community through many initiatives, including: | Comcast's and NBCUniversal's external Joint Diversity Council includes members that reflect the LGBT community.",5,"61, 59, 16, 26, 14","diversity, Diversity and Inclusion, Chief Diversity Officer","05XDJJ, CMCSA - Comcast and NBCUniversal Named among America's Best Places to Work for LGBT People - 14-Nov-12 - BW.pdf"
NAMIC,"Not For Profit Organizations, Human Interest Groups","Comcast and NBCUniversal will be honored with the 2013 Industry Diversity Champion Award  given to a company demonstrating an exemplary effort to address diversity and inclusion among its workforce and within the communities it serves.  David L. Cohen, executive vice president, Comcast Corporation, is scheduled to accept the Industry Diversity Champion Award on the company's behalf. | Presented in partnership with Multichannel News , the NAMIC Annual Awards Breakfast will be highlighted by the presentation of the Next Generation Leaders Awards with a distinguished group of this year's nominees also being recognized as Luminaries.  The Next Generation Leaders Awards honor up-and-coming executives for their professional achievements and commitment to advancing multi-ethnic diversity and inclusion within the communications industry. Winners of the Next Generation Leaders Awards will be announced mid-May.  | Comcast And NBCUniversal And Congresswoman Doris Matsui To Receive Special Diversity Honors At The 2013 NAMIC Annual Awards Breakfast  Friday, May 03, 2013 02:29:42 PM (GMT) | NEW YORK , May 3, 2013 /PRNewswire/ -- The National Association for Multi-ethnicity in Communications (NAMIC) today announced Comcast and NBCUniversal and Congresswoman Doris Matsui are the recipients of two special Diversity Awards to be presented at the  2013 NAMIC Annual Awards Breakfast.  Scheduled for  Wednesday, June 12th from 8:30 a.m. to 10:00 a.m. EDT at the Grand Hyatt in Washington, DC, the NAMIC Annual Awards Breakfast is held in conjunction with the National Cable Telecommunications Association's Cable Show as part of Cable Connection - Spring. | Congresswoman Doris Matsui, a member of the House of Representatives representing  California's 6th Congressional District, which includes the city of Sacramento and surrounding areas will be on-hand at this year's event to accept the 2013 Public Advocate Diversity Champion Award.  A member of the Energy and Commerce Committee, the Subcommittee on Communications and Technology, and several other notable Subcommittees, Congresswoman Matsui also serves as co-chair of the Congressional High-Tech Caucus.  Additionally, Matsui, a sixth term Congresswoman, recently introduced legislation that would expand the Universal Service Fund Lifeline Assistance Program to focus on universal broadband adoption.  | Dr. Nicol Turner-Lee, president and chief executive officer of NAMIC commented: ""Comcast's investment in workforce diversity, commitment to bridging digital disparities and support of diverse networks and programming is vital to promoting inclusion.  Additionally, Congresswoman Matsui's advocacy of media diversity and pursuit of legislation that ensures equitable broadband access for disadvantaged communities is commendable.  NAMIC is thrilled to recognize both leaders at the upcoming event."" | Turner-Lee added: ""Since its inception in 2006, the Next Generation Leaders Awards has evolved into an excellent platform for showcasing the achievements of multi-ethnic professionals that exemplify NAMIC's mission to educate, advocate and empower through their business acumen and commitment to fostering diversity. We are honored to have the two new awards add to our ongoing tradition of recognizing amazing industry professionals."" | NAMIC (National Association for Multi-ethnicity in Communications) is the premier organization focusing on multi-ethnic diversity in the communications industry. Founded in 1980 as a non-profit trade association, today NAMIC comprises over 2,600 professionals belonging to a network of 16 chapters nationwide. Through initiatives that focus on education, advocacy and empowerment, NAMIC champions equity and inclusion in the workforce, with special attention given to ensuring that the leadership cadres of our nation's communications industry giants reflect the multi-ethnic richness of the populations they serve. For more information, please visit www.namic.com and stay connected to NAMIC on Facebook, LinkedIn and Twitter.",8,"56, 72, 26, 86, 95, 65, 62, 99","diversity, Diversity and Inclusion","05XDJJ, CMCSA, 06PX1L... - Comcast And NBCUniversal And Congresswoman Doris Matsui To Receive Special Diversity Honors At The 2013 NAMIC Annual A... - 03-May-13 - PRN.pdf"
Comcast Corporation and YMCA of the USA,"Funding, Photo/Multimedia, Nonprofit","""Internet Essentials is designed to help level the playing field for low-income families by providing the opportunity to apply for low-cost home internet, one of the most important resources in today's digital world,""ù said David L. Cohen, Comcast Corporation Senior Executive Vice President and Chief Diversity Officer. ""We are proud to elevate the impact of the Y, an esteemed, leading national nonprofit, and to work together in the communities we mutually serve and help connect even more people to the resources they need to achieve their dreams.""ù",1,87,Chief Diversity Officer,"064BST, CMCSA - Comcast and the YMCA Announce $15 Million, Multi-Year Partnership to Help Level the Playing Field for Low-Income Families - 26-Sep-16 - BW.pdf"
Renew Life,New Products & Services,"Clorox is a signatory of the United Nations Global Compact, a community of global leaders committed to sustainability. The company has been broadly recognized for its corporate responsibility efforts, most notably being named to the Drucker Institute's 2017 Management Top 250 list, The Just 100: America's Top Citizens list, CR Magazine's 2017 Best Corporate Citizens list and the first sector-neutral Bloomberg Gender Equality Index in 2018. In support of its communities, The Clorox Company and its foundations contributed about $11 million in combined cash grants, product donations and cause marketing in fiscal year 2017. For more information, visit TheCloroxCompany.com, including the Good Growth blog, and follow the company on Twitter at @CloroxCo. CLX-B | 10 probiotic strains to support the gut's natural diversity 20 billion live cultures per serving, 10 Billion per serving for Kids Daily Complete Plant-based, Certified Organic XOS prebiotic to help stimulate the growth of healthy bacteria in the gut* No gluten, dairy or soy",2,"113, 44","gender equality, diversity","064JYV, CLX - Prebiotics and Probiotics Team Up in Renew Life's First Organic Supplement - 08-May-18 - PRN.pdf"
Kingsford Charcoal,Licensing & Marketing Agreements,"Clorox is a signatory of the United Nations Global Compact, a community of global leaders committed to sustainability. The company has been broadly recognized for its corporate responsibility efforts, most notably being named to the Drucker Institute's 2017 Management Top 250 list, The Just 100: America's Top Citizens list, CR Magazine's 2017 Best Corporate Citizens list and the first sector-neutral Bloomberg Gender Equality Index in 2018. In support of its communities, The Clorox Company and its foundations contributed about $11 million in combined cash grants, product donations and cause marketing in fiscal year 2017. For more information, visit TheCloroxCompany.com, including the Good Growth blog, and follow the company on Twitter at @CloroxCo.",1,112,gender equality,"089B2W, CLX - Kingsford¬Æ Charcoal And Major League Baseball‚Ñ¢ Celebrate That Opening Day Is Back - 14-Mar-18 - PRN.pdf"
NBCUniversal Telemundo Enterprises,"Corporate Development, Human Interest Groups","""Our investment in this technologically advanced building is the latest example of our enthusiasm for NBCUniversal Telemundo Enterprises, its bright future, and our strong commitment to Florida,"" said David L. Cohen, Senior Executive Vice President and Chief Diversity Officer, Comcast Corporation.  ""As the country's largest provider of Spanish-language programming, we are excited about the development of this new headquarters and the opportunities it will provide as we further build on our strong commitment to the Hispanic community nationwide.""",1,78,Chief Diversity Officer,"0984VD, CMCSA - NBCUniversal Telemundo Enterprises To Build State-Of-The-Art Global Headquarters In Miami-Dade - 09-Feb-16 - PRN.pdf"
The Coca-Cola Foundation,"Funding, Nonprofit","Other fourth quarter grants made by the Foundation address additional community needs. They include $200,000 toward community, arts and culture initiatives; $200,000 to support education programs; $125,000 for water stewardship; $150,000 benefitting economic development; and $100,000 to support diversity and inclusion initiatives.",1,42,Diversity and Inclusion,"09LB2V, KO - Now, Dasher! Now, Dancer! Coca-Cola Gets People Dashing and Dancing to Healthier Lifestyles with $1.1 Million in Grants - 27-Dec-12 - BW.pdf"
The Coca-Cola Foundation,"Corporate Social Responsibility, Funding","School is out and students across the country are enjoying summer break, but The Coca-Cola Foundation isn't taking time off when it comes to education and youth development. The philanthropic arm of The Coca- Cola Company awarded more than $2 million in grants to 20 organizations across the country during the second quarter, with 80 percent of the funds benefitting education and youth development programs. The other grants support programs dedicated to community; diversity and inclusion; active, healthy living; water stewardship; and community recycling. | Of the more than $2 million recently allocated, more than $1.6 million supports education and youth development programs; $125,000 supports community programs; $100,000 supports a diversity and inclusion program; $165,000 supports active, healthy living initiatives; $25,000 supports a water stewardship project; and $20,000 aids community recycling efforts. | Diversity and Inclusion",3,"84, 47, 3",Diversity and Inclusion,"09LB2V, KO - The Coca-Cola Foundation Makes a Splash for Education and Youth Development This Summer - 26-Jul-11 - BW.pdf"
The Coca-Cola Foundation,Funding,"In 2011, the philanthropic arm of The Coca-Cola Company awarded more than $24.2 million to 115 community organizations in the U.S. and Canada, benefitting active, healthy living; community, arts and culture; diversity and inclusion; education and youth development; and environment programs. In total, the Foundation has given more than $70 million to sustainable community initiatives across the globe this year. | The $4.8 million awarded in the fourth quarter includes more than $2.7 million for community, arts and culture organizations; $867,133 million for active, healthy living initiatives; $590,000 to support diversity and inclusion; $274,000 for education programs; $250,000 for community recycling efforts; and $150,000 for water stewardship projects. | Diversity and Inclusion",3,"60, 47, 3",Diversity and Inclusion,"09LB2V, KO, 09PC86 - The Coca-Cola Foundation Ends the Year with More Than $24.2 Million in Giving to Communities Across North America - 06-Dec-11 - BW.pdf"
