identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
AMZN,2018 Special Olympics USA Games Announces New Ways to Support Athletes,6-Jun-18,BW,2018 Special Olympics USA Games,Contract/Agreement,"“Amazon is proud to support the inclusive spirit of the 2018 Special Olympics USA Games,” said Beth Galetti, Amazon’s Senior Vice President for Worldwide Human Resources. “At Amazon, diversity and inclusion are an inherent part of our culture. The unique talents, experiences, and backgrounds of our employees are the driving force which enables us to build and innovate on behalf of millions of customers around the world. We are looking forward to celebrating the 2018 Special Olympics USA Games athletes, their families, and their friends when they join us in Seattle.”",1,91,Diversity and Inclusion
SIG,6,DAY DEADLINE Khang & Khang LLP Announces a Securities Class Action Lawsuit against Signet Jewelers Limited and Encourages Investors... - 29-Jun,17,,,"The Complaint alleges that during the Class Period, Signet issued false and misleading statements and/or  failed to disclose that alleged sexual harassment by employees of Signet's Sterling Family of Jewelers  division (""Sterling"") - including numerous incidents of sexual assault and rape which were detailed in  approximately 249 declarations signed under penalty of perjury by current and former Sterling employees -  made it unlikely that Signet would be able to avoid paying a sizable amount of damages in connection with a  class action lawsuit filed by Sterling employees. Signet's shares traded at artificially inflated prices during  the Class Period as a result of this information being withheld from the market. On February 27, 2017, The  Washington Post  reported on widespread allegations of sexual harassment made in the private arbitration  that implicated the Company's senior managers and executives. Following this news, Signet's stock price  dropped materially, which caused investors harm.",1,148,sexual harassment
WYNN,All Three Independent Proxy Advisory Firms Support Elaine Wynn's Campaign for Change at Wynn Resorts and Recommend Shareholders WITHHOLD...,9-May-18,PRN,Elaine Wynn,,"Ms. Wynn believes that it is problematic that Mr. Hagenbuch has been a longtime member of the Compensation Committee and serves on the Special Committee responsible for overseeing the investigation into allegations of sexual harassment by his close friend, Stephen A. Wynn, the Company's former Chairman and CEO.",1,48,sexual harassment
AMZN,Amazon Announces First,"Ever 'Amazon Future Engineer Teacher of the Year Awards,' Awarding Seven All-Star Teachers $25,000 Prize Packages fo... - 06",Feb,Amazon,"Corporate Social Responsibility, Award","Awards recognize teachers and their schools inspiring students in underserved and underrepresented communities to build skills and careers in computer science and teachers with a focus on promoting diversity and inclusion in computer science | Amazon (NASDAQ: AMZN) today announced the first-ever Amazon Future Engineer Teacher of the Year Awards to honor and recognize seven all-star teachers and their schools working diligently to help students in underserved and underrepresented communities build life-changing skills to propel their futures in computer science–with prize packages valued at more than $25,000. The more than 2,400 teachers participating in the Amazon Future Engineer Program at over 2,100 schools nationwide can be nominated or apply at AmazonFutureEngineer.com from February 13th to March 12th. Amazon Future Engineer inspires, educates, and prepares hundreds of thousands of students from underserved and underrepresented communities each year in the field of computer science. Amazon Future Engineer teachers are the champions of the program – focusing especially on promoting diversity and inclusion in their computer science classrooms and beyond. | Award recipients will be chosen based on a variety of criteria which includes their commitment to promoting diversity and inclusion within computer science education, a recommendation from a school administrator, and compelling, personal anecdotes about their school and students. Seven award recipients will be chosen from across the country – two high school teachers in the Eastern U.S., two in the West, two in the Central region, and one Amazon Future Engineer Robotics Grant teacher. Scholarship America will judge applications and select the award recipients.",3,"34, 132, 85",Diversity and Inclusion
AMZN,Amazon Announces the Best Books of 2017 (So Far),21-Jun-17,BW,"Amazon.com, Inc.",Product/Service,bestselling author of Bad Feminist  recounts how a childhood sexual assault led her to purposely gain weight in order to be unseen and therefore feel safe; it’s a story that will inspire you to be more considerate of the bodies of others and more accepting of your own.,1,48,sexual assault
AMZN,"Amazon Announces the Best Books of 2017, Naming David Grann's Killers of the Flower Moon The Osage Murders and the Birth of the FBI the #1...",8-Nov-17,BW,"Amazon.com, Inc.",Product/Service,"3. Beartown: A Novel by Fredrik Backman : Backman explores community, loyalty and its limits in this eminently readable, compassionate novel set in a small town that comes together over ice hockey and then comes apart over allegations of sexual violence. Backman’s previous books include A Man Called Ove.",1,49,sexual violence
"AMZN, RHIEQ","Amazon Prime Video Greenlights Lorena, a Docuseries from Jordan Peele's Monkeypaw",5-Apr-18,BW,"Amazon.com, Inc.",Product/Service,"“Jordan has proven himself as a captivating voice of social critique and we are excited to work with him on this project. Lorena reframes Lorena Bobbitt’s story around issues of sexism and domestic abuse and offers Prime members an exclusive new view into how America got her story wrong and maybe continues to get it wrong,” said Heather Schuster, Head of Unscripted, Amazon Originals. | 25 years later, Lorena is a groundbreaking re-investigation of the deep moral issues and painful human tragedies buried at the heart of this infamous American scandal. Lost in the tabloid coverage and jokes was the opportunity for a national discussion on domestic and sexual assault in America.",2,"64, 47","sexual assault, sexism"
AMZN,"Amazon Publishing Announces TOPPLE Books, an Imprint with Emmy Award Winner Jill Soloway",27-Feb-18,BW,Amazon Publishing,"Product/Service, Photo/Multimedia","(NASDAQ:AMZN)—Amazon Publishing today announced the launch of TOPPLE Books, a new imprint with Jill Soloway, the writer, filmmaker and TV creator whose credits include the Emmy and Golden Globe Award- winning Transparent  and I Love Dick. Soloway is a prominent activist for LGBTQ representation in the arts as well as one of the founding members of the #TimesUp and #5050by2020 campaigns to eradicate sexual misconduct and gender inequity in the workplace. Building and expanding on that work, TOPPLE Books will spotlight the voices of women of color, gender non-conforming, lesbian, bisexual, transgender and queer writers. | Emmy and Golden Globe Award winner Soloway will be the Editor-at-Large for TOPPLE Books, an Amazon Publishing imprint focused on revolutionary feminist voices",2,"95, 23","sexual misconduct, feminist"
AMZN,Amazon to Launch Prime Video Channels for Canada,3-Jun-19,CNW,Amazon Canada,"Economy, Business, Finance, Business (General), New Products, Joint Ventures, Licensing, Patents, Science & Technology",,,0,
"AMZN, 009JPF","Amazon.com, Inc.  Zevin Asset Management LLC",Activist Campaign to Vote For a Stockholder Proposal Announced - 08-May,19,,,"On 5-8-2019, Zevin Asset Management LLC filed a notice of exempt solicitation and urged the shareholders of  Amazon.com, Inc. to support its proposal requesting the company to prepare a report assessing the feasibility of  integrating sustainability metrics, including metrics for diversity, inclusion, and equity among senior executives at the  2019 annual meeting. Zevin believed that a sustainability metric promotes executive focus and accountability to  corporate sustainability goals and noted that the company dismissed a similar proposal without any explanation or  justification.",1,81,diversity
