identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
"BYD, GAME, IGT...",5 Ways Investors are Betting on a 2019 Gambling Boom,15-Jan-19,PRN,Safehaven.com,Investment Opinions,"Marriott has suffered some bad press lately, taking a hit for a data breach scandal in December. But the stock is poised to bounce back, and could yield some excellent returns when sports gambling picks up and the national market grows and grows. | Risk factors for the online sports gaming industry in general which also affect Bragg including without limitation the following: Competitors may offer better online gaming products luring away Bragg's customers; Technology changes rapidly in the business and if Bragg fails to anticipate or successfully implement new technologies or adopt new business strategies, technologies or methods, the quality, timeliness and competitiveness of its products and services may suffer; Bragg may experience security breaches and cyber threats; regulators may impose significant hurdles to online gaming companies; Bragg's business could be adversely affected if consumer protection, data privacy and security practices are not adequate, or perceived as being inadequate, to prevent data breaches, or by the application of consumer protection and data privacy laws generally; The products or services Bragg distributes through its platform may contain defects, which could adversely affect Bragg's reputation.",2,"43, 140",data breach
"MSFT, ADBE, SAP...","Adobe, Microsoft and SAP announce the Open Data Initiative to empower a new generation of customer experiences",24-Sep-18,PRN,Microsoft Corp.,Licensing & Marketing Agreements,"""This initiative from Adobe, Microsoft and SAP is an important and strategic development for the Coca-Cola System,"" said Barry Simpson, chief information officer at the Coca-Cola Company. ""Our digital growth plans centered around our customers are fueled by these platforms and open standards. A more unified approach to the management and control of our data strengthens our ability to support our growth agenda and our ability to satisfy security, privacy and GDPR-compliance requirements. The industry needs to follow these leaders.""",1,80,GDPR-compliance
"ENQ.WT, MSFT",AMI To Create Video Content For Microsoft's Bing Health & Fitness App For Windows 8.1,16-Oct-13,PRN,"American Media, Inc.",,"""Original video is an important and growing piece of our digital platform,"" said AMI Executive Vice President, Chief Digital Officer and Global Head of Business Development, Joe Bilman, who was hired last August to lead AMI's digital growth strategy. ""We are delighted to contribute our expertise toward the health benefits that the Bing Health & Fitness app will provide.""",1,59,Chief digital officer
"ATMA, MA, VGG0697K106",ATLAS Mara Limited Atlas Mara and Mastercard enter Partnership,1-Feb-17,INW,,,"""These Mastercard assets will position Atlas Mara to lead ongoing industry efforts to create cash-lite payments ecosystems, entrench financial independence, promote intra-Africa trade and remittances thus fast tracking attainment of scale as an Africa focused bank,"" says Chidi Okpala, Chief Digital Officer at Atlas Mara.",1,45,Chief digital officer
"MSFT, BAC",Bank of America chooses the Microsoft Cloud to support digital transformation,2-Oct-17,PRN,Microsoft Corp.,Licensing & Marketing Agreements,"Microsoft's Financial Services Compliance program — a unique program that allows firms and regulators to deeply examine Microsoft cloud systems, services and processes — provides transparency into Microsoft cloud operations. This helps ensure Microsoft has taken the proper steps to secure data and mitigate risk. In addition, Microsoft's industry-leading compliance portfolio assists financial institutions move to the cloud while meeting current compliance requirements, as well as plan for future regulations like the General Data Protection Regulation.",1,76,General data protection regulation
"002508, 005930, 1088...",Barron's Summary,25-Nov-17,SA,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  Positive on Hapag-Lloyd (HLAG.GR), as the container shipping industry appears to be enjoying its best conditions in nearly a decade. Global trade volume is up 4.3% this year, even as protectionism re-emerges as a threat. The 2016 bankruptcy filing of Hanjin Shipping took vessels off the market and sparked more consolidation and alliances. Hapag-Lloyd's relatively low valuation and strong fleet make it a promising way to play the revival. International Trader (Asia):  Positive on Tencent Holdings (700.HK), whose shares have climbed 125% this year to become the world's fifth-largest listed company. Shares could continue to surge as long as the company can continue to deliver on earnings and widen its moat, with its growing financial-technology business leading the way. Morningstar analyst Chelsey Tam has a current price target of $62.99, or 18% upside after Friday's comeback. Current Yield:  Emerging market bonds have had an impressive recovery after selling off after the U.S. presidential election. The selloff was driven by fears of inflation, rising rates, and a more isolationist trade policy. Markets have shrugged off these concerns, and the trend could continue into 2018, helped by improving global growth, benign inflation, and central banks that continue to suppress interest rates. The Striking Price:  Shares of Cboe Global Markets (CBOE) and CME Group (CME) set 52- week highs last week, likely reflecting expectations that the launch of Bitcoin futures will be lucrative for the exchanges. Barron's is concerned over the decision to pursure Bitcoin futures, as it may not be in the interest of the derivatives market. Until it is known if Bitcoin futures will be segregated at clearing firms to protect the stability of the markets, Barron's doesn't recommend Cboe or CME as anything but momentum trades. Commodities Corner: A cold spell in December could lift winter wheat prices higher than $5 a bushel, up more than a dollar from recent prices. A rally would aid the ailing farm economy, which has been hurt by steadily falling wheat prices since 2012. Fertilizer makers Mosaic (MOS) and Agrium (AGU) are two ways to wager such a move. Insider Transactions:  A list of recent purchases and sales of U.S. companies made by insiders. Up And Down Wall Street:  Janet Yellen last week expressed concern that inflation might continue to fall short of the Fed's 2% target. But a new leading indicator of inflation shows prices rising at nearly a 3% yearly pace, which raises the question: is Yellen concerned about prices that consumers pay, or does she fear a slide in inflated asset prices resulting from the Fed's tightening policy? The Fed faces a conundrum, as it must weigh rising inflation pressures against the risk posed by high -- and arguably inflated -- asset prices. Streetwise: Last week, +UBER said it had suffered a data breach resulting in the theft of information of about 57 million customers; worse yet, the company sat on the information for a year, and paid a $100k ransom for the hackers to hide the breach. Uber has a history of playing by its own set of private rules, free from the onus of public company disclosures. If a private company as large as Uber is serious about transparency and honesty, it should choose to report like a public company. Technology Trader:  Cloud technology is rapidly evolving in a way that could either cement or erode the oligarchy of Amazon (AMZN), Microsoft (MSFT),  and Alphabet (GOOGL). A new way of writing software called ""serverless software"" makes it easier for programmers to use cloud computing generally, which is good for these companies; but it can also weaken a programmer's loyalty to any one cloud, which could weaken the grip of the oligarchs. The three leaders are trailed by IBM (IBM) and Oracle (ORCL). Speaking of Dividends:  Tax inversions enable a U.S. corporation to acquire a foreign company and then reincorporate overseas. A recent bill that made it out of the Senate Finance Committee would tax the dividends of inverted companies at a much higher rate than currently. Among U.S. companies that have done inversions are Medtronic (MDT), Eaton (ETN), Allergan (AGN), Johnson Controls International (JCI), Mylan (MYL), and Endo International (ENDP).",1,694,data breach
LYV,C O R R E C T I O N,#NAME?,May,Live Nation Entertainment,"Corporate Social Responsibility, Not For Profit Organizations","Through advocacy, education and litigation, our attorneys, advocates and volunteers work to preserve and promote civil liberties, including the freedom of speech, the right to privacy, reproductive freedom, and equal treatment under the law. The ACLU of Pennsylvania stands in defense of the rights of women and minorities, workers, students, immigrants, gay, lesbian, bisexual and transgender people, and others who have seen",1,62,right to privacy
MSFT,C O R R E C T I O N,#NAME?,Jan,Microsoft Corporation,Corporate Social Responsibility,"""At PATH we're focused on using innovation to remove barriers so that everyone can receive the healthcare they need to thrive. Along with Microsoft, we believe there is tremendous power in using AI to help us see all communities, identify the diseases that affect them, and ultimately improve the way they deliver care. Only when every community has the opportunity to transform their health can all of humanity advance,"" said Jeff Bernson, MPA, MPH, chief data officer, vice president, Technology, Analytics, and Marketing Innovation, PATH.",1,85,chief data officer
"MSFT, 061N9F, 09YCRF",Canadian Business Leaders Must Enable A Culture of Creativity and Collaboration to Survive In the New World of Work,18-Jan-18,CNW,Microsoft Canada Inc.,,"In fact, 84 per cent of business decision makers confirm that transforming business to address the needs of the modern workplace by giving teams the tools to be mobile and work remotely cannot come at the cost of sacrificing the company's data and information – it must remain safe. More broadly, the research also highlighted that more than three quarters (78 per cent) of business decision makers see security as a high priority, placing an importance on ensuring their business is protected against data breaches. | Despite the acknowledgement of the importance of security, fewer than three in ten business decision makers feel very confident that their organization is currently well protected against security threats, including data breaches and loss of devices. This means many organizations may be leaving themselves vulnerable to security breaches.",2,"85, 48",data breach
MSFT,Chris Henley From Microsoft and Randy Abrams From ESET to Be Featured on Let's Talk Computers (R),17-Jun-11,INW,,,"Randy Abrams, Director of Technical Education with ESET, continues his conversation on how massive data breaches are affecting both businesses and consumers, alike. | To find out ore about How Computer Data Breaches are affecting both businesses and consumers and to read a complete transcript of this interview go to: http://www.eset.com/ltc_interviews/june_18_2011/",2,"23, 27",data breach
MSFT,Cognigo Collaborates with Microsoft AIP to Ensure Critical Data Assets Will Not Fall Into the Wrong Hands,9-May-18,PRNE,,"Contracts, European Government, New Products & Services","Cognigo, a global leader in Cognitive Data governance and security, announced today a collaboration with Microsoft AIP (NASDAQ: MSFT) to protect organizations from data breaches by classifying all data assets, both structured and unstructured, on-premises and in the cloud, automatically and at scale. | The partnership helps organizations reach GDPR compliance and data security through advanced cognitive classification, context-aware search engine and policy enforcement. | Cognigo DataSense is a single point of control to manage and secure critical data assets and PIIs. Gain deep and context-aware visibility into enterprise-wide data. Achieve GDPR compliance in days, not months.",3,"43, 20, 32","GDPR compliance, data breach"
"0FLYK9, MSFT",Cybersecurity Company GreatHorn Announces Partnership With Microsoft,17-Dec-15,INW,,,"The Boston-based cybersecurity company combined the Microsoft announcement with an overview of their platform's rapid growth. According to company executives, the GreatHorn technology -- which merges an expert detection system for fraudulent activity inside of cloud communication channels with a dynamic machine learning platform that can catch even the most subtle attempts to deceive business users -- now defends against data breaches for over 6,500 cloud mailbox users.",1,68,data breach
