who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
Procter & Gamble,"Photo/Multimedia, Product/Service","“My Black is Beautiful represents a community of over 600,000 strong who come together based on shared experiences and the desire to celebrate everything that makes black women beautiful,” said Linda Clement Holmes, Procter & Gamble, Chief Diversity Officer and Senior Vice President of Global Business Service. “The launch of Imagine a Future reflects a natural evolution of our mission to focus on both black women and girls. We are thrilled to partner with UNCF and BGR! to bring this new initiative to life through the development of much needed solutions for our young black girls based on the must-have conversations about beauty, self-worth and empowerment.”",1,106,Chief Diversity Officer,"0651RD, PG - New Initiative Aims to Imagine a Future for One Million Black Girls over the Next Three Years - 06-Jul-12 - BW.pdf"
Procter & Gamble,,"“As a company that serves a diverse consumer base, Diversity & Inclusion is a top priority to us. That’s why P&G and Orgullosa are committed to supporting the Latino community and are sensitive to the fact that often Hispanic students who wish to pursue studies in these areas unfortunately can’t afford to pay for a college education,” said Valentina Sanchez, Orgullosa Brand Manager.",1,63,Diversity & Inclusion,"0B2HTC, PG, PG - Procter & Gamble, its Orgullosa Program and Hispanic Scholarship Fund Partner in Their Efforts to Raise Awareness on the Importan... - 08-Nov-12 - BW.pdf"
,Press releases,"The annual gala supports priority initiatives of the AIChE Foundation and its Doing a World of Good campaign, which focus on advancing chemical engineering and bringing that expertise to bear for the good of society. The campaign’s diversity and inclusion initiatives received a boost at the gala with the announcement of a new five-year, $5 million initiative: All for Good: Engineering for Inclusion — dedicated to programs that will attract and retain the best engineering talent from all walks of life for the profession.",1,84,Diversity and Inclusion,"0GWCV0, PFE, 06NMSQ - AMERICAN INSTITUTE OF CHEMICAL ENGINEERS LAUDS ORGANIZATIONS AND LEADERS FOR INSPIRING WOMEN IN ENGINEERING - 12-Dec-18 - PMZ.pdf"
IMS India TSA March MAT 2016 except Total Revenue,,"PREVENTION OF SEXUAL HARASSMENT POLICY The  ‘Sexual  Harassment  of  Women  at  Workplace  (Prevention,  Prohibition  and  Redressal)  Act,  2013’  (“the  Act”)  seeks  to  protect  women  colleagues  against  sexual  harassment  at  their  workplace.  A  specially-designed  online  course  was  rolled  out  to  help  all  colleagues  and  contingent associates to understand what constitutes sexual harassment at workplace and how to address it; as well as the organization’s  role in preventing it. During the financial year under review, one complaint was received and the same was duly attended to, in accordance  with the Act. | vi.  Devise a Policy on Board Diversity. | (h)  Board Diversity | The Company recognizes that a Board composed of appropriately qualified members with a broad range of experience relevant  to the business is important for effective corporate governance and sustained commercial success. The Company believes that it  has a truly diverse Board which leverages on the skills and knowledge, industry or related professional experience, age and gender,  which helps the Company to retain our competitive advantage. The Board has adopted the Board Diversity Policy to recognize the  benefits of a diverse Board and to further enhance the quality of participation and performance.",4,"89, 7, 3, 91","diversity, sexual harassment","500680, PFE, 06533G - Annual Report 2015 - 2016 - 14-May-16 - NEWS_CR.pdf"
MarketNewsUpdates.com,Investment Opinions,"Market analysts are forecasting steady growth for the Global Condom Industry based on such factors as rise in sexually transmitted diseases, HIV/Aids, incorrect use of contraceptives, unprotected sexual intercourse, contraceptive failures, or sexual assaults which can lead to unplanned pregnancies. According to Global Market Insights, the Global Contraceptives Market is poised cross USD $35 Billion by 2024 on the heels of rising prevalence of sexually transmitted diseases, favorable regulatory scenario in developed nations. The increasing use of contraceptive in under developed countries and rising awareness towards disease prevention will further boost the business size. In the news today includes: RESTANCE, Inc. (OTC: ANCE), Church & Dwight Co., Inc. (NYSE: CHD), Reckitt Benckiser Group plc (OTC: RBGLY), Pfizer Inc. (NYSE: PFE), Pfizer Inc. (NYSE: PFE)",1,124,sexual assault,"ANCE, CHD, LLY... - Global Condom Industry Growing at a Rapid Pace on Rising Awareness Towards Disease Prevention - 28-Nov-17 - PRN.pdf"
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Trader Extra:  Positive on Dollar Tree (DLTR), whose valuation is at a five-year low; The company looks likely to bounce back from its acquisition of Family Dollar, which has dragged on results; If not, an activist investor like Carl Ichan could get involved to force more drastic action. Trader Extra:  Former  Wynn Resorts (WYNN) CEO Steve Wynn, who resigned after sexual misconduct allegations, sold his entire $2.1B interest in the company in March; The well-timed sale saved him $900M.",1,79,sexual misconduct,"ARRS, BA, BATRA... - Barron's Summary  - - 10-Nov-18 - SA.pdf"
P&G,"Conference, Event","#SheIsEqual Summit Brings Together P&G, Global Citizen and the ANA #SeeHer Initiative to Accelerate Gender Equality  Wednesday, September 26, 2018 01:25:00 PM (GMT) | Three leading organizations come together to inspire broader action for gender equality during UN General Assembly Week | In an effort to inspire broader collective action for gender equality, P&G (NYSE: PG) is co-hosting the first #SheIsEqual Summit with Global Citizen and the Association of National Advertisers’ (ANA) #SeeHer movement. The event will take place on Friday, September 28, as a part of Global Citizen Week held during the 73rd Session of the UN General Assembly. | “At P&G, we aspire to build a world where everyone sees equal,” said Carolyn Tastad, P&G Group President, North America, and Executive Sponsor, Gender Equality. “We know that when we do this, communities are healthier, businesses thrive, and the world is a better place for everyone. It benefits all of us, and it will take all of us, working together, to create a more equal world. That’s why we’re delighted to partner with Global Citizen and #SeeHer to bring so many powerful voices together at this event.” | “Gender equality is at the center of our shared mission to end extreme poverty. Empowering girls and women enables future generations to prosper. We are proud to partner with P&G and the ANA #SeeHer movement to host the inaugural #SheIsEqual Summit, to share important perspectives on women’s empowerment, gender equality, and how to continue moving forward to demand opportunity for girls and women everywhere,” said Hugh Evans, CEO of Global Citizen. | “We are using our voice in advertising and media to tackle gender bias and promote gender equality,” said Marc Pritchard, P&G Chief Brand Officer and ANA Chair. “It’s a responsibility and an opportunity because gender equality is not only a force for good, it’s a force for growth. It’s time to come together to be agents of change to achieve gender equality in the creative world. The #SheIsEqual Summit will celebrate progress and inspire action to achieve that goal.”",6,"23, 17, 58, 87, 71, 79",gender equality,"PG - #SheIsEqual Summit Brings Together P&G, Global Citizen and the ANA #SeeHer Initiative to Accelerate Gender Equality - 26-Sep-18 - BW.pdf"
Procter & Gamble,"Photo/Multimedia, Conference, Trade Show, Event","Perception is Everything: Why Visibility for Women is Key to Closing Tech’s Gender Gap  – 6:00 p.m. PT | R&D Lisa Ernst joins a panel discussion with The Female Quotient on closing the gender gap and driving diverse partners in STEM. | Building on the company’s commitment to gender equality and inclusion, P&G’s VP of Oral and Health Care | The discussion will also include leaders from The Ad Council, Lyft, EY and Women in Autonomy. P&G is an ongoing supporter of The Female Quotient, which is bringing its focus on metrics-based approaches to advancing gender equality and visibility for women in the workplace to CES this week in its Equality Lounge. | Procter & Gamble (NYSE: PG) today will continue efforts to recruit and develop innovative entrepreneur partners, advocate for greater diversity and inclusion in technology-led industries and share a roadmap for leveraging creativity that can enhance everyday consumer experiences. | P&G continues efforts to recruit and develop innovative entrepreneur partners, advocate for greater diversity and inclusion in technology-led industries and share a roadmap for leveraging creativity that can enhance everyday consumer experiences. (Graphic: Business Wire) | CES Day Two: P&G Spots Future Entrepreneurs, Advances Diversity in Tech and Drives Creativity to Reinvent Consumer Experiences  Wednesday, January 08, 2020 03:00:00 PM (GMT)",7,"18, 22, 17, 52, 38, 35, 25","diversity, Diversity and Inclusion, gender gap, gender equality","PG - CES Day Two P&G Spots Future Entrepreneurs, Advances Diversity in Tech and Drives Creativity to Reinvent Consumer Experiences - 08-Jan-20 - BW.pdf"
https://www.freethebid.com/how-to/,"Contract/Agreement, Photo/Multimedia","Earlier this year, the Procter & Gamble Company announced its commitment to gender equality through a series of new actions, commitments and partnerships to achieve 100% accurate and positive portrayals of women in advertising and media. In that spirit, the Her Shot  campaign is all about supporting female creativity and committing to bringing more of it to the forefront.",1,59,gender equality,PG - Gillette Venus and Regina King Celebrate Female Creativity and Its Contribution to the World - 06-Sep-18 - BW.pdf
Procter & Gamble,Human Interest Groups,"Global Leaders Call for a New Playbook to Accelerate Progress on Gender Equality at P&G WeSeeEqual Summit  Friday, May 24, 2019 01:01:00 PM (GMT) | SINGAPORE, May 24, 2019 /PRNewswire/ -- Procter & Gamble (NYSE:PG) today hosted the second annual Asia Pacific  #WeSeeEqual Summit, bringing together eminent figures from private and public sectors to share their point of view on the underrepresentation of women in leadership roles, and call out on the need as leaders to impact change and accelerate progress for gender equality. | The long-day program saw the participation of  illustrious speakers, influential personalities and leaders from around the world, including Julia Gillard, former Prime Minister of  Australia, Mohammad Naciri, UN Women Regional Director for Asia and the Pacific, Tiffany Dufu, author of Drop the Ball: Achieving More By Doing Less, Pocket Sun, Co-Founder and Managing Partner of SoGal Ventures, P&G executives and gender equality advocates Magesvaran Suranjan, P&G President, APAC and IMEA,  Karl Preissner, P&G Leader, Global Diversity and Inclusion, and Balaka Niyazee, P&G VP of  Korea and Executive Sponsor, Gender Diversity, APAC. | Opening the session, Magesvaran Suranjan, said, ""As a leader, it is imperative that we write a new playbook for a gender equal workplace and world. At P&G, I am proud that we have always been a strong advocate for gender equality and, today, we have a significant number of women in leadership positions in APAC and around the world. Gender equality goes beyond targets, quotas and sponsorship of women's development programs. We need new interventions to ""Fix the System"" and include men as inclusive and equality-minded leaders. The focus is on workplaces where men champion equality together with women. When more corporations and organizations commit to championing equality, then we will see equal."" | Julia Gillard, who made history as the first female Prime Minister of  Australia, says, ""I am very pleased and honoured to support the gender equality commitment by P&G APAC to strengthen success for women in business and life.  I believe the WeSeeEqual movement is a force for change and progress towards gender equity and stronger communities."" | To encourage and inspire more men in their support of gender equality, the #WeSeeEqual Summit hosted male allies, including Ralph Haupter, President of Microsoft Asia and Tsuyoshi Morioka, CEO, Katana Inc  to share their experiences in overcoming bias, spearheading greater diversity and equality, and being equal partners in the workplace and at home. | Mohammad Naciri, UN Women Regional Director for Asia and the Pacific, says, ""Gender equality is not only the right thing to do, it is the smart thing to do. We know when equality increases economies and communities do better. In order to achieve a more gender-equal society, the corporate sector plays a crucial role alongside governments and civil society in implementing policies and initiatives that support women. This is not a women's-only fight, but men, too, must play an active role in advocating for inclusivity and change."" | The various panel sessions covered gender equality in its many facets, including the importance of women's economic empowerment to reach to the UN Sustainable Development Goal (SGD) on Gender Equality, the role of advertising and media in changing bias, the benefits of professional and personal support groups in positively impacting work-life balance, and the importance of a new narrative with a broader definition of leadership that is not limited to the male leadership prototype. | As a flagship event that highlights P&G's continued commitment to lead the change in gender equality both within the organization and outside in the community, the 2019 #WeSeeEqual Summit also hosted a milestone event for select women entrepreneurs in Singapore as they celebrated their graduation from  P&G and WEConnect International Women Entrepreneurs Development Program. The ten-course capability training program, is part of P&G's long-term commitment to support women's economic empowerment by promoting a more diverse supply network under the global initiative 'Supplier Diversity Program' and ensure local businesses, especially those owned and led by women, are a growing part of P&G's partner ecosystem and global value chain.",9,"24, 59, 91, 113, 56, 53, 87, 74, 107",gender equality,PG - Global Leaders Call for a New Playbook to Accelerate Progress on Gender Equality at P&G WeSeeEqual Summit - 24-May-19 - PRNA.pdf
The Procter & Gamble Company,"Photo/Multimedia, Contract/Agreement, Product/Service","“With their deep commitment to gender equality, P&G and their brands are the perfect partners to help continue Fair Play ’s mission of rebalancing domestic life and fostering a cultural conversation that is long overdue. With P&G’s support, we are excited to bring Fair Play  to audiences and consumers in new ways in this next phase and are so grateful to the entire P&G team for their visionary commitment.” – Sarah Harden (CEO, Hello Sunshine) | “At P&G, we believe in equality, and we’re determined to advance equality in the workplace and our world. It makes our business better. It makes our communities stronger. An equal world is a better world for all of us. And we know that equality at work is easier when there’s equality at home. We’re very excited about our partnership with Eve and Hello Sunshine, and we’re certain Fair Play will help couples and families find solutions to share responsibilities at home — and that’s a win for everyone.” – Carolyn Tastad (Group President North America, Global Sales Officer & Executive Sponsor Gender Equality, P&G)",2,"75, 104",gender equality,PG - Hello Sunshine and P&G Announce Partnership on NY Times Bestselling Book Fair Play - 07-Nov-19 - BW.pdf
Procter & Gamble,"Contract/Agreement, Corporate Social Responsibility, Product/Service, Photo/Multimedia, Event","As members, allies and advocates of the LGBTQIA+ community, Herbal Essences values and supports diversity. Together with parent company P&G, Herbal Essences is proud to continue its long-term commitment to embrace and advocate for diversity and inclusion in the LGBTQIA+ community and beyond. To learn more, visit https://us.pg.com/diversity-and-inclusion/. | Nature nurtures diversity and Herbal Essences believes everyone should as well. Fifty years ago, the seeds of the modern gay rights movement were planted with the Stonewall Riots. The movement took root, grew, and today, it flourishes like never before. This year, Herbal Essences celebrates what began with Stonewall with a Garden Wall honoring those who #FlourishWithPride, transforming a space of adversity into a celebration of diversity. | “At our core, Herbal Essences believes that we should all nurture diversity – it’s what nature intended – and necessary to keep life on our planet thriving,” said Ilaira Resta, North America General Manager, P&G Hair Care. “We’re thrilled to partner with floral designers Michael and Darroch Putnam on this project not only for their beautiful aesthetic, but because we feel they truly embody our messages of inclusion and diversity in both the LGBTQIA+ and floral communities.” | “Understanding and appreciating nature’s diversity by creating beautifully unique arrangements as well as protecting nature by using sustainable resources is such a huge part of what we do,” said Michael Putnam, of Putnam & Putnam. “When Herbal Essences came to us with this opportunity to celebrate Pride by honoring nature’s diversity, we were thrilled to be a part of it both personally and professionally.” | At Herbal Essences, we know it’s only natural to be different. In fact, nature nurtures diversity and so do we. We protect diversity in plants and embrace it in people and in our products. We see beauty in all plants, all people and all places. And when we don’t see it, we create it. We are committed to diverse ingredients, inclusively designed products and partnerships with experts and organizations that protect & preserve the",5,"48, 67, 77, 64, 74","Diversity and Inclusion, diversity",PG - Herbal Essences Celebrates LGBTQIA+ Communities with Larger-than-Life Blooming Flower Wall at 2019 World Pride in NYC - 20-Jun-19 - BW.pdf
The Procter & Gamble Company,"Product/Service, Event","“As a brand for women run by women, we wholeheartedly believe women should not have to sweat gender inequality,” said Sara Saunders, Associate Brand Director, Secret, P&G. “We have been vocal in our support of women in sports and dedicated to helping them to receive equal visibility. Our goal with this effort is to celebrate the excellence of this league and continue to ensure that female athletes have a platform to play and get the attention they deserve.”",1,78,gender inequality,"PG - In Continued Effort to Enable Equal Visibility for Women, Secret Deodorant Commits to Boosting Attendance at Women's Soccer Games, Purchasing... - 16-Sep-19 - BW.pdf"
USC Annenberg Inclusion Initiative report,"Photo/Multimedia, Contest, Product/Service","This latest move from Secret is in line with the brand’s longstanding advocacy for women’s equality. Most recently, Secret made headlines when it donated more than one half-million dollars to women’s soccer players in an effort to close the gender pay gap. Secret’s parent company, Procter & Gamble, is also a prominent supporter of women’s equality, playing an active role in the Association of National Advertisers’ #SeeHer movement. | “As a brand for women, we consistently strive to elevate other women in all we do. But when it comes to the production of music for our campaigns, it has frankly been a struggle to do so, as women are so significantly underrepresented in the music industry,” said Sara Saunders, Associate Brand Director, Secret, P&G. “We want to change that. We’ve heard from women that there’s one thing that can make all the difference in their careers, and that’s access to other women in the industry. Secret is proud to team up with Women in Music – the music industry's leading non-profit working toward gender equality – to enable to just that. And we’ll continue to support those women by exclusively enlisting all-female music teams in the production of Secret campaigns.”",2,"68, 131","gender pay gap, gender equality","PG - In Continued Push for Women's Equality, Secret Turns Its Attention to the Music Industry, Making Commitment to Feature 100% Women-Made Musi... - 04-Nov-19 - BW.pdf"
