who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  Positive on Hapag-Lloyd (HLAG.GR), as the container shipping industry appears to be enjoying its best conditions in nearly a decade. Global trade volume is up 4.3% this year, even as protectionism re-emerges as a threat. The 2016 bankruptcy filing of Hanjin Shipping took vessels off the market and sparked more consolidation and alliances. Hapag-Lloyd's relatively low valuation and strong fleet make it a promising way to play the revival. International Trader (Asia):  Positive on Tencent Holdings (700.HK), whose shares have climbed 125% this year to become the world's fifth-largest listed company. Shares could continue to surge as long as the company can continue to deliver on earnings and widen its moat, with its growing financial-technology business leading the way. Morningstar analyst Chelsey Tam has a current price target of $62.99, or 18% upside after Friday's comeback. Current Yield:  Emerging market bonds have had an impressive recovery after selling off after the U.S. presidential election. The selloff was driven by fears of inflation, rising rates, and a more isolationist trade policy. Markets have shrugged off these concerns, and the trend could continue into 2018, helped by improving global growth, benign inflation, and central banks that continue to suppress interest rates. The Striking Price:  Shares of Cboe Global Markets (CBOE) and CME Group (CME) set 52- week highs last week, likely reflecting expectations that the launch of Bitcoin futures will be lucrative for the exchanges. Barron's is concerned over the decision to pursure Bitcoin futures, as it may not be in the interest of the derivatives market. Until it is known if Bitcoin futures will be segregated at clearing firms to protect the stability of the markets, Barron's doesn't recommend Cboe or CME as anything but momentum trades. Commodities Corner: A cold spell in December could lift winter wheat prices higher than $5 a bushel, up more than a dollar from recent prices. A rally would aid the ailing farm economy, which has been hurt by steadily falling wheat prices since 2012. Fertilizer makers Mosaic (MOS) and Agrium (AGU) are two ways to wager such a move. Insider Transactions:  A list of recent purchases and sales of U.S. companies made by insiders. Up And Down Wall Street:  Janet Yellen last week expressed concern that inflation might continue to fall short of the Fed's 2% target. But a new leading indicator of inflation shows prices rising at nearly a 3% yearly pace, which raises the question: is Yellen concerned about prices that consumers pay, or does she fear a slide in inflated asset prices resulting from the Fed's tightening policy? The Fed faces a conundrum, as it must weigh rising inflation pressures against the risk posed by high -- and arguably inflated -- asset prices. Streetwise: Last week, +UBER said it had suffered a data breach resulting in the theft of information of about 57 million customers; worse yet, the company sat on the information for a year, and paid a $100k ransom for the hackers to hide the breach. Uber has a history of playing by its own set of private rules, free from the onus of public company disclosures. If a private company as large as Uber is serious about transparency and honesty, it should choose to report like a public company. Technology Trader:  Cloud technology is rapidly evolving in a way that could either cement or erode the oligarchy of Amazon (AMZN), Microsoft (MSFT),  and Alphabet (GOOGL). A new way of writing software called ""serverless software"" makes it easier for programmers to use cloud computing generally, which is good for these companies; but it can also weaken a programmer's loyalty to any one cloud, which could weaken the grip of the oligarchs. The three leaders are trailed by IBM (IBM) and Oracle (ORCL). Speaking of Dividends:  Tax inversions enable a U.S. corporation to acquire a foreign company and then reincorporate overseas. A recent bill that made it out of the Senate Finance Committee would tax the dividends of inverted companies at a much higher rate than currently. Among U.S. companies that have done inversions are Medtronic (MDT), Eaton (ETN), Allergan (AGN), Johnson Controls International (JCI), Mylan (MYL), and Endo International (ENDP).",1,694,data breach,"002508, 005930, 1088... - Barron's Summary - 25-Nov-17 - SA.pdf"
,Research Analysis and Reports,"""This recognition reconfirms our dedication to creating a product that is in the best interest of consumers,"" said LifeLock Chairman and CEO Todd Davis. ""Over a quarter of a trillion records were lost due to data breaches in the past four years alone, proving that despite our members best efforts to protect their personal information, it can get into the wrong hands. Unrelenting and proactive protection provides our members with true peace of mind and I'm proud of LifeLock's nearly 500 employees that make this happen every day.""",1,88,data breach,008VZW - LifeLock Command Center and LifeLock Credit Score Manager Named Best in Class for Prevention - 19-Oct-11 - PMZ.pdf
,Calendar of Events,"TEMPE, Ariz., April 11, 2012 (GLOBE NEWSWIRE) -- Many consumers work hard to keep their personal information safe yet they're still falling victim to identity theft. So how do identity thieves get a hold of the personal and financial information? The Red Tape Chronicles recently reported a massive security breach putting 1.5 million Visa and MasterCard card numbers at risk. Unfortunately, data breaches aren't a new topic for American consumers. According to the Privacy Rights Clearinghouse there have been 722 data breaches since January 2011, exposing over 32 million records. It should be no surprise that for the 12th year in a row, identity theft complaints have topped the Federal Trade Commission consumer complaint list.",1,115,data breach,008VZW - Louisiana Law Enforcement Invited to Free 2-Day Identity Theft Workshop Presented by FBI-LEEDA and LifeLock - 11-Apr-12 - PMZ.pdf
"ID Analytics, LLC","Survey, Product/Service, Photo/Multimedia","While offering a smooth digital account opening experience is critical, fraud risk is an important concern for businesses. The total cost of fraud with new bank account openings reached $2 billion in 2014. Additionally, data breach notifications in the U.S. more than tripled in 2014, affecting nearly 62 million consumers, up from 24 million the previous year. According to the study, Javelin notes it anticipates there will be a spike in new account fraud.",1,74,data breach,"063YST, LOCK - New Study Reveals Digital Account Opening Has Never Been More Critical for Financial Institutions - 16-Sep-15 - BW.pdf"
Power Matters Alliance,,"Starbucks ""We are always looking for ways to help our customers recharge, both literally and figuratively.  Wireless charging is not only the most convenient and simple way to recharge a mobile device, but it's environmentally friendly – so it makes perfect sense for us to be working with the PMA to create a universal standard for wireless charging,"" said Adam Brotman, chief digital officer of Starbucks.",1,66,Chief digital officer,"09MBPH, T, GOOGL... - AT&T, Google, Starbucks Back 'PMA' Wireless Power Ecosystem and Open Standard - 29-Oct-12 - PRN.pdf"
,Contracts,"""We have invested a great deal in our information protection technologies. We are proud and excited to see the Symantec technologies support the EY data protection solution. From helping businesses leverage our technologies to accelerate GDPR compliance, to the EY managed data loss prevention service that is continuously focused on risk reduction, I'm confident that this strategic alliance will drive tremendous customer success."" | The alliance addresses the constant challenges for companies to protect data across their ecosystem and address regulations in data privacy, such as the General Data Protection Regulation (GDPR) adopted by the European Union.",2,"63, 33","GDPR compliance, General data protection regulation","0GQ9Y2, NLOK - EY and Symantec alliance combines consulting and technology experience to help organizations effectively manage cyber risk - 19-Dec-18 - PRNE.pdf"
,Other News,"Ahold Delhaize announces appointment of Farhan Siddiqi as Chief Digital Officer and member of the Executive Committee  Tuesday, January 08, 2019 07:31:22 AM (GMT) | Zaandam, the Netherlands, January 8, 2019 - Ahold Delhaize announces today the appointment of Farhan Siddiqi as Chief Digital Officer and member of the Executive Committee, effective January 28, 2019. In this role, Farhan will drive digital transformation and innovation across Ahold Delhaize's great local brands, focusing on loyalty, data analytics and personalization.  | Farhan joins Ahold Delhaize from McDonald's where he most recently served as Chief Digital Officer and led the restaurant chain's digital transformation, including the launch of mobile commerce in 20,000 restaurants, a new mobile app and the upgrade of self-service ordering kiosks. He was also responsible for data analytics and extending Customer Relationship Management capabilities. Prior to this, Farhan held several key leadership positions within Bank of America, Target and General Electric, where he focused on implementing successful customer loyalty programs, digital payment solutions, and launching strategic partnerships.",3,"24, 53, 88",Chief digital officer,AD - Ahold Delhaize announces appointment of Farhan Siddiqi as Chief Digital Officer and member of the Executive Committee - 08-Jan-19 - PMZ.pdf
,Other News,"Hanneke's successor will take on a new role of Chief Digital Officer and will be responsible to drive digital transformation and innovation, including loyalty data analytics and personalization, key elements of the Better Together strategy.  Also we will continue to coordinate best practice sharing in eCommerce across the brands to benefit from our global scale.",1,55,Chief digital officer,AD - Ahold Delhaize announces departure of Hanneke Faber as Chief eCommerce and Innovation officer - 27-Oct-17 - PMZ.pdf
,,,,,,AD - Royal Ahold Delhaize NV(AD-NL) Schedules Capital Markets Day for 13-November-2018 800 AM ET - 08-Aug-18 - FCSTEV.pdf
Safehaven.com,Investment Opinions,"technologies or adopt new business strategies, technologies or methods, the quality, timeliness and competitiveness of its products and services may suffer; Bragg may experience security breaches and cyber threats; regulators may impose significant hurdles to online gaming companies; Bragg's business could be adversely affected if consumer protection, data privacy and security practices are not adequate, or perceived as being inadequate, to prevent data breaches, or by the application of consumer protection and data privacy laws generally; The products or services Bragg distributes through its platform may contain defects, which could adversely affect Bragg's reputation.",1,94,data breach,"ATVI, LVS, SGMS... - America's Multi-Billion Dollar Gambling Revolution - 16-Jan-19 - PRN.pdf"
AuthenTec,Product/Service,"Enables Quick, Multi-factor Authentication for a Growing Number of Symantec VIP-approved Websites via AuthenTec’s Eikon USB Fingerprint Peripheral | The new Eikon-Symantec VIP solution is a powerful offering for consumer and enterprise PC users as well as IT administrators. Until now, users had to carry a physical authentication token or copy and paste the VIP code manually. Now with a convenient swipe of the finger, Eikon users are assured secure access to a multitude of Symantec VIP-approved sites. The solution also enables IT administrators to conveniently deploy multi-factor authentication while helping reduce the cost of managing physical tokens and effectively preventing network attacks from key loggers and other means.",2,"18, 90",Multi-factor authentication,"AUTH, NLOK, 003DZC... - AuthenTec Eikon™ Digital Privacy Manager Is First to Combine Fingerprint Security with Symantec™ VIP Authentication Servic... - 26-Mar-12 - BW.pdf"
