who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Media Summaries, Sunday NYT Summary","The data breach recently disclosed by Equifax ( EFX) has endangered millions of consumers, exposing them to identity theft and financial losses. Equifax investors are also shouldering the burden, with the stock falling 35% since the disclosure. It remains unclear, however, whether the company's executives will pay financially for the company's failures. The performance measure Equifax has used to determine executive incentive compensation excludes the cost of legal settlements made by the company.",1,73,data breach,"005930, 7203, AAPL... - New York Times Sunday Edition Summary - 17-Sep-17 - SA.pdf"
,,"""Fraudsters and identity thieves are most active at this time of year because most of us are spending more time shopping for holiday gifts, and during this hectic time the criminals are counting on us to let our guard down,"" said John Russo, Equifax Canada's Chief Privacy Officer. ""We're either shopping online or pulling out our credit cards or other personal identification information from our wallets in stores, which makes us a prime target for identity thieves.""",1,77,Chief Privacy Officer,"05MC4S, EFX - Canadians Feeling More Vulnerable to Fraudsters and Identity Thieves this Holiday Season - 22-Nov-16 - INW.pdf"
,Research Analysis and Reports,"“More  and  more  fraudsters  are  not  only  seeking  access  to  victims’  hard  earned  money  but  also  their personal  information,”  said  Jeff  Thomson,  a  senior  RCMP  intelligence  analyst  with  the  CAFC.  “While  data breaches  and  phishing  emails  still  remain  the  top  reported  attack  methods,  Canadians  also  need  to  remain diligent to not provide personal or financial information to unknown callers.”",1,59,data breach,"05MC4S, EFX - Canadians getting more complacent about fraud, missing the importance of checking credit reports - 02-Mar-20 - PMZ.pdf"
Stone & Magnanini LLP,Legal Issues,"Stone & Magnanini LLP Files Lawsuit On Behalf of Equifax Identity Theft Protection and Credit Monitoring Service Customers Over Data Breach Incident  Tuesday, October 10, 2017 06:02:00 PM (GMT) | BERKELEY HEIGHTS, N.J., Oct. 10, 2017 /PRNewswire/ -- On September 7, 2017, Equifax publicly disclosed one of the largest data breach incidents in United States history, implicating the release of confidential and secure information belonging to 145 million United States consumers. Stone & Magnanini LLP, a nationally recognized boutique litigation firm, recently filed a class-action complaint against Equifax Incorporated and Equifax Information Services on behalf of all persons in the United States who entered into an agreement for services or products with, or who otherwise directly transmitted to Equifax, any of their personally identifiable information (""PII""), and whose PII was accessed without authorization in the data breach Equifax announced in September 2017. | If you are interested in speaking with one of our attorneys about your case, please fill out the inquiry form on our website dedicated to helping victims of Equifax's data breach: http://www.equifaxclassactionteam.com. | View original content: http://www.prnewswire.com/news-releases/stone--magnanini-llp-files-lawsuit-on-behalf- of-equifax-identity-theft-protection-and-credit-monitoring-service-customers-over-data-breach-incident- 300534134.html",4,"29, 112, 32, 6","data breach, data-breach","05MC4X, EFX - Stone & Magnanini LLP Files Lawsuit On Behalf of Equifax Identity Theft Protection and Credit Monitoring Service Customers Over Dat... - 10-Oct-17 - PRN.pdf"
Federal Trade Commission,Legal Issues,"Equifax to Pay $575 Million as Part of Settlement with FTC, CFPB, and States Related to 2017 Data Breach  Monday, July 22, 2019 11:00:00 AM (GMT) | Settlement includes fund to help consumers recover from data breach | WASHINGTON, July 22, 2019 /PRNewswire/ -- Equifax Inc. has agreed to pay at least $575 million, and potentially up to $700 million, as part of a global settlement with the Federal Trade Commission, the Consumer Financial Protection Bureau (CFPB), and 50 U.S. states and territories, which alleged that the credit reporting company's failure to take reasonable steps to secure its network led to a data breach in 2017 that affected approximately 147 million people. | As part of the proposed settlement, Equifax will pay $300 million to a fund that will provide affected consumers with credit monitoring services. The fund will also compensate consumers who bought credit or identity monitoring services from Equifax and paid other out-of-pocket expenses as a result of the 2017 data breach. Equifax will add up to $125 million to the fund if the initial payment is not enough to compensate consumers for their losses. In addition, beginning in January 2020, Equifax will provide all U.S. consumers with six free credit reports each year for seven years—in addition to the one free annual credit report that Equifax and the two other nationwide credit reporting agencies currently provide. | settlement-with-ftc-cfpb-and-states-related-to-2017-data-breach-300888497.html",5,"26, 10, 74, 116, 1","data breach, data-breach","0665VF, EFX - Equifax to Pay $575 Million as Part of Settlement with FTC, CFPB, and States Related to 2017 Data Breach - 22-Jul-19 - PRN.pdf"
Discovery Communications,,"-- Chief Digital Officer Will Transition to Oversee Discovery's Expanding International Business Operations -- | Since joining Discovery in October 2011, Perrette has built best-in-class digital and technology organizations helping to establish Discovery's industry-leading presence in the digital media field. With Perrette at the helm, Discovery has become a leading provider of high-quality nonfiction media across all screens. Perrette and his team led the successful acquisitions of Revision3 and DeFranco Creative, strategic investments in Lumosity and Learnist, the launches of digital/online networks Animalist and TestTube, and the implementation of innovative live online experiences such as SKYWIRE LIVE and Animal Planet L!VE. Sean Atkins will serve as the acting head of Discovery's Digital business as the company performs an internal and external search for its next Chief Digital Officer. In addition, the IT/EOS teams, led by Kevin Loftis and Larry Laque, will now report to  Andrew Warren, Chief Financial Officer of Discovery Communications.",2,"14, 137",Chief digital officer,"077DFG, DISCA - Discovery Communications to Appoint JB Perrette as Next President of Discovery Networks International - 15-Jan-14 - PRN.pdf"
Lumosity,Funding,"“As Discovery focuses its digital strategy around strengthening its position as the #1 nonfiction media company across all screens, we also see strategic growth opportunities in select investments in the next generation knowledge space,” said JB Perrette, Chief Digital Officer, Discovery Communications. “Discovery’s commitment to igniting people’s curiosity and passion for learning is a natural fit with Lumosity’s success in brain training. We are proud to take the leadership position in this round of financing and look forward to supporting Lumosity’s expansion around the world.”",1,85,Chief digital officer,"07G0FH, 063H44, 0609WS... - Lumosity Raises $31.5 Million in Series D Funding - 22-Aug-12 - BW.pdf"
,"Class Action, Law & Legal Issues","EFX Investor Alert: Hagens Berman Alerts Equifax Inc. Investors to Securities Class Action Related to Massive Data Breach and Insider Selling and to the November 13, 2017 Lead Plaintiff Deadline  Wednesday, September 13, 2017 04:54:33 PM (GMT) | EFX said it learned about the unauthorized access on July 29, 2017, but before publicly revealing the data breach, the next trading day, on August 1, 2017, the Company’s Chief Financial Officer sold 6,500 shares of EFX at an average price of $145.596 per share for total proceeds of $946,374.  The same day, another insider sold 4,000 shares of EFX at an average price of $146.0247 per share for total proceeds of $584,098.80.",2,"37, 73",data breach,"07YM31, EFX - EFX Investor Alert Hagens Berman Alerts Equifax Inc. Investors to Securities Class Action Related to Massive Data Breach and Insid... - 13-Sep-17 - PMZ.pdf"
TechInsurance,Small Business Services,"CHICAGO, May 29, 2014 /PRNewswire/ -- TechInsurance, the nation's leading online source of business insurance for small IT firms, announced today that eBay's recent data breach could lead to a spate of ""spear phishing"" attacks. Unlike traditional phishing scams, spear phishing messages incorporate information hackers gather about the target to personalize the phishing message and increase the likelihood that a victim will click on malicious links and expose their data.",1,70,data breach,"0B2S4K, EBAY - TechInsurance eBay Hack Could Lead to Spear Phishing - 29-May-14 - PRN.pdf"
Grockit,Funding,"“As Discovery focuses its digital strategy around strengthening its position in video as the #1 nonfiction media company across all screens, we also see strategic growth opportunities in select investments in the next generation knowledge space,” said JB Perrette, Chief Digital Officer, Discovery Communications. “Discovery’s commitment to igniting people’s curiosity and passion for learning is a natural fit with Learnist’s unique knowledge platform and model that encourages passionate audiences to share what they know and learn what they don’t. Discovery is proud to lead this round of financing and excited about the many ways that our strategic investment will help to expand the reach and further development of the Learnist platform.”",1,111,Chief digital officer,"0BQS10, 064NHC, 05PLGR... - Grockit Announces Strategic Investment led by Discovery Communications - 18-Dec-12 - BW.pdf"
