who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"News - US, Media Summaries, Economist Summary","Editorial deduces that, in light of the data breach (and many other recent, quickly- forgotten ones), the internet is not the place for secrets of any nature",1,27,data breach,"000270, 7203, BHP... - StreetAccount summary The Economist print edition - 20-Aug-15 - SA.pdf"
,"Media Summaries, Sunday NYT Summary","The data breach recently disclosed by Equifax ( EFX) has endangered millions of consumers, exposing them to identity theft and financial losses. Equifax investors are also shouldering the burden, with the stock falling 35% since the disclosure. It remains unclear, however, whether the company's executives will pay financially for the company's failures. The performance measure Equifax has used to determine executive incentive compensation excludes the cost of legal settlements made by the company.",1,73,data breach,"005930, 7203, AAPL... - New York Times Sunday Edition Summary - 17-Sep-17 - SA.pdf"
GE Aviation,Personnel,"GE Aviation (NYSE: GE) announced the creation of a digital organization that brings all of the digital expertise from across Aviation into one business. This new Digital business will be led by Jim Daily as president and chief digital officer, Engineering and Technology for GE Aviation. | Consistent with GE's recent announcement establishing GE Digital led by GE’s Chief Digital Officer Bill Ruh, Jim will be responsible for the technology and business growth for the digital platforms and portfolio within GE Aviation. Daily joined GE Aviation in 2011 and will expand his current responsibilities leading Systems and Digital Engineering and Technology to include the role of chief digital officer.",2,"46, 62",Chief digital officer,"05KZ7B, GE - GE Aviation Creates Digital Business - 06-Mar-16 - BW.pdf"
GE Aviation,Product/Service,"“Customers have long trusted us to be their partner in safety,” said John Mansfield, chief digital officer for GE Aviation. “With the digital fuel dashboard, we’re looking to help alleviate our customers’ operational pressures during these difficult times. We want to help customers reduce any costs possible and this is a way we can help lower their fuel bills and reduce emissions.”",1,62,Chief digital officer,"05KZ7B, GE - GE Aviation Offers Fuel Dashboard at No Cost to EMS Customers  - 09-Apr-20 - BW.pdf"
GE Aviation,Product/Service,"“By combining GE’s experience in flight safety analysis and flight analytics with wireless mini-QAR technology from our Avionica joint venture, we will help Flexjet to advance their fleet with the latest flight safety analysis techniques in the airline environment,” said John Mansfield, chief digital officer for GE Aviation.",1,48,Chief digital officer,"05KZ7B, GE, 064DT9 - Flexjet Selects GE Aviation for Digital Flight Operations Technology - 02-Jul-19 - BW.pdf"
GE Transportation,"Conference, Product/Service, Trade Show","“Our mission is to lead the industry in the digitization of transportation by delivering solutions that improve operations and unlock billions in savings and productivity for our customers,” said Laurie Tolson, Chief Digital Officer, GE Transportation. “The success of our Trip Optimizer and GoLINC solutions is a testament that the digital rail revolution is well underway and thriving.”",1,58,Chief digital officer,"05M3W5, GE - GE Transportation Marks Critical Milestone with Digitization of 10,000 Locomotives - 25-Oct-17 - BW.pdf"
GE Transportation,"Conference, Product/Service, Trade Show","“When it comes to transportation and other heavy industrial settings, seconds matter. Operators require the ability to take action on their physical assets immediately, either automatically with a train adjusting itself or by human intervention,” said Laurie Tolson, Chief Digital Officer, GE Transportation. “Edge-level computing and analytics are about giving people actionable information to better manage how the physical world operates in real-time to improve industrial performance.”",1,67,Chief digital officer,"05M3W5, GE - GE Transportation Unveils EdgeLINC™ Software, Advances Industrial IoT Management Solutions - 24-Oct-17 - BW.pdf"
GE Transportation,"Contract/Agreement, Product/Service","“The pilot brings tremendous opportunity for the San Pedro Bay ports customers and supply chain partners,” said Laurie Tolson, Chief Digital Officer of GE Transportation. “With container volumes on the rise, the world’s ports are moving more cargo than ever, making the need for operations optimization even more critical. A uniform, common user portal, like our Port Optimizer™ solution, will enable stakeholders to make scheduling, planning and payment decisions prior to cargo arrival, as well as reduce delays during each handoff between nodes in the supply chain.”",1,87,Chief digital officer,"05M3W5, GE, 0BXWBB - Port of Long Beach Launches Data-Sharing Project with GE Transportation to Improve Cargo Flow Efficiencies Amid Record Volumes - 06-Mar-18 - BW.pdf"
,"Economy, Business, Finance, Business (General)","Data leakage risk is a significant issue for consumers, companies and governments alike. According to the 2011 Global Cost of Data Breach Study[1], costs of data breaches vary depending upon the type of data breach and the country's regulatory landscape, ranging from a high of $5.5 million in the U.S. to a low of $1.1 million in India, reaching $2,270,862 in Australia in 2011. Rapid technological changes and growing data volumes further complicate both internal and external exposure threats. | [1] 2011 Global Cost of Data Breach Study, issued in March 2012 by Ponemon Institute and Symantec Data",2,"79, 18",data breach,"08J70C, 0616NX, GE... - ACL Provides GE Capital Australia and New Zealand with Improved Data Leakage Detection - 20-Nov-12 - CNW.pdf"
GE Aviation,Contract/Agreement,"“We can provide the best analytic environment for airline customers by adding Teradata’s powerful analytic solutions with built-in support for hybrid cloud environments,” said John Mansfield, chief digital officer of GE Aviation. “This partnership enables us to bring a holistic framework of enterprise data and business solutions to airlines.”",1,49,Chief digital officer,"0C7741, GE - GE Aviation and Teradata Expand Partnership - 18-Jul-18 - BW.pdf"
GE Aviation,"Contract/Agreement, Product/Service","“The pride we derive in serving our armed forces to advance the cause of freedom is held throughout our team,” said John Mansfield, chief digital officer for GE Aviation’s Digital Solutions. “Building on the strong partnership we have with the Military Sealift Command will allow us to continue to share both our physics and digital based capabilities, improving their asset availability, efficiency and operations. We’re taking the field data for each vessel and modeling the overall health of their systems so they can make informed decisions to significantly increase their mission readiness.”",1,92,Chief digital officer,"0C7741, GE - GE Signs Digital Contract with Military Sealift Command to Improve Mission Readiness - 05-Feb-18 - BW.pdf"
GE Aviation,"Contract/Agreement, Product/Service","“The wireless QAR will help Utair to streamline their processes, reduce workload for their maintenance and engineering teams, while increasing the amount of usable data available,” said John Mansfield, chief digital officer for GE Aviation.",1,35,Chief digital officer,"0C7741, GE - Utair Selects GE Aviation's Avionica for wireless Quick Access Recorders - 26-Aug-19 - BW.pdf"
GE Aviation,,"“Kenya Airways was looking for a way to monitor fleet performance, implement and track fuel saving initiatives across their network and empower their pilots to help drive efficiency,” said John Mansfield, chief digital officer for GE Aviation. “The Flight Operations suite provides these insights and is scalable to provide additional functionality.”",1,51,Chief digital officer,"0C7741, GE, KQ - Kenya Airways and GE Aviation Sign Digital Flight Operations Agreement - 01-Jul-19 - BW.pdf"
GE Aviation,"Contract/Agreement, Product/Service","GE Aviation Chief Digital Officer, Jim Daily, officially opened the center with Qantas Head of Fuel and Environment Alan Milne. Local officials participating in the event included State Representative Paul Workman, State Representative Celia Israel and Ahmed Tewfix, chairperson of Electrical and Computer Engineering, University of Texas at Austin.",1,49,Chief digital officer,"0C7741, GE, QAN - GE and Qantas Join Forces to Drive Efficiencies Through Data Analytics & Collaboration - 06-Oct-16 - BW.pdf"
GE Aviation,"Contract/Agreement, Product/Service","“Network Operations helps airlines recover from disruptions faster and more efficiently and enables them to recoup substantial costs in the process,” said John Mansfield, chief digital officer for GE Aviation. “The Network suite of products delivers powerful software applications that collect and analyze data streams in real time across multiple airline systems.”",1,52,Chief digital officer,"0C7741, GE, VLG - Vueling Airlines and GE Aviation Implement Fleet-Wide Network Operations Suite  - 28-Jun-19 - BW.pdf"
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  The increasing frequency of data breaches, along with the EU’s soon-to-hit General Data Protection Regulation, should boost demand for Beazley (BEZ.LN), which insures companies in the event of cyberattacks; The company's valuation does not",1,37,data breach,"AAPL, ABBV, AMZN... - Barron's Summary - 03-Feb-18 - SA.pdf"
,5,"Allegations against ZEN include that: (a) Zendesk's clients had been subject to data breaches dating back to  2016; (b) Zendesk was experiencing slowing demand for its Software as a Service offerings, particularly in  Germany, the United Kingdom, and Australia, due in large part to political uncertainty and China trade issues  there; and (c) as a result of the foregoing, Zendesk's business metrics and financial prospects were not as  strong as defendants had led the market to believe during the Class Period.",1,81,data breach,"ADMS, GRUB, ZEN - SHAREHOLDER ALERT ADMS ZEN GRUB The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines - 11-Dec-19 - NEWS_ACW.pdf"
,"Media Summaries, Economist Summary","On 28-Sep, Facebook (FB) announced that an attack on its systems had exposed the personal information of 50M users -- the biggest data breach in the company's history. The company notified European regulators of the breach in order to comply with the | General Data Protection Regulation (GDPR), the EU's new privacy law. For the first time in a major case, regulators will have to determine whether Facebook did this within 72 hours of an attack being discovered, and whether the firm had done enough to avoid the breach. European regulators have already targeted Facebook for how it obtains and uses personal data, meaning the social network is likely to face more constraints.",2,"42, 70","data breach, General data protection regulation","BMW, CAG, FB... - StreetAccount Summary The Economist print edition - 04-Oct-18 - SA.pdf"
Micro Focus,Human Interest Groups,"Carrefour recently launched its ""Carrefour 2022"" vision, which brings together their strong customer focus and desire for a more agile, efficient and omnichannel ecosystem. Carrefour deployed an accelerated customer data encryption platform to protect customer data, neutralize data breaches, and drive business value through secure data use. They have also successfully achieved a move to include machine learning, analytics, and stronger business insights leveraging Micro Focus SMAX.",1,67,data breach,"CA, GM, MCRO - Micro Focus Recognizes General Motors and The Carrefour Group with Annual Digital Transformation Innovation Award - 19-May-20 - PRN.pdf"
GE Power,Product/Service,"“Leaders such as Engro who embrace digital transformation today will be the organizations who define the future of their industries,” Ganesh Bell, chief digital officer, GE Power said. “We’re tremendously excited to be working with Engro to seize the opportunity of digitizing power in Pakistan. Together, using the Predix platform, we will develop and deploy new digital power applications to drive better performance.”",1,63,Chief digital officer,"ENGRO, GE - GE and Engro Sign Digital Industrial Alliance to Accelerate the Transformation of Industries - 02-Jun-16 - BW.pdf"
,5,"A class action has commenced on behalf of certain shareholders in Zendesk, Inc. The filed complaint  alleges that defendants made materially false and/or misleading statements and/or failed to disclose that: (a)  Zendesk's clients had been subject to data breaches dating back to 2016; (b) Zendesk was experiencing  slowing demand for its Software as a Service offerings, particularly in Germany, the United Kingdom, and  Australia, due in large part to political uncertainty and China trade issues there; and (c) as a result of the  foregoing, Zendesk's business metrics and financial prospects were not as strong as defendants had led the  market to believe during the Class Period.",1,106,data breach,"ET, GRUB, ZEN - The Gross Law Firm Announces Class Actions on Behalf of Shareholders of ZEN, ET and GRUB - 09-Dec-19 - NEWS_ACW.pdf"
