who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,,,,,,"0011C0 - The Men's Wearhouse, Inc.(0011C0-E) Schedules Q1 2015 Earnings Call for 11-June-2015 900 AM ET - 18-May-15 - FCSTTS.pdf"
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  Positive on Hapag-Lloyd (HLAG.GR), as the container shipping industry appears to be enjoying its best conditions in nearly a decade. Global trade volume is up 4.3% this year, even as protectionism re-emerges as a threat. The 2016 bankruptcy filing of Hanjin Shipping took vessels off the market and sparked more consolidation and alliances. Hapag-Lloyd's relatively low valuation and strong fleet make it a promising way to play the revival. International Trader (Asia):  Positive on Tencent Holdings (700.HK), whose shares have climbed 125% this year to become the world's fifth-largest listed company. Shares could continue to surge as long as the company can continue to deliver on earnings and widen its moat, with its growing financial-technology business leading the way. Morningstar analyst Chelsey Tam has a current price target of $62.99, or 18% upside after Friday's comeback. Current Yield:  Emerging market bonds have had an impressive recovery after selling off after the U.S. presidential election. The selloff was driven by fears of inflation, rising rates, and a more isolationist trade policy. Markets have shrugged off these concerns, and the trend could continue into 2018, helped by improving global growth, benign inflation, and central banks that continue to suppress interest rates. The Striking Price:  Shares of Cboe Global Markets (CBOE) and CME Group (CME) set 52- week highs last week, likely reflecting expectations that the launch of Bitcoin futures will be lucrative for the exchanges. Barron's is concerned over the decision to pursure Bitcoin futures, as it may not be in the interest of the derivatives market. Until it is known if Bitcoin futures will be segregated at clearing firms to protect the stability of the markets, Barron's doesn't recommend Cboe or CME as anything but momentum trades. Commodities Corner: A cold spell in December could lift winter wheat prices higher than $5 a bushel, up more than a dollar from recent prices. A rally would aid the ailing farm economy, which has been hurt by steadily falling wheat prices since 2012. Fertilizer makers Mosaic (MOS) and Agrium (AGU) are two ways to wager such a move. Insider Transactions:  A list of recent purchases and sales of U.S. companies made by insiders. Up And Down Wall Street:  Janet Yellen last week expressed concern that inflation might continue to fall short of the Fed's 2% target. But a new leading indicator of inflation shows prices rising at nearly a 3% yearly pace, which raises the question: is Yellen concerned about prices that consumers pay, or does she fear a slide in inflated asset prices resulting from the Fed's tightening policy? The Fed faces a conundrum, as it must weigh rising inflation pressures against the risk posed by high -- and arguably inflated -- asset prices. Streetwise: Last week, +UBER said it had suffered a data breach resulting in the theft of information of about 57 million customers; worse yet, the company sat on the information for a year, and paid a $100k ransom for the hackers to hide the breach. Uber has a history of playing by its own set of private rules, free from the onus of public company disclosures. If a private company as large as Uber is serious about transparency and honesty, it should choose to report like a public company. Technology Trader:  Cloud technology is rapidly evolving in a way that could either cement or erode the oligarchy of Amazon (AMZN), Microsoft (MSFT),  and Alphabet (GOOGL). A new way of writing software called ""serverless software"" makes it easier for programmers to use cloud computing generally, which is good for these companies; but it can also weaken a programmer's loyalty to any one cloud, which could weaken the grip of the oligarchs. The three leaders are trailed by IBM (IBM) and Oracle (ORCL). Speaking of Dividends:  Tax inversions enable a U.S. corporation to acquire a foreign company and then reincorporate overseas. A recent bill that made it out of the Senate Finance Committee would tax the dividends of inverted companies at a much higher rate than currently. Among U.S. companies that have done inversions are Medtronic (MDT), Eaton (ETN), Allergan (AGN), Johnson Controls International (JCI), Mylan (MYL), and Endo International (ENDP).",1,694,data breach,"002508, 005930, 1088... - Barron's Summary - 25-Nov-17 - SA.pdf"
Datacastle,Licensing & Marketing Agreements,"Datacastle protects enterprises from mobile data loss and data breach with simplified and scalable hybrid cloud endpoint backup and data protection. Datacastle RED provides secure and auditable access to enterprise data on critical devices, anytime, anywhere. Datacastle RED is available through a global network of partners. To learn more about Datacastle RED, visit http://www.datacastlered.com, follow on Twitter @Datacastle, or call 425.996.9684.",1,61,data breach,"00BDMF, IBM - Datacastle Brings Enterprise Endpoint Backup to the IBM Cloud Platform - 28-Apr-14 - PRN.pdf"
,Corporate Development,"SEATTLE, June 25, 2013 /PRNewswire/ -- Datacastle®, a market leader for protecting enterprises from endpoint data loss and data breaches, today announced that its flagship product, Datacastle RED is now certified for the IBM SmartCloud and available worldwide through the IBM Partner Network . | Datacastle protects enterprises from mobile data loss and data breach with simplified and scalable endpoint backup and data protection. Datacastle RED provides secure and auditable access to enterprise data on critical devices, anytime, anywhere. Profiled in Gartner's Hype Cycle for Storage Technologies, 2012 , published July 5, 2012, Pushan Rinnen, Dave Russell et al. Datacastle RED is available through a global network of partners. To learn more about Datacastle RED, visit http://www.datacastlered.com, follow on Twitter @Datacastle, or call 425.996.9684.",2,"44, 79",data breach,"00BDMF, IBM - Datacastle brings enterprise-grade endpoint data protection to the IBM SmartCloud - 25-Jun-13 - PRNE.pdf"
Syncsort,Merger/Acquisition,"Townsend Security creates data privacy solutions that help organizations meet evolving compliance requirements and mitigate the risk of data breaches and cyber-attacks. Over 3,000 companies worldwide trust Townsend Security’s NIST and FIPS 140-2 compliant solutions to meet the encryption and key management requirements in PCI DSS, GDPR, HIPAA/HITECH, and other regulatory compliance requirements. Learn more at www.townsendsecurity.com.",1,57,data breach,"0652TD, IBM - Syncsort Advances Security Strategy with Acquisition of Townsend Security's IBM i Data Privacy Products - 21-May-18 - BW.pdf"
IBM,"Acquisitions, Mergers & Takeovers","About Trusteer Trusteer is a leading provider of endpoint cybercrime prevention solutions that help protect organizations against financial losses and data breaches. Hundreds of organizations and millions of end users rely on Trusteer to protect managed and unmanaged endpoints against exploitation and compromise by online threats often invisible to legacy security solutions. Trusteer was founded in 2006 by Mickey Boodaei, Rakesh Loonkar, Amit Klein, Shmulik Regev, and Eldan Ben-Haim and is backed by U.S. Venture Partners and Shlomo Kramer.",1,79,data breach,"07FW5S, IBM - IBM to Acquire Trusteer to Help Companies Combat Financial Fraud and Advanced Security Threats - 15-Aug-13 - PRN.pdf"
JPMorgan Chase,Product/Service,"“Data security is a great concern for retailers. Safetech Encryption will ultimately help protect merchants and their customers from the increasing risks associated with global fraud and data breaches at the point of sale,” said Sam Jawad, president, Chase Paymentech Canada. “Our ultimate vision is to protect every single transaction originating from Chase Paymentech point-of-sale devices.”",1,56,data breach,"081PDJ, JPM, V... - Chase Paymentech Helps Protect Merchants and Consumers from Payment Card Fraud and Data Theft - 26-Oct-11 - BW.pdf"
IBM,"Acquisitions, Mergers & Takeovers","The challenges of data access have been exacerbated by the digital world where companies are struggling to protect company information, including employee and customer identity, as they are stored beyond the traditional enterprise. Rather than managing a single point of entry to this information, businesses must now be able to verify who is accessing their systems, data and network, and whether they are entitled to do so, from multiple points including cloud and mobile devices. In this new era, identity and access management has become the first line of defense from potential data breaches.",1,94,data breach,"0C6MF9, 064TTG, IBM - IBM Acquires Cloud Security Services Provider Lighthouse Security Group - 11-Aug-14 - PRN.pdf"
IBM,New Products & Services,"Building Essential Skills for the Cognitive Era The explosion of data-driven content has sparked a new wave of career opportunities for today's college students, from business analytics professionals to Chief Data Officers. Today's announcement from the IBM Watson Group extends the conversation about data-driven skills to highlight the need for professionals with expertise in fields such as natural language processing, machine learning and content lifecycle management. These skills are the building blocks for a new class of cognitive apps and services that deliver fast, evidence-based advice, by combing though millions of pages of data within seconds for discoveries that fuel smarter decisions and unleash creativity.",1,105,chief data officer,"0DNZ2B, IBM - Seven of the Nation's Leading Technology Institutions Unveil Cognitive Computing Courses Leveraging IBM Watson - 07-May-14 - PRN.pdf"
Tailored Brands & WHP Global,"Photo/Multimedia, Merger/Acquisition","This press release contains forward-looking information, including the Company’s statements regarding its plans to apply the proceeds of the sale towards debt repayment and to close the transaction by the end of March. In addition, words such as “expects,” “anticipates,” “envisions,” “targets,” “goals,” “projects,” “intends,” “plans,” “believes,” “seeks,” “estimates,” “guidance,” “may,” “projections,” and “business outlook,” variations of such words and similar expressions are intended to identify such forward-looking statements. The forward-looking statements are made pursuant to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. Any forward-looking statements that we make herein are not guarantees of future performance and actual results may differ materially from those in such forward-looking statements as a result of various factors. Factors that might cause or contribute to such differences include, but are not limited to: actions or inactions by governmental entities; domestic and international macro-economic conditions; inflation or deflation; the loss of, or changes in, key personnel; success, or lack thereof, in formulating or executing our internal strategies and operating plans including new store and new market expansion plans; cost reduction initiatives and revenue enhancement strategies; changes to our capital allocation policy; changes in demand for our retail clothing or rental products; market trends in the retail or rental business; customer confidence and spending patterns; changes in traffic trends in our stores; customer acceptance of our merchandise strategies, including custom clothing; performance issues with key suppliers; disruptions in our supply chain; severe weather; foreign currency fluctuations; government export and import policies, including the enactment of duties or tariffs; advertising or marketing activities of competitors; the impact of cybersecurity threats or data breaches; legal proceedings and the impact of climate change.",1,280,data breach,"0L8861, TLRD - Tailored Brands to Sell the Joseph Abboud Trademarks to WHP Global for $115 Million - 17-Jan-20 - BW.pdf"
