who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  Positive on Hapag-Lloyd (HLAG.GR), as the container shipping industry appears to be enjoying its best conditions in nearly a decade. Global trade volume is up 4.3% this year, even as protectionism re-emerges as a threat. The 2016 bankruptcy filing of Hanjin Shipping took vessels off the market and sparked more consolidation and alliances. Hapag-Lloyd's relatively low valuation and strong fleet make it a promising way to play the revival. International Trader (Asia):  Positive on Tencent Holdings (700.HK), whose shares have climbed 125% this year to become the world's fifth-largest listed company. Shares could continue to surge as long as the company can continue to deliver on earnings and widen its moat, with its growing financial-technology business leading the way. Morningstar analyst Chelsey Tam has a current price target of $62.99, or 18% upside after Friday's comeback. Current Yield:  Emerging market bonds have had an impressive recovery after selling off after the U.S. presidential election. The selloff was driven by fears of inflation, rising rates, and a more isolationist trade policy. Markets have shrugged off these concerns, and the trend could continue into 2018, helped by improving global growth, benign inflation, and central banks that continue to suppress interest rates. The Striking Price:  Shares of Cboe Global Markets (CBOE) and CME Group (CME) set 52- week highs last week, likely reflecting expectations that the launch of Bitcoin futures will be lucrative for the exchanges. Barron's is concerned over the decision to pursure Bitcoin futures, as it may not be in the interest of the derivatives market. Until it is known if Bitcoin futures will be segregated at clearing firms to protect the stability of the markets, Barron's doesn't recommend Cboe or CME as anything but momentum trades. Commodities Corner: A cold spell in December could lift winter wheat prices higher than $5 a bushel, up more than a dollar from recent prices. A rally would aid the ailing farm economy, which has been hurt by steadily falling wheat prices since 2012. Fertilizer makers Mosaic (MOS) and Agrium (AGU) are two ways to wager such a move. Insider Transactions:  A list of recent purchases and sales of U.S. companies made by insiders. Up And Down Wall Street:  Janet Yellen last week expressed concern that inflation might continue to fall short of the Fed's 2% target. But a new leading indicator of inflation shows prices rising at nearly a 3% yearly pace, which raises the question: is Yellen concerned about prices that consumers pay, or does she fear a slide in inflated asset prices resulting from the Fed's tightening policy? The Fed faces a conundrum, as it must weigh rising inflation pressures against the risk posed by high -- and arguably inflated -- asset prices. Streetwise: Last week, +UBER said it had suffered a data breach resulting in the theft of information of about 57 million customers; worse yet, the company sat on the information for a year, and paid a $100k ransom for the hackers to hide the breach. Uber has a history of playing by its own set of private rules, free from the onus of public company disclosures. If a private company as large as Uber is serious about transparency and honesty, it should choose to report like a public company. Technology Trader:  Cloud technology is rapidly evolving in a way that could either cement or erode the oligarchy of Amazon (AMZN), Microsoft (MSFT),  and Alphabet (GOOGL). A new way of writing software called ""serverless software"" makes it easier for programmers to use cloud computing generally, which is good for these companies; but it can also weaken a programmer's loyalty to any one cloud, which could weaken the grip of the oligarchs. The three leaders are trailed by IBM (IBM) and Oracle (ORCL). Speaking of Dividends:  Tax inversions enable a U.S. corporation to acquire a foreign company and then reincorporate overseas. A recent bill that made it out of the Senate Finance Committee would tax the dividends of inverted companies at a much higher rate than currently. Among U.S. companies that have done inversions are Medtronic (MDT), Eaton (ETN), Allergan (AGN), Johnson Controls International (JCI), Mylan (MYL), and Endo International (ENDP).",1,694,data breach,"002508, 005930, 1088... - Barron's Summary - 25-Nov-17 - SA.pdf"
,"Media Summaries, Sunday NYT Summary","The data breach recently disclosed by Equifax ( EFX) has endangered millions of consumers, exposing them to identity theft and financial losses. Equifax investors are also shouldering the burden, with the stock falling 35% since the disclosure. It remains unclear, however, whether the company's executives will pay financially for the company's failures. The performance measure Equifax has used to determine executive incentive compensation excludes the cost of legal settlements made by the company.",1,73,data breach,"005930, 7203, AAPL... - New York Times Sunday Edition Summary - 17-Sep-17 - SA.pdf"
DriveSavers Data Recovery,Product/Service,"DriveSavers is the only data recovery company in the world that posts proof of annual, company-wide SAS 70 Type II Audit Reports, the Corporate Industry’s standard for an overall control structure. Every iPhone data recovery process adheres to stringent data security protocols and is conducted in the safest data recovery environment available. High Security Service is also available for customers who require extra precautions.",1,64,data security protocol,"06411W, AAPL, 07YZW5... - DriveSavers Data Recovery Services Available for New Apple MacBook Air - 09-Aug-11 - BW.pdf"
,,"""Having a virtual workspace available on smartphones using the VMware Horizon platform gives us an unobtrusive way to more securely offer applications to mobile care givers and maintain control of the data while minimizing worry about potential data breaches,"" said Edward Ricks, chief information officer, Beaufort Memorial Hospital. ""This dual persona approach gives us full control over our data on personally owned or corporate-owned mobile devices without requiring us to unnecessarily manage the entire device.""",1,75,data breach,"079332, VMW, VZ... - Verizon Rolls Out Dual Persona Solution With VMware(R) Horizon Mobile(TM) to Android-Based Smartphones - 15-May-13 - INW.pdf"
Verizon,"Human Interest Groups, Public Safety","Under the pilot, PRIVO will establish the Minors Trust Framework, a collection of policies and online tools that provides parents more control over the online activities of their children and helps businesses address the requirements of the Children's Online Privacy Protection Act of 1998, or COPPA. Verizon's cloud and identity management technologies will help enable the framework, which will support the use of privacy- enhancing login credentials by families, teachers and businesses.",1,72,Children's Online Privacy Protection Act,"079332, VZ - Verizon Teams With PRIVO to Enable Identity Pilot to Protect Online Activities of Millions of Children - 29-Jan-14 - PRN.pdf"
Verizon,Licensing & Marketing Agreements,Last fall Verizon was awarded the Frost & Sullivan 2015 Global Network Security New Product Innovation Award for The DBIR app for Splunk.  This free downloadable app helps take the guesswork out of cyberthreats by harnessing the rich historical breach intelligence gathered by Verizon's data breach investigations team over the past decade and making it actionable with Splunk security solutions.,1,60,data breach,"079332, VZ, SPLK - Verizon and Splunk Join Forces to Advance Threat Detection for Enterprises - 23-Feb-16 - PRN.pdf"
Power Matters Alliance,,"Starbucks ""We are always looking for ways to help our customers recharge, both literally and figuratively.  Wireless charging is not only the most convenient and simple way to recharge a mobile device, but it's environmentally friendly – so it makes perfect sense for us to be working with the PMA to create a universal standard for wireless charging,"" said Adam Brotman, chief digital officer of Starbucks.",1,66,Chief digital officer,"09MBPH, T, GOOGL... - AT&T, Google, Starbucks Back 'PMA' Wireless Power Ecosystem and Open Standard - 29-Oct-12 - PRN.pdf"
,,"""It is important to ensure our customers have a fully functional mobile service at all times, and that their experience is the best it can be,"" said Jeff Dennes, chief digital officer for Huntington Bank, which worked with Kony to create its mobile portfolio. ""The iOS 5 launch would have required us to have to change our priorities at Huntington had we not had Kony on board to ensure our applications would be ready for the updates. Kony definitely has its finger on the pulse, and through continual testing and innovation it has enabled us to deliver a reliable service to our mobile banking customers.""",1,105,Chief digital officer,"0BDYQC, AAPL, 05MFWB - Kony Offers Complete Support for Apple iOS 5  - 24-Oct-11 - INW.pdf"
Ping Identity Corporation,Conference,"Identity Management and Mobility – The Challenges and The Opportunities  Guy Tallent, managing director of cloud identity and privacy solutions, Verizon  Threats to mobile devices are real, albeit relatively new, and are expected to increase and diversify as the uses of these devices proliferate in the workplace. The convenience and functionality of these devices is driving adoption; however, security is often an afterthought. Traditional static passwords are no longer sufficient, and true multi-factor authentication will be required to better protect personal information and sensitive corporate data. As organizations develop business models and processes that embrace cloud computing and mobility technologies, the need for strategies that incorporate stronger authentication, compliance, and security practices will become more prevalent.",1,116,Multi-factor authentication,"0BKFXM, VMW, 005QYY... - VMware, Enterproid and Verizon to Lead Identity in Secure Mobile Track at Cloud Identity Summit 2012 - 29-Jun-12 - BW.pdf"
Thinaire,,,,,,"0D1YJY, VZ - Thinaire Selects Verizon Terremark Cloud to Support Mobile Marketing Platform - 07-Aug-13 - PRN.pdf"
Verizon,"Acquisitions, Mergers & Takeovers","Sensity® Systems uses energy-efficient LED lighting as the foundation for its IoT platform for Smart Cities. The company enables light owners to capitalize on the LED conversion process by embedding networking technology within both retrofit and new LED luminaires. With the Sensity open, privacy-by-design, multiservice NetSense™ platform, lighting owners are able to reduce energy costs and implement a variety of Smart City applications and services, including public safety, environmental and weather monitoring, parking management and location analytics. For more information, please visit www.sensity.com.",1,83,privacy-by-design,"0DRTCD, VZ - Verizon accelerates smart communities with the acquisition of Sensity Systems - 12-Sep-16 - PRN.pdf"
,"Media Summaries, Economist Summary","Advertising technology, or ad tech, could well be the main loser of the EU's tough new privacy law, the General Data Protection Regulation (GDPR), which goes into effect on 25-May. This new industry emerged with the rise of targeted online ads and the need for",1,45,General data protection regulation,"700, 9984, AAPL... - StreetAccount Summary The Economist print edition - 24-May-18 - SA.pdf"
Apple Inc.,"Photo/Multimedia, Product/Service","Privacy has always been built into Safari, and a new Privacy Report delivers added visibility into how Safari protects browsing activity across the web. Users can choose when and which websites a Safari extension can work with, and tools like data breach password monitoring never reveal your password information — not even to Apple.",1,54,data breach,AAPL - Apple Introduces macOS Big Sur with a Beautiful New Design - 22-Jun-20 - BW.pdf
