identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
TFCFA,21st Century Fox anticipating settlements with some accusers in Roger Ailes harassment probe,#NAME?,Aug,,"Articles, Reports, Conjecture, Media Summaries, Published Reports  Related Stories:","The WSJ, citing people familiar with the matter, reports that the number of women who have come forward in the ongoing investigation reaches into the double-digits. Victims of sexual harassment have three years from the time of the misconduct to sue in New York state and New York City, and settling within that three year window could forestall further litigation, the article notes.",1,63,sexual harassment
TFCFA,21st Century Fox issues statement regarding reports regarding Roger Ailes,#NAME?,Jul,,"Corporate Actions, Management Changes  Related Stories:","StreetAccount notes that NY Magazine reported earlier this afternoon that the Murdochs have decided to remove Ailes, citing two sources briefed on a sexual harassment investigation of Ailes.",1,28,sexual harassment
"000660, 008770, 086790...",Barron's Summary,4-Nov-17,SA,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment
SSP,'Case Cleared' wins investigative journalism award from Society of Professional Journalists,25-Apr-19,PRN,The E.W. Scripps Company,Human Interest Groups,"The reporting led the FBI to expedite a process to reform NIBRS rules in a way that is expected to require the nation's police agencies to report unfounded crimes. A key advisory board will vote on the recommendations in June. If approved, they will go to the FBI director for implementation. Local police departments across the country also are looking at their process and making changes to how sexual assault cases are cleared.",1,73,sexual assault
SSP,'Case Cleared' wins Online Journalism Award for innovation in investigative journalism,17-Sep-19,PRN,The E.W. Scripps Company,"Human Interest Groups, Public Safety","In Austin, the series led to an audit by the Texas Department of Public Safety, which concluded that nearly one-third of the cases Austin police exceptionally cleared were misclassified. Nearly 300 detectives were ordered to be retrained. The Texas House of Representatives and Senate unanimously approved the creation of the Sexual Assault Survivors' Task Force inside the governor's office, bringing money and support at the highest levels of state government to reform how rapes are tracked, investigated and prosecuted across Texas. In New York City , the investigation uncovered the NYPD was undercounting rape by 38% compared to FBI statistics. Forty-eight hours after the story was released, New York City  Mayor  Bill de Blasio announced the city will update its system by the end of the year to report all rapes that meet the FBI's definition.",1,136,sexual assault
FOSL,Conflict Minerals Disclosure  Fossil Group,1-Jan-14,NEWS_CR,http://www.fossilgroup.com/responsibility/conflict-minerals-disclosure/,Company Announcements and Releases,"Fossil places great importance on the responsible procurement of minerals throughout its entire supply chain worldwide. The process of mining minerals from conflict zones in Africa ì including the Democratic Republic of Congo and its neighboring countries ì has been identified as contributing to human rights violations, such as child labor and sexual abuse. Profits from mining operations in these regions have been linked to the source of funds for armed groups, fueling further conflict and violence in the regions. In 2010, The United States Congress passed a bill defining ""conflict mineralsù as four major minerals often mined in conflict zones: tantalum, tin, tungsten and gold (3TG). We design, develop, market and distribute fashion accessories, including clothing, belts, handbags, jewelry, small leather goods, sunglasses and watches under proprietary and licensed brand names. Some of our products contain these conflict minerals.",1,140,sexual abuse
"05QSX6, SSP",Court TV to Debut Court TV Instant Replay As Part of Unrivaled Harvey Weinstein Rape Trial Coverage,22-Jan-20,PRN,Court TV,New Products & Services,"Weinstein faces charges of rape, sexual assault and predatory sexual assault and if convicted could spend the rest of his life in prison. Nearly 90 women in total have accused the entertainment mogul of sexual misconduct dating back decades. The accusations helped spark prominent recognition and rise of the #MeToo movement, in which hundreds of women have publicly accused powerful men in business, politics, the news media and entertainment of sexual harassment and abuse.",1,74,sexual harassment
"SSP, 05QSX6",Court TV to Feature Exclusive Interviews with Harvey Weinstein Attorneys and Accusers in Primetime Specials Nov. 4 & 5 at 800 p.m....,1-Nov-19,PRN,Court TV,,"Weinstein faces charges of rape, sexual assault and predatory sexual assault and if convicted could spend the rest of his life in prison. 87 women in total have accused the entertainment mogul of sexual misconduct dating back decades. The accusations helped spark prominent recognition and rise of the #MeToo movement, in which hundreds of women have publicly accused powerful men in business, politics, the news media and entertainment of sexual harassment and abuse.",1,73,sexual harassment
XOM,DC Circuit Reinstates Human Rights Case Against ExxonMobil,8-Jul-11,PRN,Cohen Milstein Sellers & Toll PLLC,Legal Issues,"Eleven Indonesian citizens sued Exxon Mobil Corporation for abuses allegedly committed by ExxonMobil's security personnel, including murder, torture and sexual assault.  Plaintiffs allege that these security personnel physically abused and killed their family members who lived or worked in villages within Exxon's sprawling operations in rural Aceh, Indonesia.  The Plaintiffs had largely completed discovery and were preparing for trial, when the case was transferred to a new district court, which dismissed the case on standing grounds.  This appeal, and a cross-appeal by Exxon, followed. | Fryszman adds: ""This decision means that our clients and their families who endured murder, torture, and sexual assault will finally be able to present their evidence to a jury.""",2,"84, 29",sexual assault
EXPE,Expedia Group Commits $275 Million to Partner Recovery,28-May-20,PRN,Expedia Group,Corporate Social Responsibility,"To help furloughed and displaced workers advance during this time, Expedia Group has created a complimentary training and education program called Expedia Group Academy. The program offers skill development through online learning modules and live content led by Expedia Group subject matter experts and travel industry leaders. It will feature concentrations in diversity and inclusion, sales and business skills, and leadership training. Participants will receive recruitment opportunities upon completion. Interested individuals can connect with other participants on the Expedia Group Academy LinkedIn Group  prior to the official program kickoff in late June. To ensure customers can book with confidence, Expedia Group created a new feature for lodging partners to highlight the health and hygiene measures at their properties. These include contactless check-in and check-out, hand sanitizer available to guests, enhanced cleaning measures, and social distancing plans. Also, to promote the health and hygiene of property owners and guests, Expedia Group's vacation rental brand, Vrbo, introduced a cleanliness checklist to be added to the property descriptions on Expedia Group sites. To meet the needs of cautious customers and ensure booking flexibility, nearly 70% of lodging rate plans on Expedia Group sites are now refundable. Additionally, Expedia Group is introducing a new filter to search flights by flexible fares on Expedia Group sites globally, allowing for exchanges or itinerary changes as needed.",1,220,Diversity and Inclusion
