who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment,"000660, 008770, 086790... - Barron's Summary - 04-Nov-17 - SA.pdf"
Randstad US,Human Interest Groups,"Randstad US recognized for its commitment to diversity and inclusion   Wednesday, May 06, 2020 02:48:00 PM (GMT) | ""At Randstad, we are working hard to elevate diversity and inclusion in our daily interactions with our employees, talent, clients, vendors, partners and the communities we serve. It's part of our human forward brand promise to impact the lives of 500 million people by 2030,"" said Karen Fichuk, CEO, Randstad North America and Randstad N.V. executive board member. | As the world's largest staffing company, Randstad US recognizes its responsibility for supporting diversity in the workforce and has long been committed to leveraging the strengths of people from different backgrounds and perspectives to build a more inclusive workforce, marketplace and business. Randstad has furthered that commitment by hosting an annual ""Day of Understanding"" to promote diversity and inclusion, advocating for military veterans in staffing (and receiving three bronze awards from Military Friendly®) and pledging to support equal pay. In addition, more than 60 percent of leadership roles at the company are held by women, and women make up 33 percent of its executive board. | ""As a global staffing leader, we recognize the power of our diverse resources, suppliers and customers around the world,"" said Rebecca Henderson, CEO, Randstad Global Businesses and  Randstad N.V. executive board member. ""Under the pillar of sustainability within Randstad, diversity and inclusion is embedded in the very DNA of our company, and vibrantly lives through our core values and mission."" | ""I am proud of our ever-evolving diversity and inclusion journey at Randstad. We have ignited a positive movement in the human capital industry by being the first major staffing firm to earn a spot on the DiversityInc Top 50. We accomplished this because of the amazing people shaping our culture each and every day,"" said Audra Jenkins , chief diversity and inclusion officer, Randstad North America. | The DiversityInc Top 50 List recognizes the nation's top companies for diversity and inclusion management, excelling in areas such as hiring, retaining and promoting women, minorities, people with disabilities, LGBTQ and veterans. | For the second consecutive year, DiversityInc named Randstad US to their 2020 Top 50 Companies List | ATLANTA, May 6, 2020 /PRNewswire/ -- Randstad US announced today that it has been named to DiversityInc's 2020 Top 50 Companies List for the second year in a row — honoring its ongoing track record of implementing diverse and inclusive practices in the workplace. The company continues to improve diversity standards across talent recruitment and development, leadership accountability and suppliers. | To learn more about Randstad US' ongoing commitment to diversity, visit: www.randstadusa.com/about/diversity. | To learn more about DiversityInc, visit: www.diversityinc.com. | About DiversityInc The mission of DiversityInc is to bring education and clarity to the business benefits of diversity. The DiversityInc Top 50 Companies for Diversity list began in 2001, when many corporations were beginning to understand the business value of diversity management initiatives. The 2020 Top 50 Companies for Diversity results will be featured on DiversityInc.com. DiversityInc is a VA certified veteran-owned business and a Disability:IN certified business owned by a person with a disability. For more information, visit www.diversityinc.com and follow us on Facebook, Twitter and LinkedIn @DiversityInc. | recognized-for-its-commitment-to-diversity-and-inclusion-301054038.html",12,"17, 58, 105, 60, 66, 32, 16, 60, 12, 7, 89, 1","diversity, Diversity and Inclusion","05MQK5, RAND, 07T8MY - Randstad US recognized for its commitment to diversity and inclusion - 06-May-20 - PRN.pdf"
Axco Global Statistics 2016.,"Award, Photo/Multimedia","Ms. Sunshine Farzan, Head of Marketing and Communications, added, ""As back-to-back winners of Brand of the Year and Best-in-Class Digital Marketing and now Best-in-Class for Mobile Touchpoints for the Agency's WeTag, it's clear that the industry is recognizing our use of digital to drive innovation and an enhanced customer experience. Moreover, it's heartening to be listed as an Outstanding Achiever for Women's Employer and Best-in-Class Young People's Employer, both of which fully reflects our steadfast values of diversity and inclusion. BENCHMARK recognition is certainly an honor and an inspiration to continue striving for excellence.""",1,94,Diversity and Inclusion,"06T3LS, MET - MetLife Hong Kong Wins Eight Awards at BENCHMARK Wealth Management Awards 2016 - 02-Jan-17 - BW.pdf"
Axco Global Statistics 2016.,"Event, Contract/Agreement","As the Amazing Race co-host and title sponsor, MetLife Hong Kong seeks to raise awareness about the impact Diversity and Inclusion has on business success and foster an appreciation for Hong Kong's unique collection of historic, commercial and natural treasures. | Mr. Lennard Yong, Chief Executive Officer of MetLife Hong Kong, said, “It's been another successful year for the Hong Kong Business Amazing Race, and another milestone for Hong Kong's business community. All of us at MetLife Hong Kong are extremely proud to partner with HKUST on this initiative, which ultimately serves to remind us all that we work and live better through collaboration and diversity of ideas.""",2,"40, 67","diversity, Diversity and Inclusion","06T3LS, MET, 06GTS7 - MetLife Hong Kong Joins Hands with HKUST for the Second Annual Business Amazing Race - 25-May-16 - BW.pdf"
"Kahn Swick & Foti, LLC",,"During a period of time spanning 2010 to 2016, the Company received over 200 internal complaints filed by female workers claiming gender discrimination or sexual harassment, according to disclosures recently made by the Company.  Further, the Company's internal review process resulted in a denial of approximately 93% of the claims, finding merit in only one gender discrimination claim and 15 sexual harassment or assault claims.  The alleged culture of sexual bias and mistreatment has been the basis of significant negative media exposure for the Company as well as several lawsuits brought by former employees in state and federal courts.  In one such ongoing case, the plaintiffs charge that based on data from Microsoft, discriminatory treatment cost female workers up to $238 million in compensation and more than 500 promotions during a four-year period, and are seeking to have the case certified as a class action, which, if granted could potentially include more than 8000 women.",1,155,sexual harassment,"0FCNPT, MSFT - MICROSOFT INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL Kahn Swick & Foti, LLC Investigates the Officers and Direc... - 27-Apr-18 - PRN.pdf"
"Kahn Swick & Foti, LLC",Lawsuit,"During a period of time spanning 2010 to 2016, the Company received over 200 internal complaints filed by female workers claiming gender discrimination or sexual harassment, according to disclosures recently made by the Company. Further, the Company’s internal review process resulted in a denial of approximately 93% of the claims, finding merit in only one gender discrimination claim and 15 sexual harassment or assault claims. The alleged culture of sexual bias and mistreatment has been the basis of significant negative media exposure for the Company as well as several lawsuits brought by former employees in state and federal courts. In one such ongoing case, the plaintiffs charge that based on data from Microsoft, discriminatory treatment cost female workers up to $238 million in compensation and more than 500 promotions during a four-year period, and are seeking to have the case certified as a class action, which, if granted could potentially include more than 8000 women.",1,155,sexual harassment,"0FCNPT, MSFT - MICROSOFT INVESTIGATION INITIATED by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Direct... - 11-May-18 - BW.pdf"
"Kahn Swick & Foti, LLC",Lawsuit,"During a period of time spanning 2010 to 2016, the Company received over 200 internal complaints filed by female workers claiming gender discrimination or sexual harassment, according to disclosures recently made by the Company. Further, the Company’s internal review process resulted in a denial of approximately 93% of the claims, finding merit in only one gender discrimination claim and 15 sexual harassment or assault claims. The alleged culture of sexual bias and mistreatment has been the basis of significant negative media exposure for the Company as well as several lawsuits brought by former employees in state and federal courts. In one such ongoing case, the plaintiffs charge that based on data from Microsoft, discriminatory treatment cost female workers up to $238 million in compensation and more than 500 promotions during a four-year period, and are seeking to have the case certified as a class action, which, if granted could potentially include more than 8000 women.",1,155,sexual harassment,"0FCNPT, MSFT - MICROSOFT INVESTIGATION INITIATED by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Direct... - 13-Apr-18 - BW.pdf"
,"Articles, Reports, Media Summaries  Related Stories:","The column says that separating itself from Steve Wynn and his alleged sexual misconduct -- combined with partnering with Galaxy's local ties -- makes it more likely that Wynn the company will have its Macau license renewed, and Galaxy is probably making it harder for Las Vegas Sands or MGM Resorts to buy Wynn.",1,54,sexual misconduct,"1128, 27, LVS... - WSJ's Heard on the Street column is positive on Wynn Resorts-Galaxy Entertainment partnership - 23-Mar-18 - SA.pdf"
MGM Resorts International,"Corporate Social Responsibility, Human Interest Groups","In 2000, MGM Resorts took the leadership as the first company in the gaming and hospitality industry to voluntarily adopt a formal diversity and inclusion policy. This is a critical pillar of the company's enterprise- wide social responsibility platform, which also includes community giving and environmental sustainability as key elements. | Some recent highlights from MGM Resorts' Diversity and Inclusion Initiative include: | MGM Resorts International Named Among Nation's 2017 Top Companies for Diversity by DiversityInc   Wednesday, May 10, 2017 07:00:00 PM (GMT) | LAS VEGAS, May 10, 2017 /PRNewswire/ -- For the twelfth consecutive year, MGM Resorts International has been recognized as a Top Company for Diversity by DiversityInc, one of the nation's leading sources on workplace diversity management. The company is ranked 3rd on ""The Top Ten Regional Companies"" list for diversity best practices. | DiversityInc's annual survey – tracking the nation's top companies when it comes to hiring, retaining and promoting women, minorities, people with disabilities, LGBTQ individuals and veterans – is one of the most rigorous, data-driven surveys of its kind, gauging detailed demographics based on race/ethnicity and gender at some of the largest U.S. employers. | ""There are simply not enough qualified people to hire. A company's ability to find the best and brightest, advance and retain them equitably is a decisive competitive advantage,"" notes Luke Visconti, founder and CEO of DiversityInc. ""The DiversityInc Top 50 have a decisive metrics-evidenced ability to treat people more fairly than other large companies. They also have a greater-than-average return for their shareholders."" | ""At MGM Resorts, inclusion is a business imperative,"" said  Phyllis A. James , the company's Executive Vice President and Chief Corporate Responsibility Officer. ""We are driven by our belief that a business becomes stronger and more competitive when it leverages the talents of all of its employees – and their different backgrounds, cultures, ideas and viewpoints – to create better, innovative strategies and methods for exceptional products and guest services. We are honored to be recognized by DiversityInc for the progress we continue to make."" | DiversityInc's extensive annual survey yields an empirically driven ranking based on recruitment, talent development, senior leadership commitment, supplier diversity and philanthropy. This year's competition was improved by new survey questions, increased emphasis on fairness over chasing numbers and more sophisticated analysis from DiversityInc's data scientists. | About DiversityInc | The mission of DiversityInc is to bring education and clarity to the business benefits of diversity. The DiversityInc Top 50 Companies for Diversity list began in 2001, when many corporations were beginning to understand the business value of diversity-management initiatives. The 2017 Top 50 Companies for Diversity results will be featured on DiversityInc.com and in DiversityInc magazine. DiversityInc is a VA certified veteran-owned business and a USBLN certified business owned by a person with a disability. For more information, visit www.diversityinc.com and follow us on  Facebook, Twitter and LinkedIn @DiversityInc. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/mgm-resorts- international-named-among-nations-2017-top-companies-for-diversity-by-diversityinc-300455133.html",11,"50, 11, 20, 52, 53, 63, 85, 45, 2, 90, 11","diversity, Diversity and Inclusion","2282, MGM, MGP... - MGM Resorts International Named Among Nation's 2017 Top Companies for Diversity by DiversityInc - 10-May-17 - PRN.pdf"
,"Media Summaries, Sunday NYT Summary","Tech firms don't do enough to prevent proliferation of child sexual abuse imagery | Tech companies ban child sexual abuse imagery from their platforms, but search engines, social networks, and cloud storage are rife with gaps for criminals to result. For victims, the trauma of constantly recirculating photos and videos can be devastating. Companies mentioned: GOOGL, DBX, MSFT, FB, AMZN, AAPL, SNAP",2,"13, 48",sexual abuse,"AAL, AAPL, AMZN... - New York Times Sunday Edition Summary - 10-Nov-19 - SA.pdf"
