identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
INTC,18,"Year-Old Engineer Constructs Fuel-Efficient, Stable Flying Wing Aircraft Prototype",19,Intel,"Award, Photo/Multimedia, Event",,0,0,
"HPQ, ORCL",All Things D publishes letter alleging sexual harassment that resulted in resignation of Hewlett,Packard CEO Mark Hurd - 29-Dec,11,,"Articles, Reports, Corporate Actions, Management Changes, Media Summaries  Related Stories:","All Things D publishes letter alleging sexual harassment that resulted in resignation of Hewlett- Packard CEO Mark Hurd  Friday, December 30, 2011 12:31:28 AM (GMT) | Follow-up: HP CEO Mark Hurd resigns following sexual harassment claims against him",2,"25, 12",sexual harassment
"MTU, 05JYHP, HBC...",Annemieke van der Werff Joins Union Bank as Chief Human Resources Officer,23-Jul-12,BW,"Union Bank, N.A.","Personnel, Photo/Multimedia","talent acquisition and staffing; talent management and leadership development; compensation and benefits; talent management and development; and diversity and inclusion initiatives for nearly 11,000 employees. | ""Annemieke is a global human resources leader who brings a deep knowledge of the banking industry and 30 years executive leadership experience to Union Bank,""ù said Oka. ""Her level of accomplishment in the areas of organizational effectiveness, change management and diversity and inclusion are exactly what Union Bank needs to advance the bank's growth across North America.""ù",2,"25, 57",Diversity and Inclusion
"HUM, US444859102",Application Process for 2020 Louisville,Based Community Partners Program Opens - 08-Jan,20,Humana Inc.,"Nonprofit, Product/Service","Strong alignment to focus areas, including nutrition and food security, shelter, personal safety, healthcare services, built and natural environment, arts and culture, and education and early childhood development. Strong alignment to Humana values: Inspire health, cultivate uniqueness, pioneer simplicity, rethink routine and thrive together. Focus on inclusion, diversity and equity. Data-based evidence of past success. Focus on building sustainable solutions for program and participants. Broad reach in terms of people impacted. Collaboration across community and among community organizations. Broader impacts for participants and community. | Propose collaborative initiatives from diverse and inclusive organizations that address the underlying factors that impact health equity, etc. Propose initiatives with a strong focus on inclusion, diversity, equity and belonging, breaking down barriers that keep all Louisville citizens from engaging the many services and opportunities our city has to offer. This includes working to make individuals in marginalized populations feel more included, connected and welcome in our community.",2,"84, 68",diversity
"002H5C, INTC, AAPL...",Arjuna Capital Withdraws Shareholder Proposal As Intel Commits To Gender Pay Equity,3-Feb-16,PRN,"Arjuna Capital, Boston","Labor Issues, Human Interest Groups","Among other major steps, Intel reported it achieved 100 percent gender pay equity in 2015.  In response, Arjuna Capital, which filed a shareholder proposal asking the company to report on the company's policies and goals to close the gender pay gap, has formally withdrawn the proxy ballot measure. | Mckinsey & Company states ""the business case for the advancement and promotion of women is compelling"" finding companies with highly diverse executive teams boasted higher returns on equity (+10.7 percent), earnings performance (+91.4 percent), and stock price growth (+36 percent). McKinsey advocates best practices to address this underleveraged opportunity including ""tracking and eliminating gender pay gaps."" | Arjuna Capital and Baldwin Brothers Inc. filed a pioneering shareholder proposal at eBay in 2014 asking the tech giant to close the gender pay gap.   And despite opposition from eBay's Board, the proposal went to a vote of investors in May 2015.  | According to Intel's newly released Diversity & Inclusion Report gender pay parity is at 100 percent has long been committed to paying our employees fairly and equitably at all levels of the organization. We conduct an annual, comprehensive audit of pay in the U.S. to analyze our employees' pay by gender and ethnicity. | ""Gender pay disparity not only is one of the biggest social justice issues of our time, but also poses a risk to companies' performance, brand, and investor returns,"" said Lamb. ""Investors seek to invest in companies that are creating fair, empowered cultures that reap the performance benefits that diversity affords.""",5,"48, 56, 42, 53, 50","Diversity & Inclusion, gender pay gap, diversity"
"000660, 008770, 086790...",Barron's Summary,4-Nov-17,SA,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment
"ARRS, BA, BATRA...",Barron's Summary,#NAME?,18,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Trader Extra:  Positive on Dollar Tree (DLTR), whose valuation is at a five-year low; The company looks likely to bounce back from its acquisition of Family Dollar, which has dragged on results; If not, an activist investor like Carl Ichan could get involved to force more drastic action. Trader Extra:  Former  Wynn Resorts (WYNN) CEO Steve Wynn, who resigned after sexual misconduct allegations, sold his entire $2.1B interest in the company in March; The well-timed sale saved him $900M.",1,79,sexual misconduct
IHRT,"Bill and Melinda Gates, Becky G, Freida Pinto, George Lopez, Henry Winkler, John Green, Mary J. Blige, Mike Sievert, Rita Wilson, Smokey Ro...",11-May-20,BW,iHeartMedia,Podcast,"iHeartMedia today announced that philanthropists and business leaders Bill and Melinda Gates, singer, songwriter and actor Becky G, actor and gender equality ambassador Freida Pinto, stand-up comedian George Lopez, director and actor Henry Winkler, New York Times bestselling author John Green, Grammy-award winning, Academy-award and Golden Globe nominated Mary J. Blige, T- Mobile CEO Mike Sievert, actor, producer, singer and songwriter Rita Wilson, acclaimed singer- songwriter Smokey Robinson, rapper and record producer T.I., Apple CEO Tim Cook and Emmy award-winning news anchor Tom Brokaw have joined ""Commencement: Speeches for the Class of 2020""ù ""ì a one-of-a-kind special podcast event for America's graduation month featuring commencement addresses from some of the most inspiring and accomplished thought leaders impacting culture today.",1,119,gender equality
"05MFY1, HSB.PRD, 0D49G2...",Canadian leaders join forces to 'hack' the gaps of diversity,12-Dec-16,INW,,Miscellaneous,"Research shows that sponsorship -- not just as a program, but as a corporate philosophy -- is a highly effective way to accelerate women's careers. In fact, 85 percent of sponsored women with children continue to work full time and seek out leadership positions, compared to 58 percent of those without sponsors. Yet organizations are not integrating sponsorship into their diversity and inclusion strategy. | Canadian leaders join forces to 'hack' the gaps of diversity   Monday, December 12, 2016 11:00:00 AM (GMT) | TORONTO, ON--(Marketwired - December 12, 2016) -  Puzzled by the perpetual lack of diversity in leadership positions across Canada, leaders from Deloitte, Dentons Canada LLP, HSBC Bank Canada and the Government of Ontario came together to host Diversahack, a hackathon-inspired event. The result: a co- created sponsorship strategy that will propel diverse, high potential individuals to senior executive positions at Canada's leading organizations. | Despite the progress made over the years, women are still under-represented in leadership roles. According to Catalyst, women occupy less than 5 percent of CEO positions at S&P 500 companies, although the participation rate of men and women in the workforce is roughly equal. This imbalance becomes even more mystifying when you consider the bottom line benefits of diversity -- companies that have gender-balanced leadership outperform those that do not. | The full report and additional resources related to Diversahack  are available at: https://www2.deloitte.com/ca/en/pages/human-capital/articles/inclusion-diversity.html",5,"64, 17, 63, 70, 13","diversity, Diversity and Inclusion"
HPQ,"Digital Transformation, Customer Experience and Services",led Selling Take Center Stage at HP Reinvent - 18-Mar,19,,Product / Services Announcement,"As the industry navigates constantly changing social and cultural environments, HP remains strongly committed to diversity and inclusion (D&I). Diversity leads to stronger teams, more significant innovation, and better products and services. | Diversity & Inclusion Partner Pledge | At HP Reinvent, not only will there be a session devoted to how partners can take action on increasing D&I in their workplace, partners will also have the opportunity to sign the 'D&I Pledge' ""ì including an honest assessment of their current state, and a follow-on training session on how to create and deploy a D&I plan in their company, and in 12 months re-take the assessment to measure their efforts and improvements.",3,"32, 5, 73","D&I, Diversity & Inclusion, Diversity and Inclusion"
