who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"News - US, Media Summaries, Economist Summary","Editorial deduces that, in light of the data breach (and many other recent, quickly- forgotten ones), the internet is not the place for secrets of any nature",1,27,data breach,"000270, 7203, BHP... - StreetAccount summary The Economist print edition - 20-Aug-15 - SA.pdf"
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","International Trader (Europe):  Positive on Hapag-Lloyd (HLAG.GR), as the container shipping industry appears to be enjoying its best conditions in nearly a decade. Global trade volume is up 4.3% this year, even as protectionism re-emerges as a threat. The 2016 bankruptcy filing of Hanjin Shipping took vessels off the market and sparked more consolidation and alliances. Hapag-Lloyd's relatively low valuation and strong fleet make it a promising way to play the revival. International Trader (Asia):  Positive on Tencent Holdings (700.HK), whose shares have climbed 125% this year to become the world's fifth-largest listed company. Shares could continue to surge as long as the company can continue to deliver on earnings and widen its moat, with its growing financial-technology business leading the way. Morningstar analyst Chelsey Tam has a current price target of $62.99, or 18% upside after Friday's comeback. Current Yield:  Emerging market bonds have had an impressive recovery after selling off after the U.S. presidential election. The selloff was driven by fears of inflation, rising rates, and a more isolationist trade policy. Markets have shrugged off these concerns, and the trend could continue into 2018, helped by improving global growth, benign inflation, and central banks that continue to suppress interest rates. The Striking Price:  Shares of Cboe Global Markets (CBOE) and CME Group (CME) set 52- week highs last week, likely reflecting expectations that the launch of Bitcoin futures will be lucrative for the exchanges. Barron's is concerned over the decision to pursure Bitcoin futures, as it may not be in the interest of the derivatives market. Until it is known if Bitcoin futures will be segregated at clearing firms to protect the stability of the markets, Barron's doesn't recommend Cboe or CME as anything but momentum trades. Commodities Corner: A cold spell in December could lift winter wheat prices higher than $5 a bushel, up more than a dollar from recent prices. A rally would aid the ailing farm economy, which has been hurt by steadily falling wheat prices since 2012. Fertilizer makers Mosaic (MOS) and Agrium (AGU) are two ways to wager such a move. Insider Transactions:  A list of recent purchases and sales of U.S. companies made by insiders. Up And Down Wall Street:  Janet Yellen last week expressed concern that inflation might continue to fall short of the Fed's 2% target. But a new leading indicator of inflation shows prices rising at nearly a 3% yearly pace, which raises the question: is Yellen concerned about prices that consumers pay, or does she fear a slide in inflated asset prices resulting from the Fed's tightening policy? The Fed faces a conundrum, as it must weigh rising inflation pressures against the risk posed by high -- and arguably inflated -- asset prices. Streetwise: Last week, +UBER said it had suffered a data breach resulting in the theft of information of about 57 million customers; worse yet, the company sat on the information for a year, and paid a $100k ransom for the hackers to hide the breach. Uber has a history of playing by its own set of private rules, free from the onus of public company disclosures. If a private company as large as Uber is serious about transparency and honesty, it should choose to report like a public company. Technology Trader:  Cloud technology is rapidly evolving in a way that could either cement or erode the oligarchy of Amazon (AMZN), Microsoft (MSFT),  and Alphabet (GOOGL). A new way of writing software called ""serverless software"" makes it easier for programmers to use cloud computing generally, which is good for these companies; but it can also weaken a programmer's loyalty to any one cloud, which could weaken the grip of the oligarchs. The three leaders are trailed by IBM (IBM) and Oracle (ORCL). Speaking of Dividends:  Tax inversions enable a U.S. corporation to acquire a foreign company and then reincorporate overseas. A recent bill that made it out of the Senate Finance Committee would tax the dividends of inverted companies at a much higher rate than currently. Among U.S. companies that have done inversions are Medtronic (MDT), Eaton (ETN), Allergan (AGN), Johnson Controls International (JCI), Mylan (MYL), and Endo International (ENDP).",1,694,data breach,"002508, 005930, 1088... - Barron's Summary - 25-Nov-17 - SA.pdf"
,"Media Summaries, Sunday NYT Summary","The data breach recently disclosed by Equifax ( EFX) has endangered millions of consumers, exposing them to identity theft and financial losses. Equifax investors are also shouldering the burden, with the stock falling 35% since the disclosure. It remains unclear, however, whether the company's executives will pay financially for the company's failures. The performance measure Equifax has used to determine executive incentive compensation excludes the cost of legal settlements made by the company.",1,73,data breach,"005930, 7203, AAPL... - New York Times Sunday Edition Summary - 17-Sep-17 - SA.pdf"
iovation,,"ABOUT IOVATION  iovation, a TransUnion company, was founded with a simple guiding mission: to make the Internet a safer place for people to conduct business. Since 2004, the company has been delivering against that goal, helping brands protect and engage their customers, and keeping them secure in the complex digital world. Armed with the world's largest and most precise database of reputation insights and cryptographically secure multi-factor authentication methods, iovation safeguards tens of millions of digital transactions each day.",1,79,Multi-factor authentication,"007FYS, TRU - iovation, a TransUnion Company, to Host Fraud Force Summit in Chicago - 27-Sep-18 - PRN.pdf"
Elavon,Personnel,"The PCI Security Standards Council was launched in 2006 as a regulatory body to address the alarming number of cardholder data breaches happening around the world. It was created by the top five global payment brands – American Express, Discover Financial Services, JCB International, MasterCard, and Visa Inc. – to develop, manage and build awareness of the PCI Security Standards. Today, the Council oversees a variety of security standards such as the Data Security Standard, Payment Application Data Security Standard and PIN Transaction Security requirements.",1,85,data breach,"05LQK1, USB - Phil Agcaoili Nominated to PCI Security Standards Council Board of Advisors - 19-May-15 - BW.pdf"
Elavon,Product/Service,"Payment Card Industry Data Security Standards (PCI DSS) establish consistent security measures for businesses; however, data breaches remain a threat. Merchants can face high costs from data breaches, from fines to lost customers and damaged reputations. Businesses that don’t capture or store actual data are at reduced risk for a data breach.",1,52,data breach,"05LQK1, USB, 07CSSG - Elavon's SAFE-T Suite Adds EMV for Even Greater Data Protection - 26-Jun-12 - BW.pdf"
U.S. Bank,"Photo/Multimedia, Personnel","“Peter is not only a top leader in emerging payments, but his breadth of experience across banking and payments will help us create winning strategies that bring real value to customers,” said Derek White, chief digital officer at U.S. Bank.",1,40,Chief digital officer,"05MBTR, USB - U.S. Bank Hires Peter Gordon as Head of Emerging Payments Product and Strategy - 18-Oct-19 - BW.pdf"
Roku Inc.,Funding,"“We have watched Roku maintain market leadership since the launch of its streaming platform four years ago and we look forward to deepening our relationship, having already worked closely together on the launch of several products,” said News Corporation Chief Digital Officer Jon Miller. “Roku's significant technology advantage, coupled with a strong market position, places them in a unique position to be an integral part of the television landscape for years to come.”",1,73,Chief digital officer,"064N0H, 0609WS, 05WR1G... - Roku Raises $45 Million from News Corporation, BSkyB and Others - 26-Jul-12 - BW.pdf"
Toyota Motor North America,Human Interest Groups,"Zack Hicks takes on new role as Chief Digital Officer | With an eye on enabling agility and scale, TMNA is creating a new Digital Transformation & Mobility pillar, which will be led by newly appointed Chief Digital Officer Zack Hicks. Hicks will report directly to TMNA CEO Jim Lentz. Hicks also will continue in his role as President and CEO of Toyota Connected.",2,"10, 53",Chief digital officer,"064Z6P, 7203 - Toyota Creates New Digital Transformation & Mobility Pillar - 12-Mar-18 - PRN.pdf"
Toyota Motor North America,,"Holly Walters, president and chief executive officer of Toyota Financial Savings Bank (TFSB) is promoted to chief information officer and group vice president of information systems for TMNA. In her new role, Walters will oversee the company's information systems, solutions and technology. Walters will report directly to Zack Hicks, chief digital officer and executive vice president of digital transformation and mobility.",1,61,Chief digital officer,"064Z6P, 7203, 076MW9 - Toyota North America Announces Executive Changes - 17-Apr-20 - PRN.pdf"
