identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
SHLDQ,Bloomberg reports Secret Service said to investigate possible Sears Holdings data breach,28-Feb-14,SA,,,"Bloomberg reports Secret Service said to investigate possible Sears Holdings data breach   Friday, February 28, 2014 06:49:00 PM (GMT)",1,,data breach
SCHW,Charles Schwab Creates Digital Accelerator Hubs in Austin and San Francisco,3-May-18,BW,Charles Schwab,Product/Service,"“Schwab has a long history of challenging the status quo on behalf of investors, and technology has always been critical to better serve our clients,” said Neesha Hathi, Executive Vice President and Chief Digital Officer for Charles Schwab. “We aim to deliver a great client experience at every touch point, so we’re accelerating our work in digital experiences that improve clients’ day-to-day interactions.”",1,,Chief digital officer
SCHW,Charles Schwab Creates Digital Accelerator Hubs in San Francisco and Austin,3-May-18,BW,Charles Schwab,Product/Service,"“Schwab has a long history of challenging the status quo on behalf of investors, and technology has always been critical to better serve our clients,” said Neesha Hathi, Executive Vice President and Chief Digital Officer for Charles Schwab. “We aim to deliver a great client experience at every touch point, so we’re accelerating our work in digital experiences that improve clients’ day-to-day interactions.”",1,,Chief digital officer
"0BXRBR, SCHW",Charles Schwab Purchases Motif's Technology Capabilities,7-May-20,BW,Cerulli,"Personnel, Contract/Agreement, Merger/Acquisition","“As a company with a deep history of innovating to improve the financial lives of investors, we are thrilled to bring transformative technology to Schwab to help our clients navigate their investment needs in a more personal way,” said Neesha Hathi, EVP and Chief Digital Officer at Schwab. “We continue to see an increasing number of clients interested in customizing their investing experience to suit their values, objectives and personal circumstances. We intend to leverage Motif’s platform to build on Schwab’s existing capabilities and help accelerate our development of thematic and direct indexing solutions for Schwab’s retail investors and RIA clients – all with the sophisticated digital experience our clients expect from Schwab.”",1,,Chief digital officer
SCHW,Charles Schwab Reinforces Its Commitment to Customer Data Protection,16-Apr-20,BW,The Charles Schwab Corporation,"Contract/Agreement, Product/Service","Protection – The API issues a token to third parties for client data to ensure client account credentials are safe. Available multi-factor authentication provides an added layer of user identification. Data Privacy –Through the Schwab API, clients can choose to grant access to specific accounts and specific third parties to ensure the right data is selected. Consent to allow access to data through explicit disclosures is logged and archived. Transparency and Control  – Clients have higher visibility and transparency into linked accounts, including which third parties are accessing their data and the type of data through the Schwab Security Center. Clients can easily view and change access at any time.",1,,Multi-factor authentication
SCHW,Fitch Affirms U.S. Retail Broker Ratings Following Industry Peer Review,18-Mar-13,BW,Fitch Ratings,Bond/Stock Rating,The primary risk to Scottrade's rating is from a large idiosyncratic operational loss or data breach that causes clients to leave the firm. This risk is difficult to predict and quantify but has the potential to be harmful to the company and its ratings should the loss impact only Scottrade and not all industry participants. This risk also constrains upwards rating potential.,1,,data breach
"SAN, SNY",Happify Health and Sanofi Sign Global Agreement to Bring Prescription Digital Mental Health Therapeutics to Individuals with Multiple ...,17-Sep-19,PRN,Happify Health,Contracts,"""We know that, for certain chronic conditions, mental health is perhaps the most significant underlying comorbidity,"" said Ameet Nathwani, Sanofi's chief medical officer and chief digital officer.  ""Happify Health's ability to address mental health issues so effectively in a digital environment provides an ideal complement to Sanofi's traditional therapies, allowing us to continue delivering on our commitment to bring innovative treatments and programs to people living with MS.""",1,,Chief digital officer
RAD,Justin Mennen Named Rite Aid Senior Vice President and Chief Information Officer,18-Dec-18,BW,Rite Aid Corporation,"Personnel, Product/Service","Mennen joins Rite Aid from CompuCom Systems Inc., where he served as the company’s chief digital officer and chief information officer. In this role, he led the CompuCom Digital business and was responsible for digital strategy, innovation, digital consulting services, digital buildings, product engineering and enterprise architecture. Before CompuCom, he led technology organizations across several industries, most recently as the vice president of enterprise architecture and technology innovation for Estée Lauder Companies Inc. He also served as the regional chief information officer for Asia Pacific and Japan at Dell, Inc., based in Malaysia.",1,,Chief digital officer
SHLDQ,"Kenmore Elite® Ovation Stand Mixer Breaks The Mold Revolutionary Design Enables Home Chefs To Keep Mixing, Minus The Mess",23-May-18,PRN,Kenmore,New Products & Services,"""We are excited to offer the latest in Kenmore innovation, the Ovation, at Sears to our members who have a passion for cooking and baking,"" said Leena Munjal, Chief Digital Officer at Sears Holdings. ""Kitchen enthusiasts and home chefs who tested the Kenmore Ovation thought it was not only an incredibly functional appliance, but also a beautiful addition to their kitchen. Pre-order this new breakthrough stand mixer starting today at sears.com/ovation. And the first 500 Shop Your Way members who pre-order Ovation will receive $100 CASHBACK in points*.""",1,,Chief digital officer
SHLDQ,Kmart Celebrates Mother's Day by Marking 35 Years Championing Healthy Moms and Strong Babies with March of Dimes®,3-May-18,PRN,Kmart,"Corporate Social Responsibility, Human Interest Groups","""Kmart has long championed charities and issues that mean the most to our associates and Shop Your Way members,"" said Leena Munjal, chief digital officer for Sears Holdings Corporation. ""It's a family effort within our organization and a great point of pride for everyone who works at Kmart – both in-store and at the great marches across America. Mother's Day is a great reminder that their contributions give hope to the families of more than 380,000 babies born too soon each year.""",1,,Chief digital officer
SHLDQ,Kmart Members Can Now Earn FREECASH in Points through Toys R Us Gift Card Exchange and Toy of the Month Programs,24-Apr-18,PRN,Kmart,New Products & Services,"""Kmart has long been a family shopping destination for expecting and current parents,"" said  Leena Munjal, chief digital officer for Sears Holdings Corporation. ""We're adding more excitement to shopping and giving more savings back to our members by offering incentives to shop easily and conveniently for popular children's items. This is another example of how we're putting our members first – finding creative offers that deliver real value in their everyday lives.""",1,,Chief digital officer
