who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
National Science Teachers Association (NSTA) and Shell Oil Company,Contest,"Shell’s commitment to community and social responsibility has been in place for more than 50 years. During this time, we have contributed more than a billion dollars to support community, health and welfare, environmental, arts and cultural activities, various educational initiatives, including minority education, and diversity and inclusiveness programs in Houston and the U.S.",1,54,diversity,"000WDV, RDSA, 077RP1 - Shell Science Lab Challenge Announces 2016 District Winners - 29-Feb-16 - BW.pdf"
Bernstein Litowitz Berger & Grossmann LLP,Legal Issues,"The Signet Securities Action alleges violations of Sections 10(b) and 20(a) of the Securities Exchange Act of 1934 and Rule 10b-5 promulgated thereunder, based on alleged misrepresentations and omissions concerning: (1) Signet's credit operations, loan portfolio, and financial condition; and (2) an alleged culture of rampant sexual harassment at the Company. As alleged in the operative complaint, the truth about Signet's loan operation and credit portfolio first began to be revealed on November 24, 2015, when the Company reported surprisingly poor financial results due to deterioration in its credit portfolio. The truth about Signet's culture of sexual harassment was first revealed on February 27, 2017, when The Washington Post  published an article detailing the previously-undisclosed contents of hundreds of sworn statements attesting to numerous instances of egregious sexual harassment at the Company. These and further disclosures caused the prices of Signet securities to decline significantly, causing substantial investor losses.",1,149,sexual harassment,"00B39P, SIG - The Court-Appointed Lead Plaintiff In The Signet Jewelers Limited Securities Class Action Announces Clarification Of Deadline For S... - 08-Jan-18 - PRN.pdf"
Sanofi-Aventis Canada Inc.,"Economy, Business, Finance, Economic Issues","""Recognitions like these corroborate our continuous aspiration to be an employer of choice and remain highly competitive in terms of what we offer each employee,"" says Marie-Pierre Lalande, Head of Human Resources for Sanofi Canada. ""Our commitment to diversity and inclusion, our attractive benefits and rewards packages as well as a plethora of internal learning opportunities make Sanofi Canada an excellent place to grow your career.""",1,66,Diversity and Inclusion,"09TCH5, 0GGLKG, SAN - Sanofi Canada named one of Canada's Top 100 Employers for 2020 - 22-Nov-19 - CNW.pdf"
,"Class Action, Law & Legal Issues","Throughout the class period, CBS Corporation allegedly made materially false and/or misleading statements and/or  failed  to  disclose  that:  (1)  CBS  executives,  including  the  company’s  Chairman  and  Chief  Executive Officer, Leslie “Les” Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS’s enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing",1,59,sexual harassment,"AMPE, CBS, CRON... - The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of AMPE, NVRO, LCI, CBS, PZZA, SKX, CRON, PM... - 20-Sep-18 - PMZ.pdf"
,"Class Action, Law & Legal Issues","The  lawsuit  alleges  CBS  Corporation  made  materially  false  and/or  misleading  statements  and/or  failed  to disclose  during  the  class  period  that:  (1)  CBS  executives,  including  the  company’s  Chairman  and  Chief Executive Officer, Leslie “Les” Moonves, had engaged in widespread workplace sexual harassment at CBS; (2) CBS’s enforcement of its own purported policies was inadequate to prevent the foregoing conduct; (3) the foregoing  conduct,  when  revealed,  would  foreseeably  subject  CBS  to  heightened  legal  liability  and  impede the  ability  of  key  CBS  personnel  to  execute  the  company’s  business  strategy;  and  (4)  as  a  result,  CBS’s public  statements  were  materially  false  and  misleading  at  all  relevant  times.  When  the  true  details  entered the market, the lawsuit claims that investors suffered damages.",1,117,sexual harassment,"AMPE, CBS, NVRO... - The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of TSLA, AMPE, NVRO, CBS and SKX - 30-Sep-18 - PMZ.pdf"
,"News - US, Media Summaries, Economist Summary","Around 50 big companies pulled advertising from Bill O'Reilly's program ""The O'Reilly Factor"" this week, after the New York Times revealed a history of sexual harassment accusations against the Fox News anchor. All eyes are now 21st Century Fox (FOXA) Chairman Rupert Murdoch, who must decide whether to keep or oust the network's greatest asset. The company has supported O'Reilly in an initial statement.",1,64,sexual harassment,"AMZN, ASRT, DLAR... - StreetAccount Summary The Economist print edition - 06-Apr-17 - SA.pdf"
,"Class Action, Law & Legal Issues",,0,0,,"CRON, LCI, PZZA... - The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of LCI, PZZA, SKX and CRON - 05-Sep-18 - PMZ.pdf"
Rite Aid Corporation,Award,"PCA is Philadelphia’s only child advocacy center for sexually abused children. The nonprofit organization brings together a team of professionals to allow abused children to tell their stories using a coordinated process in a safe and welcoming facility. When a report of child sexual abuse is made in Philadelphia, PCA’s intake team coordinates the investigation with a multi-disciplinary team approach, working closely with representatives from the Philadelphia Police Department’s Special Victims Unit, the Department of Human Services, and mental health and medical professionals on behalf of the victim. | “Chris is the embodiment of what it means to be a voice for the voiceless. Child sexual abuse is a national crisis that changes children’s lives forever. However, thanks to the work of Chris and the PCA, these children can reclaim their lives and ensure that the abuse doesn’t define who they are,” said Bryan Everett, chief operating officer of Rite Aid Corporation and president of The Rite Aid Foundation. “Not only has Chris worked to ensure that PCA fulfills its mission, she has also championed to expand PCA’s facility and provide care for more children than ever before, ensuring justice and healing for the innocent.” | Three years after PCA opened in 1989, Ms. Kirchner took on the role as the Alliance’s executive director. Initially, PCA was housed in a 3,300 square foot space in West Philadelphia with only one forensic interview room that allowed for only one child and family to be seen at a time. Ms. Kirchner made it her mission to advocate for a larger site and ensure PCA could serve every child who has faced sexual abuse. In 2010, the facility moved to a larger space in Center City that served 100 children a month. | In 2013, after seeing the incredible work Ms. Kirchner and PCA had accomplished, the City of Philadelphia built the Philadelphia Safety Collaborative to co-locate PCA and all partner agencies. The state-of-the-art facility houses the Philadelphia Police Department’s Special Victims Unit, the Philadelphia Department of Human Services social workers, child abuse prosecutors and PCA staff. This larger facility allows for 250 children to be served a month. In 2018, PCA responded to 3,274 reports of child sexual abuse, conducted 1,957 forensic interviews and ensured 1,264 children received counseling therapy. | “It is truly an honor to be presented with this KidChamp Award. I am incredibly thankful to The Rite Aid Foundation and KidCents for their support of PCA and our efforts to provide a safe space where children can heal and begin to reclaim their lives,” said Chris Kirchner, executive director, Philadelphia Children’s Alliance. “Our work has helped change how we approach sexual abuse cases for children. I’m so very proud of what we have accomplished and promise to continue advocating to ensure these children continue to get the support and care they deserve.” | As part of her role at PCA, Ms. Kirchner also oversees the Northeast Regional Children’s Advocacy Center (NRCAC), a federal grant project that provides training and technical assistance to communities in the northeastern United States that are interested in developing or maintaining a Child Advocacy Center. In addition, she and members of her management team lead trainings locally and nationally about the topic of child sexual abuse, and the importance of a collaborative response. | Executive Director of Philadelphia Children’s Alliance Honored for Outreach and Advocacy on Behalf of Sexually Abused Children | The Rite Aid Foundation announced today that Chris Kirchner, executive director of the  Philadelphia Children’s Alliance (PCA), in Philadelphia, Pennsylvania has been awarded its KidChamp Award. Ms. Kirchner was recognized for three decades of advocacy and outreach to ensure healing and justice for sexually abused children in Philadelphia. In recognition of her service, Ms. Kirchner received a $10,000 donation to the Philadelphia Children’s Alliance from The Rite Aid Foundation and a $500 Rite Aid gift card during a special ceremony at Philadelphia Children’s Alliance. | The Philadelphia Children’s Alliance is an independent non-profit organization that promotes healing and justice for sexually abused children in Philadelphia. Using a multidisciplinary approach, we collaborate with our partners in child protection, law enforcement, and medical and mental health services to provide forensic interviews, victim support and counseling services at the Philadelphia Safety Collaborative, a co-located child-friendly facility. PCA is committed to using best practices and we promotes this model locally and nationally.",9,"88, 106, 93, 88, 94, 74, 17, 84, 73","sexual abuse, sexually abused",RAD - Chris Kirchner Receives The Rite Aid Foundation's KidChamp Award - 01-Aug-19 - BW.pdf
Rite Aid Corporation and The Rite Aid Foundation,"Product/Service, Nonprofit","EVERFI, Inc. is the leading education technology company that provides learners of all ages education for the real world, through innovative and scalable digital learning. Founded in 2008, EVERFI has certified over 16 million learners in critical skill areas with more than 4,300 partners in all 50 U.S. States and Canada. EVERFI is an industry convener that builds Networks to tackle the toughest social issues, including the Campus Prevention Network, a coalition of higher education institutions committed to campus sexual assault and alcohol abuse prevention; and the Financial Capability Network, a coalition of industry leaders dedicated to improving financial outcomes for communities across the country. Some of America’s leading CEOs and venture capital firms are EVERFI investors including Amazon founder and CEO Jeff Bezos, Google Chairman Eric Schmidt, Twitter founder Evan Williams, TPG Growth, and The Rise Fund.",1,138,sexual assault,RAD - Rite Aid Foundation Launches New Prescription Drug Safety Initiative in Akron-Area High Schools - 25-Feb-19 - BW.pdf
Rite Aid Corporation,Product/Service,"EVERFI, Inc. is the leading education technology company that provides learners of all ages education for the real world, through innovative and scalable digital learning. Founded in 2008, EVERFI has certified over 16 million learners in critical skill areas with more than 4,300 partners in all 50 U.S. States and Canada. EVERFI is an industry convener that builds Networks to tackle the toughest social issues, including the Campus Prevention Network, a coalition of higher education institutions committed to campus sexual assault and alcohol abuse prevention; and the Financial Capability Network, a coalition of industry leaders dedicated to improving financial outcomes for communities across the country. Some of America’s leading CEOs and venture capital firms are EVERFI investors including Amazon founder and CEO Jeff Bezos, Google Chairman Eric Schmidt, Twitter founder Evan Williams, TPG Growth, and The Rise Fund.",1,138,sexual assault,RAD - Rite Aid Foundation Launches Prescription Drug Safety Initiative in Scranton-Area High Schools - 07-Dec-18 - BW.pdf
