identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
"CASY, SW, VLY...",ADP¬Æ Recognizes Leading Companies for Workplace Transformation Initiatives at 26th Annual ADP Meeting of the Minds Conference,3-Apr-19,PRN,"ADP, LLC",Human Interest Groups,"Humanity at Work Award Winner:  Sodexo  This award distinguishes an organization that has developed a workplace environment where diversity and inclusion are embraced and recognized.  Sodexo is a multinational organization that provides ""Quality of Life"" on-site and home services to multiple sectors, including government services, healthcare, schools, energy and sports and leisure.  Among Sodexo's core values are diversity, inclusion, opportunity and sustainability; these pillars have built an environment for employee and client growth. Among the world's largest employers, Sodexo's policies serve as an industry benchmark.  It has been recognized by nonprofits, NGOs and other trade organizations and media outlets from around the world for its efforts in driving an open, inclusive environment.  Sodexo partners with ADP to ensure a streamlined approach to the demanding logistics of payroll, HR support and employee training that a truly global company requires. | The awards are given to a select group of large employers that demonstrate excellence in HCM and lead change in workplace innovation.  Narrowed down to five companies reflecting employee culture and engagement, workplace innovation, diversity and leadership, these companies are recognized for their use of HCM technology to deliver strong results and drive positive change.  ADP Meeting of the Minds offers attendees educational sessions, networking opportunities and an inside look at the latest ADP HCM technologies, with the awards announced on the final day.  Conference attendees come away with techniques and strategies to help their workforce and organization thrive.",2,"138, 99","diversity, Diversity and Inclusion"
CHTR,Charter Names Rhonda Crichlow Chief Diversity Officer,20-Sep-16,PRN,"Charter Communications, Inc.",,"Charter Names Rhonda Crichlow Chief Diversity Officer   Tuesday, September 20, 2016 05:30:00 PM (GMT) | STAMFORD, Conn., Sept. 20, 2016 /PRNewswire/ -- Charter Communications, Inc. (NASDAQ: CHTR) today announced that Rhonda Crichlow  has agreed to join the Company as Senior Vice President, Chief Diversity Officer.  In this newly created position, Crichlow will be responsible for the overall strategic development and implementation of Charter's diversity and inclusion initiatives. Crichlow will report to David Ellen, Senior Executive Vice President and will be based out of Charter's corporate headquarters in Stamford, CT. | ""I am very pleased to welcome Rhonda to our senior leadership team. The creation of the Chief Diversity Officer role reflects Charter's unwavering commitment to the fundamental values of diversity and inclusion,"" said Tom Rutledge, Chairman and Chief Executive Officer of Charter. ""Rhonda and her team will work together, with the company's full support, to ensure that diversity and inclusion strategies are integrated into all aspects of the organization."" | ""Rhonda is a seasoned executive whose experience and expertise will help Charter elevate the legacy diversity programs of all three companies and build on that solid foundation a world-class diversity and inclusion program which is a critical component of business success today,"" said David Ellen, Charter's Senior Executive Vice President. | Crichlow joins Charter after 10 years with the Novartis Pharmaceuticals Corporation where she most recently served as Vice President, Head of US Diversity and Inclusion, and President of the Novartis US Foundation. Rhonda led the implementation of Novartis' Diversity and Inclusion strategy, focused on fostering an inclusive environment supporting the development of innovative medicines and novel healthcare solutions.  Under her leadership, DiversityInc recognized Novartis as the leading company for Diversity and Inclusion in 2014 and 2015.  | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/charter-names- rhonda-crichlow-chief-diversity-officer-300331097.html",6,"14, 74, 69, 50, 76, 11","Chief Diversity Officer, Diversity and Inclusion, diversity"
CVX,Chevron Corp.(CVX,US) Schedules Annual General Meeting for 27-May-2020 1100 AM ET,7,,,,0,0,
"CVX, US166764100",Chevron Partners with Catalyst to Advance Gender Equality,26-Feb-19,BW,Chevron Corporation,"Contract/Agreement, Nonprofit","Chevron Partners with Catalyst to Advance Gender Equality  Tuesday, February 26, 2019 02:00:00 PM (GMT) | Chevron Corporation (NYSE:CVX) today announced a $5 million grant to Catalyst, a global nonprofit advancing workplace gender equality, in support of expanding the organization's Men Advocating Real Change (MARC) program, which Chevron adopted in 2016. MARC is focused on engaging and empowering male executives and leaders to consistently model inclusive behaviors, influence more equitable talent management systems and processes, and build effective partnerships across gender. | MARC engages men and women in deep, honest dialogue where men gain insight, empathy, and personal motivation to take action to improve gender equity in the workplace. The Chevron grant will directly support the global expansion of MARC Leaders, Catalyst's transformational, immersive training program. It will also support the rollout of MARC Teams to Catalyst Supporter companies across the globe, creating a grassroots collective approach that helps men apply their influence to affect positive change in the workplace with respect to gender equality. | ""This is the single largest grant we've received in our organization's 50+ year history. Companies like Chevron and leaders like Mike Wirth, who make diversity and inclusion a business imperative and take real, tangible action, are leading by example,""ù said Lorraine Hariton, President & CEO of Catalyst. ""We are excited to continue strengthening our partnership with Chevron, and we challenge others to join Catalyst and Chevron in creating inclusive workplaces that allow everyone to thrive.""ù",4,"15, 65, 83, 75","Diversity and Inclusion, gender equality"
CHS,"Chico's FAS, Inc. Celebrates International Women's Day",8-Mar-19,PRN,"Chico's FAS, Inc.",Human Interest Groups,"Ms. Broader stated, ""We are pleased to receive this recognition, which reflects our belief that diversity and inclusion are important corporate values. Women drive 70% of consumer purchases, through a combination of influence and buying power. It only makes good business sense to have decisions effecting those products in their hands, too."" | Company's Commitment to Developing Women Leaders and Diversity, Equity and Inclusion Recognized with 2019 NAFE Award | FORT MYERS, Fla., March 8, 2019 /PRNewswire/ -- Chico's FAS, Inc. (NYSE: CHS) is today celebrating International Women's Day with special events that promote and celebrate women empowerment and the Company's commitment to diversity, equity and inclusion. The Company also announced that in recognition of its accomplishments in these areas, Chico's FAS been named one of the 2019 NAFE Top Companies for Executive Women by the National Association for Female Executives in partnership with  Working Mother . | Chico's FAS is hosting a yoga session for associates. In addition to bringing a morning of wellness, the event symbolizes the importance of gender balance within organizations and reinforces the International Women's Day 2019 campaign theme, #BalanceforBetter. Chico's FAS associates will be encouraged to showcase diversity within the organization by reproducing the Company's logo using a mosaic of individual employee photographs. Seven women-owned food trucks will be on-site during lunchtime with menus designed around women empowerment themes. Chico's FAS produced a video featuring Company leaders and associates and the positive impact they have had on individual women through their charitable activities and community outreach. The video is being shared internally to employees as well as externally on the Company's social media channels. | With an executive team and Board of Directors composed of 57% and 56% women, respectively, Chico's FAS is consistently recognized for its commitment to diversity and attracting, retaining and supporting female talent. | Ranked #1 by Ledbetter, Most Female Representation in Senior Management Positions, (2017) 20/20 Women on Boards, Board of Directors Gender Diversity Recognition, (2012-2017) Women Executive Leadership Florida Corporate Salute Elevate Award, Advancement of Gender Diversity in the Boardroom and C-suite, (2017) Women's Forum of New York Corporate Champion, Accelerating Gender Parity in the Boardroom, (2017)",6,"52, 16, 77, 122, 32, 55","diversity, Diversity and Inclusion"
CMG,"Chipotle Mexican Grill, Inc.(CMG",US) Schedules Q2 2020 Earnings Call for 22-July-2020 430 PM ET,2,,,,0,0,
CHH,Choice Hotels Earns Perfect Score in the Human Rights Campaign Corporate Equality Index for Eighth Consecutive Year,9-Nov-17,PRN,"Choice Hotels International, Inc.","Corporate Social Responsibility, Human Interest Groups","The company's long-time commitment to workplace diversity and inclusion is driven at the top of the organization, and extends to every facet of the company. Choice Hotels supports nine different employee resource groups designed to facilitate engagement among associates, and help shape the company's culture and business objectives. Choice is also committed to supporting a diverse franchisee base, and is the only lodging company to have an emerging markets development team with personnel dedicated to helping minorities and veterans pursue opportunities in the industry.",1,84,Diversity and Inclusion
CHH,Choice Hotels International General Counsel Receives Prestigious Honor from Asian American Legal Community,22-Feb-13,PRN,"Choice Hotels International, Inc.","Legal Issues, Human Interest Groups","""Simone is a true leader in the area of corporate diversity and inclusion. We are so proud of all that she has accomplished within her field and now within our industry,"" said Stephen P. Joyce, president & CEO of Choice Hotels International. ""At Choice Hotels, she ensures our business practices always put fairness first ""ì for associates, potential associates, our franchisees and business partners. This includes our policies for inclusion and diversity which are considered in the decisions we make every day as a company."" | ""Lawyers have a unique role in society because we serve as a voice for others. In that capacity, among our responsibilities is to contribute to our communities, deliver justice and to pave the way for others to do the same,"" Ms. Wu said in her remarks at the awards dinner. ""Today we have the opportunity to heighten our efforts to pursue these goals in the area of diversity and inclusion. Yet here we are well into the 21st century and we still have many pockets where the voices of some are still underrepresented or barely heard.""  | SILVER SPRING, Md., Feb. 22, 2013 /PRNewswire/ -- Choice Hotels International, Inc. (NYSE: CHH), one of the world's largest hotel companies, announced Simone Wu, senior vice president, general counsel, corporate secretary and chief compliance officer of Choice Hotels, has received the 2013 Asian American Legal Defense Education Fund Justice in Action Award for leadership and dedication to promote diversity in the legal profession. | Prior to joining Choice Hotels, Ms. Wu served as executive vice president, general counsel, and secretary for XO Communications, a leading nationwide telecommunications corporation. She is currently chairperson- elect of the board of directors of the Minority Corporate Counsel Association and co-Chair of the In-House Counsel Committee of the National Asian Pacific American Bar Association (NAPABA). Through her more than 20 years of legal experience, Ms. Wu has been committed to advancing diversity and mentoring Asian- American attorneys as well as up and coming lawyers of all different diverse backgrounds. She has also served on the board of directors for the Washington Metropolitan Area Association of Corporate Counsel which has honored her as the Washington, D.C. area's outstanding chief legal officer.",4,"85, 96, 63, 121","diversity, Diversity and Inclusion"
CHH,Choice Hotels International Named Among Best Places to Work for LGBT Equality by Human Rights Campaign,9-Dec-11,PRN,"Choice Hotels International, Inc.","Corporate Social Responsibility, Human Interest Groups","This is the 10th year that HRC has issued its CEI report. The 2012 CEI chronicles the remarkable advances that have taken place on behalf of lesbian, gay, bisexual, and transgender equality in the workplace since 2002. In its first year, only 13 businesses received a top 100 percent score. This year, Choice Hotels is among 190 other corporations, across industries, geographies, and size that will receive a 100 percent score on significantly stringent criteria. As a company, Choice Hotels has participated in the HRC's CEI over the past three years, increasing its score year over year with a 95 percent ranking for 2011. | The Human Rights Campaign is America's largest civil rights organization working to achieve lesbian, gay, bisexual and transgender equality. By inspiring and engaging all Americans, HRC strives to end discrimination against LGBT citizens and realize a nation that achieves fundamental fairness and equality for all. | As part of the CEI, Choice Hotels was rated on 40 specific policies and practices, 32 of which are new or more demanding this year. To achieve a perfect score and the coveted distinction of ""Best Places to Work for LGBT Equality,"" Choice Hotels had to have fully-inclusive equal employment opportunity policies, provide equal employment benefits, demonstrate organizational LGBT competency, evidence its commitment to equality publicly and exercise responsible citizenship.",3,"104, 45, 70","Equal Employment Opportunity, gender equality"
CHH,Choice Hotels International Scores a Perfect 100 in the Human Rights Campaign Corporate Equality Index for Seventh Consecutive Year,6-Dec-16,PRN,"Choice Hotels International, Inc.",Human Interest Groups,"""Choice Hotels champions an inclusive environment for all of our colleagues and we're proud to be recognized as a best place to work for LGBT equality for a seventh time,"" said Steve Joyce, CEO, Choice Hotels International. ""Diversity and inclusion are part of our DNA at Choice, and are integrated in every aspect of our business. We know that only through a culture built on the diversity of thought, background and experience can we make the best decisions and attract and retain top talent. Ensuring that we adhere to inclusionary practices helps us be a better business."" | As part of the CEI, Choice Hotels was rated on 40 specific policies and practices. To achieve a perfect score and the distinction of ""Best Places to Work for LGBT Equality,"" Choice Hotels had to have fully inclusive equal employment opportunity policies, provide equal employment benefits, demonstrate organizational LGBT competency, evidence its commitment to equality publicly and exercise responsible citizenship.",2,"97, 60","Equal Employment Opportunity, Diversity and Inclusion"
