who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
Booking.com,Human Interest Groups,"Winners will be selected in seven distinct award categories, each of which celebrates a different aspect of achievement in technology: Role Model, Young Technologist, Business Leader, Digital Leader, Employer Award, Community Impact Award and Tech Innovator. The awards are open to women at all levels in any technology or IT-related field who are disrupting or transforming business, industry or communities using technology. The Employer Award recognizes an organization that has made significant progress in achieving gender diversity and inclusion in IT and technology.   | Following the success of the inaugural  awards, the Booking.com Technology Playmaker Awards 2019 are now open  for  global  entries at  http://www.techplaymakerawards.com Winners will be announced at a n awards ceremony  in London, UK , on March 13th, 2019   As part  of Booking.com's commitment to drive awareness of  gender  diversity  in the global technology sector, the awards  shine a light on  women making an impact with technology  and inspiring future female tech leaders   Over one in two (52%) women working in technology or students interested in the field say a lack of visible role models or mentors across the global tech sector is a major barrier to entry, according to new Booking.com research.  | Today, Booking.com, one of the world's largest travel e-commerce companies launched the Technology Playmaker Awards 2019. Introduced by Booking.com in 2017, the awards aim to recognize and celebrate women who are pushing the boundaries of innovation in technology and inspiring future generations of female technology leaders to do the same. This year, the awards are open to nominations from any country, to spotlight the diversity of talent in the global technology sector and encourage more girls and women worldwide to enter and succeed in the field. Nominations can be submitted at http://techplaymakerawards.com, in any language, before December 22nd, 2018. | The overall Booking.com Technology Playmaker of the Year 2019 will be chosen from among the individual category winners, and will be the person who our judging panel of industry leaders, politicians and academics consider to have made the most impactful change in the global technology sector. In identifying and championing remarkable examples of leadership, courage, ingenuity, tenacity and innovation in technology, the awards aim to empower the next generation of women to consider a career in tech and advance dialogue on the need for greater diversity. Each category winner will receive a monetary prize of €5,000 to help advance business and professional goals, with the overall winner collecting a €10,000 award. | New global research from Booking.com sheds light into the key barriers for women to enter in the tech sector. Over one in two (52%) women working in tech or students interested in the field say a lack of visible role models or mentors across the global tech sector is a major barrier to entry for women. Another half (50%) say they are held back because the opportunities for women to advance in technology are not made clear. These are the gender diversity challenges that Booking.com seeks to unearth and help address through this awards program and other related initiatives.",5,"83, 112, 99, 111, 99","diversity, Diversity and Inclusion","0663S0, BKNG - Booking.com Opens Nominations for Technology Playmaker Awards 2019 to Celebrate and Recognize Inspiring Women in Technology - 17-Sep-18 - PRN.pdf"
Cabela’s Incorporated,Economic News/Analysis,"Statements in this press release that are not historical or current fact are ""forward-looking statements"" that are based on the Company's beliefs, assumptions and expectations of future events, taking into account the information currently available to the Company. Such forward-looking statements include, but are not limited to, the Company's statements regarding opening a Green Bay-area retail store location in 2013. Forward- looking statements involve risks and uncertainties that may cause the Company's actual results, performance or financial condition to differ materially from the expectations of future results, performance or financial condition that the Company expresses or implies in any forward-looking statements. These risks and uncertainties include, but are not limited to: the state of the economy and the level of discretionary consumer spending, including changes in consumer preferences and demographic trends; adverse changes in the capital and credit markets or the availability of capital and credit; the Company's ability to successfully execute its multi-channel strategy; increasing competition in the outdoor sporting goods industry and for credit card products and reward programs; the cost of the Company's products, including increases in fuel prices; the availability of the Company's products due to political or financial instability in countries where the goods the Company sells are manufactured; supply and delivery shortages or interruptions, and other interruptions or disruptions to the Company's systems, processes, or controls, caused by system changes or other factors; increased government regulations, including regulations relating to firearms and ammunition; the Company's ability to protect its brand, intellectual property, and reputation; the outcome of litigation, administrative, and/or regulatory matters (including a Commissioner's charge the Company received from the Chair of the U. S. Equal Employment Opportunity Commission in January 2011); the Company's ability to manage credit, liquidity, interest rate, operational, legal, and compliance risks; the Company's ability to increase credit card receivables while managing credit quality; the Company's ability to securitize its credit card receivables at acceptable rates or access the deposits market at acceptable rates; the impact of legislation, regulation, and supervisory regulatory actions in the financial services industry, including the Dodd-Frank Wall Street Reform and Consumer Protection Act; and other risks, relevant factors and uncertainties identified in the Company's filings with the SEC (including the information set forth in the ""Risk Factors"" section of the Company's Form 10-K for the fiscal year ended December 31, 2011), which filings are available at the Company's website at www.cabelas.com and the SEC's website at www.sec.gov. Given the risks and uncertainties surrounding forward-looking statements, you should not place undue reliance on these statements. The Company's forward-looking statements speak only as of the date they are made. Other than as required by law, the Company undertakes no obligation to update or revise forward-looking statements, whether as a result of new information, future events or otherwise.",1,461,Equal Employment Opportunity,"06QBLK, CAB, V - Cabela's® Announces Plans for Green Bay, Wis., Store - 04-May-12 - BW.pdf"
Agoda,,"2.    Celebrate diversity and inclusion at the world's largest LGBTQ parade in  Sydney, Australia | An estimated 300,000 spectators, both from overseas and within Australia, fill the streets during the annual Sydney Gay and Lesbian Mardi Gras. At this event, which promotes diversity and inclusion, visitors can expect spectacular parades and marching groups, floats promoting LGBTQ rights, fantasy dance parties and extravagant burlesque performances. | 6.    Discover the cultural diversity of Barranquilla,  Colombia",3,"14, 49, 8","diversity, Diversity and Inclusion","06ZFVT, BKNG - Party at the Biggest Carnivals Around the World Mardi Gras Experiences You Wouldn't Want to Miss - 12-Feb-19 - PRN.pdf"
Cabela’s Incorporated,Product/Service,"Statements in this press release that are not historical or current fact are ""forward-looking statements"" that are based on the Company's beliefs, assumptions and expectations of future events, taking into account the information currently available to the Company. Such forward-looking statements include, but are not limited to, the Company's statements regarding opening a retail store in Tulalip, Wash., in 2012. Forward-looking statements involve risks and uncertainties that may cause the Company's actual results, performance or financial condition to differ materially from the expectations of future results, performance or financial condition that the Company expresses or implies in any forward-looking statements. These risks and uncertainties include, but are not limited to: the level of discretionary consumer spending; the state of the economy, including increases in unemployment levels and bankruptcy filings; changes in the capital and credit markets or the availability of capital and credit; the Company's ability to comply with the financial covenants in its credit agreements; changes in consumer preferences and demographic trends; the Company's ability to successfully execute its multi-channel strategy; the ability to negotiate favorable purchase, lease and/or economic development arrangements for new retail store locations; expansion into new markets and market saturation due to new retail store openings; the rate of growth of general and administrative expenses associated with building a strengthened corporate infrastructure to support the Company's growth initiatives; increasing competition in the outdoor segment of the sporting goods industry; the cost of the Company's products; political or financial instability in countries where the goods the Company sells are manufactured; increases in postage rates or paper and printing costs; supply and delivery shortages or interruptions, and other interruptions or disruptions to our systems, processes or controls, caused by system changes or other factors, including technology system changes in support of our customer relationship management system; adverse or unseasonal weather conditions; fluctuations in operating results; increased government regulation, including regulations relating to firearms and ammunition; inadequate protection of the Company's intellectual property; material security breaches of computer systems; the Company's ability to protect its brand and reputation; the outcome of litigation, administrative and/or regulatory matters (including a Commissioner's charge we received from the Chair of the U.S. Equal Employment Opportunity Commission in January 2011); the Company's ability to manage credit, liquidity, interest rate, operational, legal and compliance risks; increasing competition for credit card products and reward programs; the Company's ability to increase credit card receivables while managing fraud, delinquencies and charge-offs; the Company's ability to securitize its credit card receivables at acceptable rates or access the deposits market at acceptable rates; decreased interchange fees as a result of credit card industry regulation and/or litigation; the impact of legislation, regulation and supervisory regulatory actions in the financial services industry, including new and proposed regulations affecting securitizations and the Dodd-Frank Wall Street Reform and Consumer Protection Act; other factors that the Company may not have currently identified or quantified; and other risks, relevant factors and uncertainties identified in the Company's filings with the SEC (including the information set forth in the ""Risk Factors"" section of the Company's Form 10-K for the fiscal year ended January 1, 2011, and Form 10-Q for the fiscal quarter ended April 2, 2011), which filings are available at the Company's website at www.cabelas.com and the SEC's website at www.sec.gov. Given the risks and uncertainties surrounding forward-looking statements, you should not place undue reliance on these statements. The Company's forward-looking statements speak only as of the date they are made. Other than as required by law, the Company undertakes no obligation to",1,587,Equal Employment Opportunity,"07ZQ0C, CAB - Cabela's Inc. Announces Plans for Store in Tulalip, Wash. - 06-Jun-11 - BW.pdf"
Nearest Green Distillery and Jack Daniel Distillery,"Corporate Social Responsibility, Human Interest Groups","""Given our deep commitment to diversity and inclusion, I am thrilled we are coming together in this way today,"" said Lawson Whiting, President and Chief Executive Officer, Brown-Forman Corporation, the parent company of Jack Daniel's. ""This collaboration allows the extraordinary friendship of Nearest and Jack, and the hope they embodied during racially divided times in our country's history, to help us advance the next generation of African American leaders in our industry."" | Uncle Nearest And Jack Daniel's Join Forces To Launch The Nearest & Jack Advancement Initiative To Increase Diversity In American Whiskey Industry  Thursday, June 11, 2020 02:20:00 PM (GMT) | LYNCHBURG, Tenn., June 11, 2020 /PRNewswire/ -- The Jack Daniel Distillery and the Nearest Green Distillery announced today the Nearest & Jack Advancement Initiative to further diversity within the American whiskey industry. Both companies are supporting it equally with an initial combined pledge of $5 million to help create the Nearest Green School of Distilling, develop the Leadership Acceleration Program (LAP) for apprenticeships and establish the Business Incubation Program (BIP), focused on providing expertise and resources to African Americans entering the spirits industry as entrepreneurs. This joint initiative will be guided by an advisory board with members from both organizations.  | ""Generally, when companies talk about the need to improve diversity, few immediate action steps follow,"" said Fawn Weaver, CEO, Uncle Nearest Premium Whiskey. ""Our group is different. We are doers, and we all agreed to work together to improve diversity in our industry, and specifically, a way to get African Americans into top positions within our industry. Nearest Green taught Jack Daniel how to make  Tennessee whiskey and we're incredibly proud our companies are joining forces to further their legacies of excellence, and to make distilling and the whiskey industry we love more diverse."" | and-jack-daniels-join-forces-to-launch-the-nearest--jack-advancement-initiative-to-increase-diversity-in- american-whiskey-industry-301074542.html",5,"72, 29, 100, 94, 2","diversity, Diversity and Inclusion","089XF0, BF.B - Uncle Nearest And Jack Daniel's Join Forces To Launch The Nearest & Jack Advancement Initiative To Increase Diversity In American ... - 11-Jun-20 - PRN.pdf"
"Canon U.S.A., Inc.","Corporate Social Responsibility, Human Interest Groups","MELVILLE, N.Y., Feb. 13, 2018 /PRNewswire/ -- As a testament to the company's strong standing as a good corporate citizen and its proactive approach to corporate social responsibility initiatives, Canon U.S.A., Inc., a leader in digital imaging solutions, has been recognized as one of the 2018 World's Most Ethical Companies by the Ethisphere Institute, a global leader in defining and advancing the standards of ethical business practices. This recognition is based on a variety of factors including: measuring and improving culture, leading with integrity and committing to transparency, diversity and inclusion. In 2018, 135 companies were recognized across 23 countries and 57 industries.",1,103,Diversity and Inclusion,"7751, 05MK8G - Canon U.S.A., Inc. Named One of the 2018 World's Most Ethical Companies by the Ethisphere Institute - 13-Feb-18 - PRN.pdf"
,,,0,0,,BF.B - Brown-Forman Corp.(BF.B-US) Schedules Annual General Meeting for 30-July-2020 930 AM ET - 19-Jun-20 - FCSTEV.pdf
,,,0,0,,BF.B - Brown-Forman Corp.(BF.B-US) Schedules Q2 2020 Earnings Call for 5-December-2019 1000 AM ET - 18-Nov-19 - FCSTEV.pdf
,,,0,0,,BF.B - Brown-Forman Corp.(BF.B-US) Schedules Q4 2020 Earnings Call for 9-June-2020 1000 AM ET - 22-May-20 - FCSTEV.pdf
Brown-Forman Corporation,"Award, Survey","The DEI is a joint initiative of the USBLN and AAPD. Developed by the DEI Advisory Committee, a diverse group of business leaders, policy experts, and disability advocates, the DEI is a national, transparent, annual benchmarking tool that offers businesses an opportunity to receive an objective assessment of their overall disability inclusion policies and practices. It is an aspirational, educational, recognition tool that goes far beyond legal compliance, helping companies identify opportunities for continued improvement, while building their reputations as organizations that value diversity and inclusion.",1,86,Diversity and Inclusion,"BF.B, 0CVK87, 070JH5 - Brown-Forman Corporation Named One of the DEI® Best Places to Work - 21-Jul-16 - BW.pdf"
