who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment,"000660, 008770, 086790... - Barron's Summary - 04-Nov-17 - SA.pdf"
John Hancock Financial,"Corporate Social Responsibility, Human Interest Groups","""John Hancock is honored once again to be recognized among the companies receiving a perfect score for LGBT workplace equality,"" said Sandeep Tatla, Assistant Vice President and Global Head of Diversity and Inclusion, Manulife. Having a diverse and inclusive workforce is critical to John Hancock.  We work to foster an environment that attracts and retains a top talent and reflects the customers and communities we serve."" | the efforts of its PROUD (Professionals Reaching Out for Unity and Diversity) employee community to promote an inclusive workplace the company's commitment to offer the same benefits coverage to same sex and heterosexual couples the sponsorship of local organizations that aim to make a difference to the LGBT community",2,"66, 49","diversity, Diversity and Inclusion","002MSS, MFC.PRH, 071MGK - John Hancock Earns Top Marks in 2017 Corporate Equality Index - 05-Dec-16 - PRN.pdf"
Brooklyn Candle Studio,"Contracts, Corporate Social Responsibility, New Products & Services, Human Interest Groups","In an effort to contribute to the fight for gender equality and women's autonomy, ten percent of proceeds from each candle will be donated to three different female-centric charitable organizations every quarter. Those organizations include Planned Parenthood, Equality Now, and the Center for Health and Gender Equity (CHANGE).",1,48,gender equality,"0687X1, LULU - Brooklyn Candle Studio Announces Collaboration With Artist Allison Kunath - 28-Jan-20 - PRN.pdf"
Autograph Collection Hotels,New Products & Services,"have resulted in over 325 diverse feature films. Films that have originated from Black List screenplays have earned over $26 billion worldwide and have received 45 Oscars. Leonard is sought after to speak on diversity and inclusion in Hollywood. He chose The Black List as the umbrella title for his ventures because it references his own African American heritage as well as the Hollywood blacklist denying employment to a generation of American entertainment professionals during the McCarthy era. | BETHESDA, Md., Oct. 19, 2016 /PRNewswire/ -- Autograph Collection, Marriott International's distinctive portfolio of one-of-a-kind hotels, is launching the Independent Film Initiative.  Launching in January 2017, this dynamic, experiential cultural program will celebrate independent film ""ì an art form that shares Autograph Collection Hotels' goals of championing individuality and diversity. The initiative will be curated by respected names working at the forefront of independent cinema including Franklin Leonard, Founder & CEO of The Black List, and digital entertainment distributor, FilmBuff.",2,"78, 80","diversity, Diversity and Inclusion","0CNXZJ, MAR - Autograph Collection Hotels Launches Unprecedented Cultural Program Focusing On Independent Film - 19-Oct-16 - PRN.pdf"
"Kahn Swick & Foti, LLC",,"During a period of time spanning 2010 to 2016, the Company received over 200 internal complaints filed by female workers claiming gender discrimination or sexual harassment, according to disclosures recently made by the Company.  Further, the Company's internal review process resulted in a denial of approximately 93% of the claims, finding merit in only one gender discrimination claim and 15 sexual harassment or assault claims.  The alleged culture of sexual bias and mistreatment has been the basis of significant negative media exposure for the Company as well as several lawsuits brought by former employees in state and federal courts.  In one such ongoing case, the plaintiffs charge that based on data from Microsoft, discriminatory treatment cost female workers up to $238 million in compensation and more than 500 promotions during a four-year period, and are seeking to have the case certified as a class action, which, if granted could potentially include more than 8000 women.",1,155,sexual harassment,"0FCNPT, MSFT - MICROSOFT INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL Kahn Swick & Foti, LLC Investigates the Officers and Direc... - 27-Apr-18 - PRN.pdf"
"Kahn Swick & Foti, LLC",Lawsuit,"During a period of time spanning 2010 to 2016, the Company received over 200 internal complaints filed by female workers claiming gender discrimination or sexual harassment, according to disclosures recently made by the Company. Further, the Company's internal review process resulted in a denial of approximately 93% of the claims, finding merit in only one gender discrimination claim and 15 sexual harassment or assault claims. The alleged culture of sexual bias and mistreatment has been the basis of significant negative media exposure for the Company as well as several lawsuits brought by former employees in state and federal courts. In one such ongoing case, the plaintiffs charge that based on data from Microsoft, discriminatory treatment cost female workers up to $238 million in compensation and more than 500 promotions during a four-year period, and are seeking to have the case certified as a class action, which, if granted could potentially include more than 8000 women.",1,155,sexual harassment,"0FCNPT, MSFT - MICROSOFT INVESTIGATION INITIATED by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Direct... - 11-May-18 - BW.pdf"
"Kahn Swick & Foti, LLC",Lawsuit,"During a period of time spanning 2010 to 2016, the Company received over 200 internal complaints filed by female workers claiming gender discrimination or sexual harassment, according to disclosures recently made by the Company. Further, the Company's internal review process resulted in a denial of approximately 93% of the claims, finding merit in only one gender discrimination claim and 15 sexual harassment or assault claims. The alleged culture of sexual bias and mistreatment has been the basis of significant negative media exposure for the Company as well as several lawsuits brought by former employees in state and federal courts. In one such ongoing case, the plaintiffs charge that based on data from Microsoft, discriminatory treatment cost female workers up to $238 million in compensation and more than 500 promotions during a four-year period, and are seeking to have the case certified as a class action, which, if granted could potentially include more than 8000 women.",1,155,sexual harassment,"0FCNPT, MSFT - MICROSOFT INVESTIGATION INITIATED by Former Louisiana Attorney General Kahn Swick & Foti, LLC Investigates the Officers and Direct... - 13-Apr-18 - BW.pdf"
John Hancock Retirement Plan Services,"Contracts, New Products & Services","About EverFi, Inc. EverFi, Inc. is the education technology innovator that empowers K-12, higher education, and adult learners with the skills needed to be successful in life. Its comprehensive critical skills platform is focused on Financial Education, Digital Citizenship, STEM Career Readiness, Diversity and Inclusion, Entrepreneurship, Character Education, and Health and Wellness. The EverFi Education Network is powered by more than 3,300 partner organizations across all 50 states and Canada, and annually reaches 6 million learners. Learn more at everfi.com.",1,80,Diversity and Inclusion,"0FJPRG, MFC.PRH, 0B0D8Z - John Hancock Retirement Plan Services Introduces New Financial Wellness Tool, Expands Partnership with EverFi - 01-Nov-16 - PRN.pdf"
,"Media Summaries, Sunday NYT Summary","Tech firms don't do enough to prevent proliferation of child sexual abuse imagery | Tech companies ban child sexual abuse imagery from their platforms, but search engines, social networks, and cloud storage are rife with gaps for criminals to result. For victims, the trauma of constantly recirculating photos and videos can be devastating. Companies mentioned: GOOGL, DBX, MSFT, FB, AMZN, AAPL, SNAP",2,"13, 48",sexual abuse,"AAL, AAPL, AMZN... - New York Times Sunday Edition Summary - 10-Nov-19 - SA.pdf"
,"Media Summaries, Economist Summary","On 26-Jan WSJ published an investigation detailing several allegations that amount to a decades-long spree of sexual misconduct by Wynn Resorts (WYNN) CEO Steve Wynn. The company's board has appointed a special committee to investigate the reports, the accuracy of which Wynn denies. Wynn's control over Wynn Resorts is near-absolute, and the outcome of the inquiry may significantly impact the business.",1,61,sexual misconduct,"AAPL, AMZN, BRK.B... - StreetAccount Summary The Economist print edition - 01-Feb-18 - SA.pdf"
