identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
K,2 Out Of 3 Girls In U.S. Fail To Get Key Nutrients They Need,8-Oct-18,PRN,Kellogg Company,"Corporate Social Responsibility, New Products & Services, Human Interest Groups","Girl Up is a global leadership development initiative, positioning girls to be leaders in the movement for gender equality. With resources in five languages and 2,500 Girl Up Clubs in more than 100 countries, we've trained 40,000 girls of all backgrounds to create tangible change for girls everywhere. Girl Up provides leadership training and gives girls tools to become gender equality advocates and activists. Through our programs, girls broaden their social impact skill set, benefit from a platform to tell their stories and apply STEM for social good. Our girl leaders create real policy change at local and national levels, help raise millions of dollars to support United Nations programs that reach tens of thousands of girls around the world and build community-based movements. Girl Up was founded by the United Nations Foundation in 2010, and continues to work across a global community of partners to achieve gender equality worldwide. Learn more at GirlUp.org.",1,154,gender equality
"000660, 008770, 086790...",Barron's Summary,4-Nov-17,SA,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment
"K, 063NCT",Building a bright future with Kellogg and NAACP Law Fellows,19-Dec-17,PRN,Kellogg Company,"Corporate Social Responsibility, Human Interest Groups","For 15 years, Kellogg has partnered with the NAACP and sponsored its Law Fellows Program. During the program, students travel to Kellogg Headquarters for an immersion in Kellogg's legal practices, observe real- life examples of civil and human rights cases and learn more about our Diversity and Inclusion efforts. The program is designed to provide experience and knowledge beyond what's available in a classroom. This year, I had the distinct honor of accompanying the law students during their visit to Battle Creek and I learned a great deal about their passions, their commitments and their drive for building a just and equitable legal system. | Features Report  Kellogg Company recently launched its eighth annual diversity and inclusion report, Features. The report includes accounts from around the globe of Kellogg's D&I efforts in the workplace, marketplace and communities.  For more stories like Cheryl's and to learn more about Kellogg's global diversity and inclusion efforts, click here to see the 2017 Features Report.",2,"104, 56",Diversity and Inclusion
"JPM, JPM","Chase Community Giving Donates Additional $500,000 to Charities",23-Jun-11,BW,JPMorgan Chase & Co.,Funding,"Baltimore Child Abuse Center of Baltimore, MD, is a children’s advocacy center that provides all reported victims of child sexual abuse in Baltimore City and their non-offending caretakers with comprehensive interviews, medical treatment, and crisis counseling services.",1,37,sexual abuse
K,Diversity recognition inspires our continuous improvement to raise the bar,20-Apr-16,PRN,Kellogg Company,Human Interest Groups,"Diversity and inclusion is an ongoing commitment and an investment that leads to true competitive business advantages. | At Kellogg, our commitment to diversity and inclusion is the responsibility of every one of our employees. From our CEO John Bryant, chair of our Executive Diversity & Inclusion Council (EDIC), to the thousands of employees who are part of our employee resource groups (ERGs), to the numerous unsung champions for D&I all across the business, we are working to create a culture that reflects the diverse marketplace we serve. | While we've made progress in our diversity and inclusion journey, there's more work to do. We remain focused on retaining, developing and recruiting a diverse workforce and to ensuring our bench at all levels is a reflection of the consumers we serve. | Diversity recognition inspires our continuous improvement to raise the bar   Wednesday, April 20, 2016 06:22:00 PM (GMT) | @KelloggCompany honored for 5th year by @DiversityInc as a ""Top 50 Company for Diversity"" in 2016 #DITop50 http://ow.ly/4mTXnD | ""ERGs are a visible indicator of Kellogg's commitment to create and value the diversity that all employees bring from a cultural background and career experience standpoint,"" said Viveca, Senior Director, North America Supply Chain Packaging. ""I've had an opportunity to be at the table and have a voice on recommendations to improve the retention, development and recruitment of African American employees at Kellogg. This exposure also provides me with the opportunity to coach and mentor some of our up-and- coming leaders."" | We're honored to be recognized for a fifth consecutive year by DiversityInc as a ""Top 50 Company for Diversity"" in 2016, and proud to be the highest ranked food company. Kellogg is 30th on the list that was generated using a tougher methodology than previous years to evaluate more than 1,000 companies, including more Fortune 200 applicants than ever before. | As always, we leverage the learnings from our DiversityInc survey participation to identify how we can further raise the bar. The landscape is more competitive and we have to improve to win with both employees | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/diversity- recognition-inspires-our-continuous-improvement-to-raise-the-bar-300254736.html",9,"17, 70, 42, 17, 18, 81, 60, 35, 11","diversity, Diversity and Inclusion"
K,DiversityInc Honor Comes As Kellogg Introduces New Employee Group,24-Apr-15,PRN,Kellogg Company,"Corporate Social Responsibility, Human Interest Groups","Kapable is just the latest step in Kellogg Company's ongoing diversity and inclusion journey. It reinforces the company's respect and value for helping all individuals bring their best selves to work. And it's because of efforts such as this that Kellogg again earned a spot among the Top 50 Companies for Diversity in the United States, as announced today by DiversityInc. | For more on the company's diversity and inclusion efforts, take a look at the Workplace section of Kellogg's recently released online global Corporate Responsibility Report or go to www.KelloggDiversityandInclusion.com. | Mark King, the company's Global Head of Diversity & Inclusion, said Kellogg is honored to be on the DiversityInc list for a fifth consecutive year. He also said the company uses the report card provided by DiversityInc to identify areas for continuous improvement. | DiversityInc Honor Comes As Kellogg Introduces New Employee Group  Friday, April 24, 2015 04:53:00 PM (GMT) | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/diversityinc- honor-comes-as-kellogg-introduces-new-employee-group-300071801.html",5,"61, 29, 43, 16, 11","Diversity & Inclusion, diversity, Diversity and Inclusion"
"IBM, 003HVD, 095PZK...",Farmer Connect Uses IBM Blockchain to Bridge the Gap Between Consumers and Smallholder Coffee Farmers,6-Jan-20,PRN,IBM,New Products & Services,"About Yara International Yara grows knowledge to responsibly feed the world and protect the planet, to fulfill our vision of a collaborative society, a world without hunger and a planet respected. To meet these commitments, we have taken the lead in developing digital farming tools for precision farming and work closely with partners throughout the whole food value chain to develop more climate-friendly crop nutrition solutions. In addition, we are committed to working towards sustainable mineral fertilizer production. We foster an open culture of diversity and inclusion that promotes the safety and integrity of our employees, contractors, business partners, and society at large. Founded in 1905 to solve the emerging famine in Europe, Yara has a worldwide presence with about 17,000 employees and operations in over 60 countries. In 2018, Yara reported revenues of USD 12.9 billion. www.yara.com",1,138,Diversity and Inclusion
"INTU, INTU",Glint Welcomes Sherry Whiteley to Board of Directors,17-May-18,PMZ,,Directors and Officers,,0,0,
K,"Honoring Those Who Serve, One Veteran to Another",21-May-18,PRN,Kellogg Company,Human Interest Groups,"Recently, Kellogg was recognized by DiversityInc as a  Best Company for Veterans  and included on the Military Times list Best for Vets Employers 2018. Dedicated to recruiting and retaining veterans, the company has a dedicated Veteran Career website listing available positions and information on the company. It's clear that Kellogg is a company that lives its K Values.",1,58,diversity
K,How Diversity and Inclusion Drive a Winning Innovation Culture,8-Aug-16,PRN,Kellogg Company,Corporate Social Responsibility,"How Diversity and Inclusion Drive a Winning Innovation Culture   Monday, August 08, 2016 06:59:00 PM (GMT) | Editor's Note: Why diversity and inclusion matters to  Clive Sirkin Clive Sirkin recently joined Kellogg as Chief Growth Officer. He's not new to the company, however. He worked on the Kellogg account at Leo Burnett --a Chicago-based advertising agency -- from 1989 to 2005. | Companies that have true diversity simply perform better. And achieving diversity requires, first, a culture of inclusion. Diversity is an outcome of inclusion. If we truly believe in diversity and inclusion, they should track to everything we do and how we act. D&I are not work things; they are human things. They are how we as humans should conduct ourselves. | One final note: The Kellogg diversity and inclusion story isn't only about me, of course. Our 2016 Diversity and Inclusion Report, Features, includes many more stories detailing our efforts to promote a more diverse workforce and supplier base. | Translation: Innovation equals stimulus to the power of diversity divided by fear. Stimulus is the passion to be curious and the desire to learn. It's a great start, but it is exponentially more powerful if one is open to -- and not afraid of -- diverse thinking. | These are just a few of the many stories within the full report, which I encourage you to read online at www.KelloggDiversityandInclusion.com. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/how-diversity- and-inclusion-drive-a-winning-innovation-culture-300309998.html",7,"16, 44, 60, 38, 47, 22, 11","diversity, Diversity and Inclusion"
