identifier,headline,date,source,who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords
S,2018 Disability Equality Index Awards Sprint Top Score for Fourth Consecutive Year,9-Jul-18,PRN,Sprint,"Corporate Social Responsibility, Human Interest Groups","""Our commitment to disability as part of diversity and inclusion begins at the top and permeates throughout the entire organization,"" said Ismat Aziz , Sprint's Chief Human Resources Officer. ""Fostering and reflecting disability and diversity in our workforce, partnerships and marketing communications is not only the right thing to do, it also helps us to better serve our diverse customers and communities and makes Sprint a great place to work."" | The DEI is a joint initiative between American Association of People with Disabilities (AAPD) and the US Business Leadership Network (USBLN), jointly designed by disability advocates and business leaders as the nation's most trusted comprehensive benchmarking tool for disability inclusion. The Index measures key performance indicators across organizational culture, leadership, accessibility, employment, community engagement, support services and supplier diversity. | Sprint drives its inclusion and diversity initiatives through its employee resource groups (ERGs), multicultural marketing, recruiting efforts and supplier diversity. All of the groups work together to ensure that inclusion and diversity are infused into all aspects of our business. ERGs are among Sprint's strongest assets. Sprint has seven ERGs with more than 5,000 members nationwide, including Resourceful, Empowering, Awareness, Limitless for Disabled Employees Accessing Life (REAL DEAL) ERG. REAL DEAL provides a platform for employees throughout Sprint to share your voice and passion towards helping People with disabilities in the workplace.",3,"70, 59, 92","Diversity and Inclusion, diversity"
"ARRS, BA, BATRA...",Barron's Summary,#NAME?,18,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Trader Extra:  Positive on Dollar Tree (DLTR), whose valuation is at a five-year low; The company looks likely to bounce back from its acquisition of Family Dollar, which has dragged on results; If not, an activist investor like Carl Ichan could get involved to force more drastic action. Trader Extra:  Former  Wynn Resorts (WYNN) CEO Steve Wynn, who resigned after sexual misconduct allegations, sold his entire $2.1B interest in the company in March; The well-timed sale saved him $900M.",1,79,sexual misconduct
TFC,BB&T Corp.(BBT,US) Schedules BancAnalysts Association of Boston Conference for 7-November-2019 810 AM ET,25,,,,0,0,
TFC,BB&T Corp.(BBT,US) Schedules Q2 2019 Earnings Call for 18-July-2019 800 AM ET,10,,,,0,0,
CPB,Campbell Appoints Monica Diaz Chief Diversity and Inclusion Officer,14-Nov-17,BW,Campbell Soup Company,"Personnel, Product/Service","Campbell Appoints Monica Diaz Chief Diversity and Inclusion Officer  Tuesday, November 14, 2017 01:30:00 PM (GMT) | Campbell Soup Company (NYSE:CPB) has appointed Monica Diaz Chief Diversity and Inclusion Officer. In this newly created role, Diaz will lead Campbell's enterprise-wide diversity and inclusion strategy, creating new programs and enhancing existing initiatives to foster an inclusive culture and diverse workforce that mirrors Campbell's consumer base. Diaz will be based in Camden and report to Bob Morrissey, Senior Vice President and Chief Human Resources Officer, beginning Nov. 20, 2017. Diaz will also act as an adviser to Campbell's Leadership Team. | ""Diversity and inclusion are critical to our business success and are foundational elements of Campbell's culture,""ù said Morrissey. ""Monica's proven track record in human resources, diversity and inclusion, wellness and talent management made her stand out among the many candidates we considered. Her nearly three decades of experience across many industries and geographies will complement the work we have underway and prove invaluable as we continue our efforts to build a diverse and inclusive workforce.""ù | Diaz, 52, joins Campbell from ESPN, part of The Walt Disney Company, where she was Vice President ""ì Diversity, Inclusion and Wellness. While at ESPN, Diaz built diversity, inclusion and wellness strategies for their workforce, workplace and marketplace. Before ESPN, Diaz worked at Microsoft Corp. as Global Diversity and Inclusion Director, and at Merck & Co. in a variety of roles including Global Constituency Groups Director ""ì Diversity and Work Environment. Earlier in her career, Diaz held roles in Human Resources at Sara Lee Corporation and Kelly Services. | Diaz is a member of the Society for Human Resources Management, the National Association of Multi- Ethnicity in Communications, the Women in Cable Telecommunications, and the Hispanic Association on Corporate Responsibility's Corporate Executive Forum. She has been recognized with honors including Cablefax's Most Influential Minorities in Cable TV, the Tri-State Diversity Council's Multicultural Leadership Award and Hispanic Executive's Top 10 Lideres. She also completed the Women in Sports and Events (WISE) Executive Leadership Institute at Dartmouth College ""ì Tuck School of Business.",5,"16, 81, 75, 88, 82","Diversity and Inclusion, diversity"
"CPB, CPB",Campbell Appoints Robert Morrissey Chief Human Resources Officer,6-Feb-12,BW,Campbell Soup Company,Personnel,"Campbell Soup Company (NYSE:CPB) today announced the appointment of Robert Morrissey, 54, as Senior Vice President, Chief Human Resources Officer, with responsibility for Campbell's global human resources function, including talent acquisition and management, organizational effectiveness, compensation and benefits and diversity and inclusion for the company's 18,000 employees. He will report to Campbell President and Chief Executive Officer Denise Morrison. The appointment is effective April 1, 2012. Morrissey succeeds Nancy Reardon, who will retire from the company after nearly eight years. | Morrison said, ""Nancy has been an important part of the Campbell Leadership Team and has made significant contributions to our employee engagement and human resources processes. She has championed our talent acquisition, learning and development and diversity and inclusion programs. I want to thank Nancy and wish her all the best in her retirement.""ù",2,"80, 54",Diversity and Inclusion
CPB,Campbell Appoints Xavier Boza Chief Human Resources Officer,18-Jul-18,BW,Campbell Soup Company,"Personnel, Photo/Multimedia","Campbell Soup Company (NYSE:CPB)  today announced the appointment of Xavier Boza, 53, as Senior Vice President, Chief Human Resources Officer. Boza will be responsible for Campbell's global human resources function, including talent acquisition and management, organizational effectiveness, compensation and benefits, and diversity and inclusion. He will report to Campbell Interim President and Chief Executive Officer Keith McLoughlin, effective Aug. 1, 2018. Boza succeeds Robert Morrissey, who will retire from the company after nearly 15 years.",1,75,Diversity and Inclusion
CPB,Campbell Celebrates Take Your Kids to Work Day with Grand Opening of New Family Center at Its World Headquarters,26-Apr-18,BW,Campbell Soup Company,"Product/Service, Photo/Multimedia, Event","The family center complements employee benefits designed to support Campbell families, including a 10- week parental leave policy, 2-week non-primary caregiver policy and adoption assistance.",1,25,parental leave
"CPB, CPB",Campbell Highlights Progress on 2020 CSR Agenda in 2012 Report,29-May-12,BW,Campbell Soup Company,"Corporate Social Responsibility, Product/Service",,0,0,
CPB,Campbell Named One of the World's Most Sustainable Corporations,22-Jan-20,BW,Campbell Soup Company,"Award, Product/Service","Campbell received high marks in the ""clean revenue""ù metric, which accounts for 50% of each company's score and measures the percentage of revenues earned from products or services that have environmental or well-defined social benefits. Campbell scored well because of the variety of Organic and Non-GMO Project Verified products in the portfolio, in addition to plant-based milk offerings. Campbell was recognized for the gender diversity of its Board of Directors, with female Directors accounting for 33% of the Board. Campbell also scored in the top quartile for innovation capacity due the company's investment in real food innovation. | In 2019, Campbell was also included on Corporate Responsibility Magazine's 100 Best Corporate Citizens list for the 10th consecutive year and on multiple indices including the FTSE4Good Index, the Bloomberg Gender-Equality Index, the Human Rights Campaign Corporate Equality Index and the MSCI Index Series.",2,"97, 44","diversity, gender-equality"
