who_wrote_the_piece,subject,relevant_text,paragraphs,words,keywords,path
,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment,"000660, 008770, 086790... - Barron's Summary - 04-Nov-17 - SA.pdf"
GE Foundation,Funding,"""We're thrilled to bring GE's Developing Health program to Minneapolis. GE employees in the Twin Cities have a strong commitment to volunteerism and improving access to health in the communities where we live and work,""ù said Deborah Elam, Vice President and Chief Diversity Officer, GE. ""We look forward to working with these two health centers and supporting their mission in the Minneapolis community.""ù | The GE Foundation, the philanthropic organization of GE, and the GE Corporate Diversity Council today announced a total of $500,000 in grants to two Minneapolis community health care centers: Neighborhood HealthSource ""ì Fremont Clinic and Southside Community Health Services, Inc. ""ì Southside Medical Clinic. Funding will be used to increase access to primary care for uninsured and underserved populations across the city. | Developing Health is a partnership between GE Corporate Citizenship and the GE Corporate Diversity Council. Modeled after GE's successful philanthropic program Developing Health Globally‚Ñ¢, the program was launched in New York City in October 2009, and has since expanded to 37 cities, supporting 108 health centers with $38.9 million and 106,000 community service hours. GE employees in the Twin Cities are committed to community service. In 2012, GE Volunteers contributed 7,800 community service hours in the Twin Cities alone.",3,"63, 62, 79","diversity, Chief Diversity Officer","07TZ5V, GE - GE Foundation Awards $500,000 in Grants to Two Community Health Centers in Minneapolis - 26-Jun-13 - BW.pdf"
GE Foundation,"Corporate Social Responsibility, Funding","""A recent Community Health Needs Assessment in Kent County reiterated the fact that increasing access to primary care for underserved populations needs to be a top priority for the community,""ù said Deb Elam, Chief Diversity Officer, GE. ""Cherry Street Health Services strives to meet this need on a daily basis and GE is proud to support them through the Developing Health program.""ù | Developing Health is a partnership between GE Corporate Citizenship and the GE Corporate Diversity Council. Modeled after GE's successful philanthropic program Developing Health Globally‚Ñ¢, the program was launched in New York City in October 2009, and has since expanded to Milwaukee, Houston, Cincinnati, Louisville, New Orleans, Atlanta, Erie, Fairfield County, Baltimore, Schenectady, Greenville (SC), Salt Lake City, Wilmington (NC), Chicago, Dayton, Miami, Boston and Grand Rapids.",2,"62, 66","diversity, Chief Diversity Officer","087VZ9, 07R9KQ, GE - GE Foundation Awards $750,000 Grant to Community Health Centers in Grand Rapids - 23-Feb-12 - BW.pdf"
Groupon,Product/Service,"in developing countries. These youth have already contributed over 950,000 hours of service and we have built 453 schools in Haiti, Nicaragua, Mali, Malawi, Senegal and Nepal. Over 70,000 children, parents and grandparents attend these schools every day and because of buildOn's strong focus on gender equality, 50% of the students are girls. Learn more at buildon.org.",1,57,gender equality,"088SJX, GRPN - Build a School in Nepal or Nicaragua with The Amazing Race Winners & Groupon Getaways, Groupon Grassroots and buildOn - 17-Jul-12 - BW.pdf"
,"Media Summaries, Sunday NYT Summary","Mistrial declared in Cosby sexual assault case | The judge presiding over Bill Cosby's sexual assault trial declared a mistrial Saturday after jurors reported being hopelessly deadlocked after six days of deliberations, bringing an ambiguous conclusion to this phase of the case. The outcome denied vindication to either the defendant or the dozens of women who have accused Cosby of assaulting them over a decades-long period. District Attorney Kevin Steele of Montgomery County in Pennsylvania immediately vowed to put Cosby on trial again.",2,"7, 75",sexual assault,"AMZN, F, GE... - New York Times Sunday Edition Summary - 18-Jun-17 - SA.pdf"
Genesco Inc.,Human Interest Groups,"""It is an honor to be recognized for our commitment to LGBTQ workplace equality,"" said Genesco Chairman, President and Chief Executive Officer Robert J. Dennis. ""Diversity and inclusion are important pillars in our corporate culture and operating businesses. I am proud of our company's continued efforts to embrace and celebrate our employees and customers with our LGBTQ-friendly policies, benefits and overall responsible citizenship."" | Non-discrimination policies Employment benefits Demonstrated organizational competency and accountability around LGBTQ diversity and inclusion Public commitment to LGBTQ equality Responsible citizenship",2,"63, 21",Diversity and Inclusion,GCO - Genesco Inc. Earns Top Marks in 2020 Corporate Equality Index - 27-Jan-20 - PRN.pdf
GoDaddy Inc.,"Economic News, Trends & Analysis, Licensing & Marketing Agreements, Human Interest Groups","Equal Pay Consortium Collaborating To Help Close Gender Pay Gap   Friday, August 26, 2016 02:12:00 PM (GMT) | WASHINGTON, Aug. 26, 2016 /PRNewswire/ -- GoDaddy Inc. (NYSE: GDDY), the world's largest technology provider dedicated to small business, is joining forces with a growing consortium of U.S. companies to help promote best practices and share ideas to eliminate the gender pay gap. The conglomerate of employer representatives is being called Employers for Pay Equity. Today, its list of signatory companies has grown to more than 50, double the size since the White House Equal Pay pledge was announced in June, signaling increased commitment to women's equality. | GoDaddy is one of the originating signatories of the recent 'Equal Pay Pledge' aimed at closing the gender pay gap. Despite passage of the Federal Equal Pay Act of 1963, which requires equal pay for equal work, women working full-time in the U.S. still earn just 79 percent of men's wages, according to federal statistics.   | ""This isn't about making unachievable promises, or lending lip-service to the cause ""ì this is about bringing together wisdom from an incredible range of companies willing to share their best practices, to learn from each other and encourage more businesses to implement real change to balance the gender pay gap,"" said GoDaddy Chief People Officer Auguste Goldman. ""It's the right thing to do, it's what our employees and customers want, and it's also good for the bottom line. It's been more than 50 years since the Equal Pay Act was signed and yet we're still not where we need to be as a country or a company."" | In addition to networking with one another about individual learnings, participants commit to conduct an internal review of their company pay structure, review hiring and promotions to remove any obstacles for women, and include pay equity into their diversity and inclusion strategies. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/equal-pay- consortium-collaborating-to-help-close-gender-pay-gap-300318696.html",6,"17, 87, 55, 107, 42, 11","gender-pay-gap, gender pay gap, Diversity and Inclusion",GDDY - Equal Pay Consortium Collaborating To Help Close Gender Pay Gap - 26-Aug-16 - PRN.pdf
GoDaddy Inc.,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","Path Forward is a 501(c)(3) nonprofit organization on a mission to eliminate the bias faced by people who take time off from the paid workforce for caregiving responsibilities and to support gender equality in the workforce. Path Forward creates programs that empower people to return to the workforce after a career break and implement these programs at companies that want to help. Learn more about Path Forward and sign up to get updates about our upcoming programs at www.pathforward.org. | This program is another step in GoDaddy's commitment to achieve greater workplace diversity and inclusiveness. The company is a vocal leader for gender diversity in the technology industry and recently signed the White House 'Fair Pay Pledge' aimed at balancing the gender salary gap and the  White House 'Tech Inclusion Pledge' designed to increase workplace diversity. In 2015, GoDaddy also released its salary data, comparing men and women in like-roles and will continue to pursue opportunities to create a more diverse workforce.",2,"79, 82","gender equality, diversity",GDDY - GoDaddy Joins Path Forward Return-to-Work Program Offers Internships for Mid-Career Professionals - 23-Aug-16 - PRN.pdf
GoDaddy Inc.,"Corporate Social Responsibility, Human Interest Groups","GoDaddy earned the designation of Best Place to Work for LGBTQ Equality by satisfying the CEI's criteria of having non-discrimination policies, employment benefits, a demonstration of organizational competency and accountability around LGBTQ diversity and inclusion and a public commitment to LGBTQ equality and responsible citizenship.",1,45,Diversity and Inclusion,GDDY - GoDaddy Receives Perfect Score on Human Rights Campaign's 2020 Corporate Equality Index for the Second Year in a Row - 27-Jan-20 - PRN.pdf
GoDaddy Inc.,,"""Making meaningful change in addressing gender inequality across our industry will take time, focus and continued transparency,"" said GoDaddy CEO Blake Irving. ""While we see improvement with women in the early stages of their careers, there's more work to do when it comes to mentoring, promoting and hiring more women into our senior ranks."" | GoDaddy is approaching the challenge to eliminate gender gaps with a diversified approach that includes partnerships with like-minded organizations. This past summer, GoDaddy helped create Employers for Pay Equity, a  consortium of business leaders working to eliminate the gender pay gap, and was one of the originating signatories of the White House Equal Pay Pledge. | Other efforts to improve diversity and inclusion at GoDaddy include: | GoDaddy Releases Annual Gender Diversity & Salary Data   Wednesday, October 12, 2016 12:30:00 PM (GMT) | SCOTTSDALE, Ariz. , Oct. 12, 2016 /PRNewswire/ -- GoDaddy Inc. (NYSE: GDDY), the world's largest cloud platform dedicated to small, independent ventures, today published its diversity and salary parity data. The data shows that GoDaddy is paying men and women at near parity across the company, when comparing men and women in like roles.  | GoDaddy Gender Diversity  | ""While we are seeing solid numbers in our diversity hiring, particularly from our new college graduate program, we want more diversity in our senior engineering levels. This year we have focused on career development of Level One and Two diverse engineers, and are working with strategic organizations such as Path Forward, Hackbright and Ada to attract more senior technologists,"" said Chief People Officer  Auguste Goldman, who has a technical background, having once served as GoDaddy CIO. ""Some of our numbers are up, others are down, and we believe being transparent and focusing on diversity with relentless consistency will make a difference over time."" | Piloting a new promotion process prompting managers to proactively review strong performing Level 1 technical employees after their first year Partnering with PathForward, a program aimed at attracting more senior technologists returning to the workforce Partnering with Stanford's Clayman Institute to remove bias from hiring & promotion practices Signing the White House Tech Inclusion Pledge Incorporating male advocates into GoDaddy Women in Technology (GDWiT) Publishing employee ethnic diversity data | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/godaddy- releases-annual-gender-diversity--salary-data-300343295.html",9,"54, 55, 10, 15, 54, 3, 103, 69, 11","gender inequality, gender pay gap, diversity, Diversity and Inclusion",GDDY - GoDaddy Releases Annual Gender Diversity & Salary Data - 12-Oct-16 - PRN.pdf
